,EAN_str,SupplierTitle,AmazonTitle,NetProfit,bought_in_past_month,SupplierPrice_incVAT
1177,5059001500861,AIRWICK REED DIFFUSER MULLED WINE 33ML PK5,"Air Wick Essential Oils Reed Diffuser Air Freshener Mulled Wine Scent, 5 Bottles X 30 ml",16.5533333333333,200,13.4279999999999
690,5050028016069,EVERREADY T8 4FT 36W TUBE LIGHT,Eveready T8 Tube 4ft 36w White 3500k,8.00124999999999,50,2.988
1690,5010853235530,MASON CASH MIXING BOWL CREAM 29CM,"Mason Cash Colour Mix Cream Mixing Bowl | 4 Litre Capacity | 29cm Earthenware Bowl with Classic Pattern Design | Lightweight & Dishwasher Safe | Ideal for Baking, Pastry, Dough, Cakes & Cookies",5.11499999999999,200,7.656
676,5060357991357,PHOODS FOIL TRAY ROASTER,"Superior Sandwich Platter Trays - Pack of 10 Catering Trays for Parties - Buffet Serving Tray with Spill Proof Lids - Catering Platters for Cakes, Parties & Events, Meal Prep Large Tray",3.905,50,1.08
929,5053249248356,PAN AROMA JAR CANDLE 85GM SALTED CARAMEL,"Pan Aroma Orange Decorative Holder & Scented Candle, Salted Caramel, 85G",2.725,50,1.08
1312,5032759031078,AMTECH LED MINI TORCH,Amtech S1532 9 LED mini Torch,2.34833333333333,200,1.716
1850,5060357990107,SUPERIOR FOIL 10 CONTAINERS & LID 9X9IN,"Superior 10-Pack Aluminium Foil Trays with Paper Lids, Heavy Duty Aluminium Takeaway Containers, Freezer & Oven Safe Tin Foil Trays For Baking, Cooking, Broiling, Storage Containers, 9 x 9 inch",2.12833333333333,700,3.65999999999999
455,5053249253183,ELBOW GREASE TOILET CLEANER FOAM LEMON FRESH 500G,"3 x Elbow Grease Foaming Toilet Cleaner, Deep Cleaning Action, Lemon Fresh Fragrance 500g",2.09333333333333,200,0.0
1334,5053249248295,PAN AROMA JAR CANDLE 85GM RED BERRY,"PAN AROMAÂ® RED Decorative Holder & Scented Candle, RED Berry, 85g",1.67166666666666,50,1.08
1067,5014749165598,BEAUTY VELCRO HAIR GRIP ROLLERS 7 PACK,42 pcs x 15mm Small Self Grip Hair Rollers Salon Hairdressing Curlers - By Beauty Care,1.595,200,0.54
1421,5053249228174,PAN AROMA C TEA-LIGHTS 16PK APP&CIN,Pan Aroma 16 Tea Lights Apple & Cinnamon,1.515,100,1.08
1978,5053249215044,151 ADHESIVE SPRAY HEAVY DUTY 500ML,3 Spray Glue Adhesive Contact Glue Heavy Duty Mount DIY Craft Upholstery 500ml,1.41833333333333,200,3.024
2377,5010792542676,CHRISTMAS LAPTRAY  ROBINS,Cushioned Lap Tray - Christmas Robins Design,1.40458333333333,50,9.204
2358,5010792542737,GEL  LED CANDLE FESTIVE ROBIN,Macneil Christmas Robin LED Gel Candle,1.29583333333333,50,7.728
