,EAN,EAN_OnPage,ASIN,SupplierTitle,AmazonTitle,SupplierPrice_incVAT,SellingPrice_incVAT,NetProfit,ROI %,bought_in_past_month
0,5053249248073,,B0D4N6R7YG,151 WHITE NO-DRIP GLOSS PAINT 300ML,"LG OLED48C45LA 48-Inch OLED Evo 4K UHD Smart TV, (Î±9 AI Processor Gen7, Dolby Atmos, Freeview Play and Amazon Alexa, 120Hz), Umber Brown [Model 2024]",2.484,848.0,595.636666666666,22734.223918575,500
26,5900627061383,198153749706.0,B0DRPCJDWW,AIRWICK CANDLE VANILLA & BROWN SUGAR 105G PK6,Lenovo Idea Tab Pro Android Tablet | 12.7 inch Full HD Display | MediaTek Dimensity 8300 | 128GB | Wi-Fi 6 | 8GB RAM | Luna Grey + Pen,10.7399999999999,354.99,258.235,2718.26315789473,300
52,8006540937594,4242003943359.0,B0BXLRLC9T,FAIRY WASHING UP LIQUID MAX POWER ORIGINAL 440ML PK8,"SIEMENS EQ6 plus S300, Fully Automatic Bean to Cup Espresso Coffee Machine with Cappuccinatore milk system, 11 beverages, Ceramic Grinder, Large Touchscreen Display, TE653M11GB, Titanium",14.772,381.65,241.011666666666,1874.11871435977,200
1,5033601010654,,B0F43JDYKX,EUROWRAP GIANT BIRTHDAY BADGE GIRL 3,"Motorola edge 60 fusion, Pantone Slipstream, Moto AI Smartphone, 50MP Sony LYTIA Camera, with Co2 offset",0.744,299.99,208.912916666666,17855.8048433048,100
78,5025301737399,,B0FJ1RGCSP,CHRISTMAS MUSICAL SNOW GLOBE CHRISTMAS SANTA,"Cordless Vacuum Cleaner, 600W 50KPA 65Mins Cordless Stick Vacuum with Touch Screen AUTO-Mode, Pet Tool &1M Hose, Wall-Charging, Fragrance Release, Powerful Vacuum for Floors/Carpets/Pet Hair UK Homes",8.868,169.99,110.059583333333,1386.14084802686,900
141,4894158102466,,B09VPPS96M,FESTIVE MAGIC LED LIGHTS 500 CLEAR CABLE WHIT,"Andonstar AD246S-M HDMI Digital Microscope - 2000x, 3 Lens 2160P UHD Video Record, 7 Inch LCD Soldering Microscope",13.4279999999999,169.99,106.259583333333,905.107183418512,50
2,5015302457396,5056275754877.0,B081JT9XRT,RSW BRIGHTS WASHING UP BOWL,"Hyundai Petrol Backpack Leaf Blower, 170mph, 52cc 2 Stroke Engine With Support Harnesses, Anti-vibration, 55 Mins Per Litre Of Fuel",1.14,158.8,98.0233333333333,6534.88888888889,100
11,8003653005004,,B01KWWYF6A,TONKITA TOILET BRUSH & HOLDER,"Nespresso Citiz Coffee Machine by De'Longhi for Original Coffee Pods, Italian Inspired Espresso, Quality Coffee, Starter Capsule Set Included, EN167.B, Black",2.112,139.0,93.7383333333333,4057.9365079365,900
41,8003653033670,,B01KWWYF6A,TONTIKA BROOM & HANDLE MAXI OUTDOOR,"Nespresso Citiz Coffee Machine by De'Longhi for Original Coffee Pods, Italian Inspired Espresso, Quality Coffee, Starter Capsule Set Included, EN167.B, Black",4.596,139.0,91.6683333333333,2092.88432267884,900
21,5030017011138,,B0FB36DTHD,PANASONIC UPRIGHT   SDB113,"ElecKeys Cordless Vacuum Cleaner,65 Mins 580W 48KPa 1.8L Vacuum Cleaners for Home,Self-Standing Anti-Tangle Vacuum,Handheld Vacuum Cleaner Rechargeable Wall-Mounted for Carpets Floors Pet Hair",2.616,144.99,90.505,3315.20146520146,300
4,5015302203115,,B017N6IF5U,WORLD OF PETS TOY BALL LAUNCHER 62CM ASSORTED,PetSafe Automatic Ball Launcher Dog Toy â€“ Tennis Ball Throwing Machine for Dogs â€“ Indoor or Outside Play â€“ Easy-Open Packaging,1.344,130.0,88.0033333333333,5269.66067864271,50
17,5055706641151,717710483480.0,B0FGHZB8FM,PROKLEEN SPUNLACE FLOOR MOP & HANDLE,"Oversize Turbo Dryer Blower,Car Accessories,Max Instantaneous Thrust 1.60KG,4 Speeds,64MM Super Big Electric Cordless Air Blower for Leaf,Patio Cleaning,Lawn Care & Car Drying (Shining Black)",2.088,129.0,82.42,3599.12663755458,50
20,5055297302240,717710483480.0,B0FGHZB8FM,PLUNGER BUFFALO MINI PLUNGER,"Oversize Turbo Dryer Blower,Car Accessories,Max Instantaneous Thrust 1.60KG,4 Speeds,64MM Super Big Electric Cordless Air Blower for Leaf,Patio Cleaning,Lawn Care & Car Drying (Shining Black)",2.196,129.0,82.33,3459.24369747899,50
7,5010353328800,5065018907005.0,B0D3M53JGG,MINKY CURVE SCOURER 2PC,"Powerful 2200W Premium Garment Steamer with 3L Water Tank, Dual Steam Settings for Rapid Wrinkle Release, Suitable for All Fabrics Including Delicates, Updated Design, Fridja f1200 Clothes Steamer Pro",1.524,132.99,82.135,4512.91208791208,100
27,5055706641182,717710483480.0,B0FGHZB8FM,PROKLEEN CHENILLE FLOOR MOP & EXTENDABLE HANDLE,"Oversize Turbo Dryer Blower,Car Accessories,Max Instantaneous Thrust 1.60KG,4 Speeds,64MM Super Big Electric Cordless Air Blower for Leaf,Patio Cleaning,Lawn Care & Car Drying (Shining Black)",3.024,129.0,81.64,2659.28338762215,50
47,5055706641137,717710483480.0,B0FGHZB8FM,DLUX PRO KLEEN 2 IN 1 MICROFIBRE FLAT MOP WITH HEAD CHENILLE,"Oversize Turbo Dryer Blower,Car Accessories,Max Instantaneous Thrust 1.60KG,4 Speeds,64MM Super Big Electric Cordless Air Blower for Leaf,Patio Cleaning,Lawn Care & Car Drying (Shining Black)",4.296,129.0,80.58,1951.08958837772,50
51,5013174012392,717710483480.0,B0FGHZB8FM,WET FLOOR SIGNS ABBEY,"Oversize Turbo Dryer Blower,Car Accessories,Max Instantaneous Thrust 1.60KG,4 Speeds,64MM Super Big Electric Cordless Air Blower for Leaf,Patio Cleaning,Lawn Care & Car Drying (Shining Black)",4.44,129.0,80.46,1893.17647058823,50
55,5010353324291,717710483480.0,B0FGHZB8FM,MINKY FLAT MOP,"Oversize Turbo Dryer Blower,Car Accessories,Max Instantaneous Thrust 1.60KG,4 Speeds,64MM Super Big Electric Cordless Air Blower for Leaf,Patio Cleaning,Lawn Care & Car Drying (Shining Black)",4.704,129.0,80.24,1795.07829977628,50
59,5055706650139,,B07XWSM8XY,SOZALI KILPSEAL SQUARE CONTAINERS 2.0/1.2/0.7 LTR,"Square Terminal - Card reader for accepting Contactless, Chip & PIN, Debit Cards, and Credit Cards - Take payments, print receipts, and run your business - UK Version",4.776,117.89,76.5654166666666,1690.18579838116,100
38,5056239432094,,B0FPXDNJ1T,SPRAY ADHESIVE HEAVY DUTY 500ML,LEGO | Marvel Iron Man Mark 3 Collectors' Edition Figure - Avengers Display Model Kit for Adults - incl. a Minifigure & Arc Reactor - Collectible Gift for Fans - 76344,3.36,119.97,74.475,2223.1343283582,200
185,5010303031057,5065018907005.0,B0D3M53JGG,ADDIS LONG HANDLE DUSTPAN & BRUSH,"Powerful 2200W Premium Garment Steamer with 3L Water Tank, Dual Steam Settings for Rapid Wrinkle Release, Suitable for All Fabrics Including Delicates, Updated Design, Fridja f1200 Clothes Steamer Pro",11.4119999999999,132.99,73.895,734.542743538767,100
231,5026180062084,717710483480.0,B0FGHZB8FM,APOLLO WOOD NAIL BRUSH PK24,"Oversize Turbo Dryer Blower,Car Accessories,Max Instantaneous Thrust 1.60KG,4 Speeds,64MM Super Big Electric Cordless Air Blower for Leaf,Patio Cleaning,Lawn Care & Car Drying (Shining Black)",13.2359999999999,129.0,73.13,631.519861830742,50
338,5055490625818,717710483480.0,B0FGHZB8FM,ONYA DINNER SET 16 PIECES 4 MUGS 4 BOWLS 4 DINNER PLATES 4 SIDE PLATES SEIZE THE DAY POPPY,"Oversize Turbo Dryer Blower,Car Accessories,Max Instantaneous Thrust 1.60KG,4 Speeds,64MM Super Big Electric Cordless Air Blower for Leaf,Patio Cleaning,Lawn Care & Car Drying (Shining Black)",17.136,129.0,69.88,471.207012811867,50
18,5055441451442,5702017583471.0,B01N1O0F2K,DEKTON RIGHT ANGLE BRACKETS 8PCS,"LEGO 10327 Icons Dune Atreides Royal Ornithopter, Model Kit for Adults to Build, Movie-Themed Aviation Gifts for Men, Women, Him, Her, Vehicle Set with 8 Minifigures Inc. Chani & Baron Harkonnen",1.68,112.5,69.53,3565.64102564102,100
22,5012213580601,,B08KYJWQPV,TOM SMITH CHRISTMAS CARDS LUXURY SLIM FOLIAGE TEXT,Nilfisk Core 130 Bar High Pressure Washer with Power Control - Mini Power Washer for Patios and Car Cleaner (1500 W),2.016,104.67,69.50125,3116.64798206278,50
221,5025301388218,,B0FPXDNJ1T,BAUER STRAIGHTENER BRUSH 38820 BLACK 21.04,LEGO | Marvel Iron Man Mark 3 Collectors' Edition Figure - Avengers Display Model Kit for Adults - incl. a Minifigure & Arc Reactor - Collectible Gift for Fans - 76344,11.76,119.99,67.4916666666666,652.093397745571,100
3,5050565845627,,B0DN6BWS36,I LOVE YOU BALLOON 40CM,"Mould King V8 Engine Building Blocks Set, 2250 PCS Combustion Engine Model Kit That Runs, Mini Engine for Adults with Battery, Engineering Construction STEM Toy for Boys Girls",0.804,99.99,67.19625,5507.88934426229,50
30,8414926510185,,B0DN6BWS36,SQUARE CANISTER CLASSIC 1.6L SURT VRM,"Mould King V8 Engine Building Blocks Set, 2250 PCS Combustion Engine Model Kit That Runs, Mini Engine for Adults with Battery, Engineering Construction STEM Toy for Boys Girls",2.508,99.99,65.77625,2491.52462121212,50
14,5414886287533,,B0002HZPUG,EASY STORAGE VACUUM BAG 70X100CM,John Deere Ride-on Tractor with Loader and Detachable Trailer,1.476,114.99,65.675,3689.60674157303,100
6,5056170346795,,B0DWDWJTY6,ARTIST PAINT BRUSHES 10PC,"LEGO Ç€ Marvel Spider-Man vs. Oscorp - Interactive Toy with a Motorbike, 8 Minifigures incl. Miles Morales & Green Goblin - Collectible Super Hero Gift for 10+ Year Old Boys & Fans - 76324",1.008,97.99,65.6095833333333,4720.1139088729,400
35,5016574137825,,B0DN6BWS36,LYNWOOD MINI ROLLER SET 5PACK,"Mould King V8 Engine Building Blocks Set, 2250 PCS Combustion Engine Model Kit That Runs, Mini Engine for Adults with Battery, Engineering Construction STEM Toy for Boys Girls",2.82,99.99,65.51625,2259.18103448275,50
9,5022822226623,889328733407.0,B086ZJ8N2T,STATUS LED G9 2W LED CAPSULE BULB EACH,"17.5"" Portable DVD Player with 15.6"" Large HD Swivel Screen, 6 Hours Rechargeable Battery, Support USB/SD Card/Sync TV and Multiple Disc Formats, No Region Restrict, High Volume Speaker, Black",1.14,94.02,64.85,4323.33333333333,500
64,5016679520003,,B0DTKDYJ8J,BIRDBRAND S/WASH R/T/USE EACH 5LT,"2K Bird Feeder with Camera, Solar Powered, AI Identify 10,000+ Birds, 1.8L Capacity, IP65 Waterproof, 2.4GHz/5GHz, Bird Box Camera with Full Color Night Vision, Present for Bird Lover",4.02,99.99,64.51625,1654.26282051282,400
