RowID,EAN,EAN_OnPage,SupplierTitle,AmazonTitle,NetProfit,bought_in_past_month
1202,5050565706331,,SQUARE STORAGE CONTAINERS 900ML 3PC,Sistema Ultra Airtight Pantry Storage Container | 920 ml Square Food Storage Container | Stackable | with Locking Clips | BPA-Free | Clear with Black Accents,2.53208333333333,100
1714,5053521105001,,"CORAL EASY COATER 4"" & FREE BRUSH",Coral 10501 Easy Coater Paint Kit with Headlock and Mini Roller Frame and Hybrid Brush 12 Piece Pack Set,2.06666666666666,500
444,742288768097,5060630696542.0,ELEGANCE SIDE PLATE GOLD LINE 19CM,"MATANA 40 Premium White Plastic Plates with Gold Lace Rim - 20x 26cm Dinner Plates, 20x 19cm Side Plates - Elegant & Reusable Dinnerware for Weddings, Birthdays, Catering, Parties",7.72499999999999,100
472,5053249253183,5053249253183.0,ELBOW GREASE TOILET CLEANER FOAM LEMON FRESH 500G,"3 x Elbow Grease Foaming Toilet Cleaner, Deep Cleaning Action, Lemon Fresh Fragrance 500g",2.09333333333333,200
1068,6260348201185,,SHAKILA CERIEL BOWL,6 Sets 6 Inch Cereal Bowls - 26 Oz Unbreakable Lightweight White Soup Bowls Set Dishwasher Safe For Fruit Salad Kitchen Ramen Mixing Scratch Resistant Reusable Gift For Wedding Home Everyday Use,2.98333333333333,100
2496,5056295709451,5065013587509.0,BLUE CANYON DIATOMITE BATHROOM MAT GREY WAVES 40X60CM,"Diatomite Stone Bath Mat Super Absorbent Quick Dry Easy to Clean Non Slip Versatile Mat for Bathroom, Kitchen, and More - 40x60 cm (Diatomite, Grey)",1.16666666666666,100
1108,5060082728365,,DLUX TELESCOPIC DUSTER ASSORTED COLOURS,Benjia 18th Birthday Banner Decorations for Boys Girls Born in 2007 UK Background Happy 18 Years Old Birthday Backdrop Cheers to 18 Years Banners Black Gold Poster Bday Gift Home Decor Party Supplies,2.27833333333333,50
427,5017403155331,5060630693961.0,ASHLEY HEX JAR WITH LID 110ML ASSORTED,"Oak & Steel - 12 Mini Clip Top Glass Spice Storage Jars - 100 ml Glass Canister Containers with Lids, 24 Labels and Chalk Pen (8 x 5cm) - Perfect for Spice Storage, Jam, Honey, Gifting",5.58333333333333,200
136,6923456822498,762765667798.0,COLOUR GLASS SOAP DISPENSER WITH PUMP 400ML ASSORTED COLOURS,"PH4 Wireless Gaming Headset with Microphone, Game/Music Mode, 2.4GHz Bluetooth Gaming Headphones for PS5, PS4, PC, Switch, Low Latency Lossless Sound Foldable Noise Cancelling Black Green",15.7216666666666,100
2044,8906106597708,5060875603527.0,TRIPLY CASSEROLE STAINLESS STEEL 24CM,INTIGNIS 24 cm Tri-Ply Stainless Steel Casserole 5 L â€“ Honeycomb Hybrid Non-Stick â€“ Induction & All-Hob Safe â€“ Oven Safe with Glass Lid â€“ PFOA-Free Thick Base â€“ Premium Polished Steel Cookware,8.74833333333334,50
2277,5056175988792,5025364007330.0,KEEP IT HANDY ZIP SEAL FOOD & FREEZER 8 LARGE BAGS,"100 TidyZ Large Slide Zip Freezer Bags. Resealable. Zip Lock Food Bags. BPA Free. For Freezing Fruit, Vegetables, Meat. Keeps food Fresh. In a Dispenser Box",0.398333333333334,900
284,5012128193460,,HOME COLLECTION BLACK FRAME 8X10INCH,"Black 8X10 Inch wooden Photo Frame Set of 4 with Mount for 6X8, Boxed Gallery Picture Frames 10X8'' 4Pack,6X8 inch Oxford Modern Thin Picture Frame With Glass Window for Tabletop or Wallmounted",9.37125,50
2184,5055706641458,5060716230929.0,DLUX PRO KLEEN MICROFIBRE BATHROOM & KITCHEN MOP REFILL,DLUX PRO-KLEEN Super Absorbent Chenille Flat Floor Mop with Extendable Handle Hardwood Laminate Tile Cleaner Sweeper Microfibre Duster,0.381666666666667,50
1742,5055441431215,,DEKTON CUTTING DISC METAL 115MM,(10PK) 115mm Metal Cutting Discs - Stainless Steel Mild Steel Iron Ultra Thin Profile Slitting Discs Fast and Clean Cutting,0.781666666666666,100
1276,5024418247340,,SIL CRAFT STENCILS ASS,"Tree of Life Stencils - 12 Pcs Reusable Stencils for Painting, Crafts, DIY Art & Wall DÃ©cor",1.85166666666666,100
1129,5035288173387,,OCIO TOUCH LAMP RECHARGABLE GOLD 2 ASSORTED DESIGNS,"Aooshine Gold Cordless Table Lamps Set of 2, Touch Lamp with 3-Color Modes Rechargeable Night Light, Wireless Touch Control Bedside Lamps for Bedroom(Gold)",9.86166666666666,50
2135,5050565849120,,BEAU MERMAID 4PK PEARL WAVE  HAIR CLIPS 2 ASSTD COL,"Pearl Hair Clip - ShiningUU 2-Pack 3.3cm Large Snap Barrettes for Women, Girls & Children | Elegant Hair Accessories for Daily Styling, Parties & Weddings",0.531666666666667,50
1448,8414926397021,7427318221805.0,PLASTIC FORTE UNDER BED WHEELED STORAGE BOX 31LTR,"Muddy Hands Pack of 2-47 Litre Under Bed Plastic Storage Boxes with Lids â€“ Clear Wheeled Storage Containers for Bedroom, Home & Office â€“ Stackable & Space Saving",9.16041666666666,50
881,5024418596776,,SIL SHOE BRUSHES ASSORTED,"Shoe Brush Set, Horsehair Brushes, polish brush, 3 Pcs Shoe Polish Brushes + 1 PCS Plush Polishing Glove, Ideal for Boots, Car Seats, Bags, Sofas",3.16625,300
1747,5052516213509,,SMART CHOICE PUPPY/SMALL DOG ROPE TOY 5PK,"XL Dog Rope Toys for Aggressive Chewers - Set of 2 Heavy Duty Indestructible Dog Rope Toy for Large Breed Puppy- 100% Cotton Strong, Sturdy Rope - Medium and Large Dogs for Chewing, Teeth, Tug of War",1.605,50
23,5030017011138,,PANASONIC UPRIGHT   SDB113,"ElecKeys Cordless Vacuum Cleaner,65 Mins 580W 48KPa 1.8L Vacuum Cleaners for Home,Self-Standing Anti-Tangle Vacuum,Handheld Vacuum Cleaner Rechargeable Wall-Mounted for Carpets Floors Pet Hair",90.505,300
