asin,supplier_ean,supplier_title,amazon_title,verdict,confidence,pack_verdict,adjusted_profit,source,section,label
B07MGLHMWY,5025364005824,TIDYZ WHEELY BIN LINERS 5 BAGS 300L,Tidyz 30 Extra Large Wheelie Bin Liners Waste Rubbish Bags 300L,HIGHLY LIKELY,85,Split candidate (0.20),£3.36,PHASEA_MANUAL_REPORT_0110052809.md,HIGHLY LIKELY — RECOMMENDED (count=29),Existing Entries
B08FBJ59DR,5023139862917,BACOFOIL ZIPPER BAGS ALL PURPOSE 12 PACK 1L (PM Â£2.19),Bacofoil 3 x Zipper Small All Purpose Bags Food Freezing Storage Bags (45 Bags),HIGHLY LIKELY,85,Pack mismatch 1→3.75 (need 4 units),£0.09,PHASEA_MANUAL_REPORT_0110052809.md;PHASEA_REVIEW_VALIDATED_REPORT_0110012511.md,HIGHLY LIKELY — RECOMMENDED (count=29);HIGHLY LIKELY — RECOMMENDED (count=37),;Existing Entries
B008CY80YY,5012904013777,CHEF AID PASTRY BRUSH 3 IN 1 CARDED,"Chef Aid Pure Bristle Pastry Brush, Beige",HIGHLY LIKELY,85,1:1 Match,£0.16,PHASEA_MANUAL_REPORT_0110052809.md,HIGHLY LIKELY — RECOMMENDED (count=29),Existing Entries
B08XWB7JW9,5010232988019,MARIGOLD OUTDOOR GLOVES EXTRA LARGE,Marigold 2 x Extra Tough Outdoor Gloves - Single Pair (Extra Large),HIGHLY LIKELY,85,1:1 Match,£1.41,PHASEA_MANUAL_REPORT_0110052809.md,HIGHLY LIKELY — RECOMMENDED (count=29),Existing Entries
B08CVK7746,5022822194984,STATUS 3WAY BASIC C/FREE SOCKET WHT 1PK CLAM,STATUS 2 Way Socket / 2 USB Port Cable Free Socket / S2W2USBCFS12,HIGHLY LIKELY,85,1:1 Match,£0.04,PHASEA_MANUAL_REPORT_0110052809.md,HIGHLY LIKELY — RECOMMENDED (count=29),Existing Entries
B084DT8RNB,5012904106219,CHEF AID FLUTED CAKE RING,"Chef Aid Non-Stick Fluted Cake Pan with Non-Stick Coating, Ideal for Home Baked Bread or Cake centrepieces with Flowing Pattern, Internal Measurement of 22.5 cm Diameter, Grey",HIGHLY LIKELY,85,1:1 Match,£0.01,PHASEA_MANUAL_REPORT_0110052809.md,HIGHLY LIKELY — RECOMMENDED (count=29),Existing Entries
B0114IPMS6,5010559684793,DRAPER SPANNER SET METRIC COMBINATION,Draper 1 x Redline 68481 Metric Combination Spanner Set (11-Piece),HIGHLY LIKELY,85,1:1 Match,£2.15,PHASEA_MANUAL_REPORT_0110052809.md,HIGHLY LIKELY — RECOMMENDED (count=29),Existing Entries
B09HCS9QM2,5012128616778,GIFTMAKER CHRISTMAS NON WOVEN SANTA SACK SPECIAL DELIVERY,Giftmaker Collection Large Christmas Santa Sack Gift Stocking For Xmas Presents Special Delivery Bag,HIGHLY LIKELY,85,1:1 Match,£1.04,PHASEA_MANUAL_REPORT_0110052809.md;PHASEA_REVIEW_VALIDATED_REPORT_0110012511.md,HIGHLY LIKELY — RECOMMENDED (count=29);HIGHLY LIKELY — RECOMMENDED (count=37),;Existing Entries
B006A7D1O4,5029594522380,ROLSON PLASTERING TROWEL 280X115MM,"Rolson 52245 Smooth Plastering Trowel, Multi, 280 x 120 mm",HIGHLY LIKELY,85,1:1 Match,£0.74,PHASEA_MANUAL_REPORT_0110052809.md,HIGHLY LIKELY — RECOMMENDED (count=29),Existing Entries
B00HMDJD38,5032759005864,AMTECH TELESCOPIC PICKUP TOOL,Amtech S8006 3 LED telescopic torch and magnetic pick up tool,HIGHLY LIKELY,85,1:1 Match,£0.54,PHASEA_MANUAL_REPORT_0110052809.md,HIGHLY LIKELY — RECOMMENDED (count=29),Existing Entries
B01LCYXS24,3426470268684,PYREX ESSENTIALS CASSEROLE OVAL 4.1LTR,"Pyrex Essentials Glass oval Casserole high resistance, 3 L",HIGHLY LIKELY,85,1:1 Match,£0.21,PHASEA_MANUAL_REPORT_0110052809.md,HIGHLY LIKELY — RECOMMENDED (count=29),Existing Entries
B0070U64RG,5029347009311,EVERBUILD BITUMEN TROWEL MASTIC 1 LITRE,"Everbuild 103 Premium Trowel Mastic, Stone, 6 kg",HIGHLY LIKELY,85,1:1 Match,£5.34,PHASEA_MANUAL_REPORT_0110052809.md,HIGHLY LIKELY — RECOMMENDED (count=29),Existing Entries
B0DN1HXF9B,3426470301268,PYREX AIR FRYER SQUARE DISH 20X17CM,PYREX PREPWARE â€“ Square Glass Dish 20 x 17 cm â€“ 1 L,HIGHLY LIKELY,85,Split candidate (0.06),£4.51,PHASEA_MANUAL_REPORT_0110052809.md,HIGHLY LIKELY — RECOMMENDED (count=29),Existing Entries
B00ABJQTPU,5032759038138,AMTECH TROWEL MARGIN - SOFT GRIP5X2,"Amtech G0230 150mm (6"") Pointing trowel with soft grip",HIGHLY LIKELY,85,Split candidate (0.10),£2.16,PHASEA_MANUAL_REPORT_0110052809.md,HIGHLY LIKELY — RECOMMENDED (count=29),Existing Entries
B01CMHNDKC,5060386422662,BLUE CANYON ROUND WALL MIRROR WHITE,"Blue Canyon Round Mirror, 40 cm Length x 40 cm Width, White",HIGHLY LIKELY,85,1:1 Match,£1.93,PHASEA_MANUAL_REPORT_0110052809.md,HIGHLY LIKELY — RECOMMENDED (count=29),Existing Entries
B0BYKDX25N,5010303194424,FAIRY MAX POWER SOAP DISPENSING DISH BRUSH & REFILLS 3PCS,Fairy Soap Dispensing Dish Brush,HIGHLY LIKELY,85,Split candidate (0.33),£1.23,PHASEA_MANUAL_REPORT_0110052809.md,HIGHLY LIKELY — RECOMMENDED (count=29),Existing Entries
B004TRT3K8,5032759001675,AMTECH SHARPENING STONE 2000,"Amtech E2300 300mm (12"") Cigar Sharpening Stone",HIGHLY LIKELY,85,1:1 Match,£1.02,PHASEA_MANUAL_REPORT_0110052809.md;PHASEA_REVIEW_VALIDATED_REPORT_0110012511.md,HIGHLY LIKELY — RECOMMENDED (count=29);HIGHLY LIKELY — RECOMMENDED (count=37),;Existing Entries
B07VC8TFB8,5010853253428,KILNER BOTTLE SQUARE 1LTR,"Kilner Clip Top Bottle, 1 Litre",HIGHLY LIKELY,85,1:1 Match,£0.91,PHASEA_MANUAL_REPORT_0110052809.md,HIGHLY LIKELY — RECOMMENDED (count=29),Existing Entries
B07NNY768K,5012823030916,FALCON ENAMEL ROUND PIE DISH 26CM,FALCON Round Pie Dish White 26CM,HIGHLY LIKELY,85,1:1 Match,£0.89,PHASEA_MANUAL_REPORT_0110052809.md;PHASEA_REVIEW_VALIDATED_REPORT_0110012511.md,HIGHLY LIKELY — RECOMMENDED (count=29);HIGHLY LIKELY — RECOMMENDED (count=37),;Existing Entries
B00ABJQTPU,5032759027644,"AMTECH POINTING TROWEL 150M(6"") WITH SOFT GRIP","Amtech G0230 150mm (6"") Pointing trowel with soft grip",HIGHLY LIKELY,85,1:1 Match,£0.63,PHASEA_MANUAL_REPORT_0110052809.md;PHASEA_REVIEW_VALIDATED_REPORT_0110012511.md,HIGHLY LIKELY — RECOMMENDED (count=29);HIGHLY LIKELY — RECOMMENDED (count=37),;Existing Entries
B001V9T690,5010618043103,EVERBUILD JET RAPID SET CEMENT 3KG,"Everbuild Jetcem Deep Rapid Repair Sand and Cement, Grey, 6 kg",HIGHLY LIKELY,85,1:1 Match,£0.57,PHASEA_MANUAL_REPORT_0110052809.md,HIGHLY LIKELY — RECOMMENDED (count=29),Existing Entries
B08DRRKWKQ,7612720201457,LITTLE TREES CAR FRESHENER ORANGE JUICE,Little Trees Air Freshener Tree LTZ084 Orange Juice Fragrance For Car Home Boat Caravan - Triple Pack,HIGHLY LIKELY,85,1:1 Match,£0.45,PHASEA_MANUAL_REPORT_0110052809.md,HIGHLY LIKELY — RECOMMENDED (count=29),Existing Entries
B073VPL2VQ,5027785817369,ULTRATAPE PICTURE FRAME TAPE 24MMX50M,Ultratape / Picture Frame Tape / 48mm x 33m,HIGHLY LIKELY,85,1:1 Match,£0.43,PHASEA_MANUAL_REPORT_0110052809.md,HIGHLY LIKELY — RECOMMENDED (count=29),Existing Entries
