asin,supplier_ean,supplier_title,amazon_title,source,section
B08CVK7746,5022822194984,STATUS 3WAY BASIC C/FREE SOCKET WHT 1PK CLAM,STATUS 2 Way Socket / 2 USB Port Cable Free Socket / S2W2USBCFS12,PHASEA_MANUAL_REPORT_0110052809.md,HIGHLY LIKELY — RECOMMENDED (count=29)
B084DT8RNB,5012904106219,CHEF AID FLUTED CAKE RING,"Chef Aid Non-Stick Fluted Cake Pan with Non-Stick Coating, Ideal for Home Baked Bread or Cake centrepieces with Flowing Pattern, Internal Measurement of 22.5 cm Diameter, Grey",PHASEA_MANUAL_REPORT_0110052809.md,HIGHLY LIKELY — RECOMMENDED (count=29)
B00ABJQTPU,5032759038138,AMTECH TROWEL MARGIN - SOFT GRIP5X2,"Amtech G0230 150mm (6"") Pointing trowel with soft grip",PHASEA_MANUAL_REPORT_0110052809.md,HIGHLY LIKELY — RECOMMENDED (count=29)
B0BYKDX25N,5010303194424,FAIRY MAX POWER SOAP DISPENSING DISH BRUSH & REFILLS 3PCS,Fairy Soap Dispensing Dish Brush,PHASEA_MANUAL_REPORT_0110052809.md,HIGHLY LIKELY — RECOMMENDED (count=29)
B073VPL2VQ,5027785817369,ULTRATAPE PICTURE FRAME TAPE 24MMX50M,Ultratape / Picture Frame Tape / 48mm x 33m,PHASEA_MANUAL_REPORT_0110052809.md,HIGHLY LIKELY — RECOMMENDED (count=29)
B07HJWW9W1,5056683921281,CREAOTR ZONE METALLIC MARKERS 4PC,"Funnasting Metallic Marker Pens, Set of 10 Assorted Colours Painting Pens Art Pens, Scrapbook Accessories, Card Making, DIY Photo Album, Plastic, Glass, Metal, Stone, Clothes and Pottery",PHASEA_MANUAL_REPORT_0110052809.md,HIGHLY LIKELY — AUDITED OUT / EXCLUDED (count=115)
B0DL5RW6LV,50304811980144,PPS PAPER BOWL WHITE 180MM 15PCS,50 Pack Strong Paper Bowls â€“ 240ml Small Disposable Compostable Bagasse Bowl for Party â€“ (4.5 x 1.77 inches) Biodegradable Microwavable Soup Bowls - Dessert Milk Salad Cereals Christmas,PHASEA_MANUAL_REPORT_0110052809.md,HIGHLY LIKELY — AUDITED OUT / EXCLUDED (count=115)
B0798S43LM,5026705064579,TEA TOWELS TERRY 3 PACK ASSORTED,"Kitchen Terry Tea Towel 100% Pure Cotton Absorbent Long Lasting Soft Touch Dish Towels, Tea Towels, Bar Towels (Pack of 4)",PHASEA_MANUAL_REPORT_0110052809.md,HIGHLY LIKELY — AUDITED OUT / EXCLUDED (count=115)
B0CTKRQJ4H,8850169047024,IMPERIAL LEATHER SOAP ORIGINAL 190G PK6,"Imperial Leather Bar Soap Original Classic Cleansing Bar, Gentle Skin Care, Bulk Buy, Pack of 8 x 4 bars of 90 g (total 32 bars)",PHASEA_MANUAL_REPORT_0110052809.md,HIGHLY LIKELY — AUDITED OUT / EXCLUDED (count=115)
B004MM6OSY,5012904001842,CHEF AID PASTRY CUTTERS W184,"Chef Aid Pastry Cutters, Set Of 3, Cookie Biscuit Cutter, Scone, Mince Pie, Tarts, Mini Quiches, Dough, At Home Baking, Cake Decorating, Fondant Icing, Round Circle Crinkled Stainless Steel Cutters",PHASEA_MANUAL_REPORT_0110052809.md,HIGHLY LIKELY — AUDITED OUT / EXCLUDED (count=115)
