| Verdict            | Confidence | SupplierTitle                                                     | AmazonTitle                                                                                      | Supplier EAN   | Amazon EAN    | ASIN       | SupplierPrice | SellingPrice | NetProfit | ROI     | Sales | Pack Verdict                   | Adjusted Profit | Key Match Evidence                   | Filter Reason                                     |
|--------------------|------------|-------------------------------------------------------------------|--------------------------------------------------------------------------------------------------|----------------|---------------|------------|---------------|--------------|-----------|---------|-------|--------------------------------|-----------------|-------------------------------------|---------------------------------------------------|
| NEEDS VERIFICATION | 70         | DENIM FACE WASH CAHRCOAL DETOX 100ML PK6                        | Lumin Charcoal Face Wash Daily Detox, Purifying Cleanser for Men with Charcoal,                | 18717278898176 | 850010101309  | B07XVJR8W7 | £4.02         | £14.40       | £2.70     | 0.0%    | 800   | 1:1 Match                      | £2.70           | EAN status unclear                    | EAN conflict; needs verification                  |
| NEEDS VERIFICATION | 70         | WHITE GLO TOOTHPASTE PROFESSIONAL CHOICE 100ML PK6              | White Glo Extra Strength Whitening Toothpaste Professional Choice (100ml) - Pack               | 29319871000619 | -             | B0122ZMXYQ | £10.74        | £18.99       | £0.33     | 0.0%    | 50    | 1:1 Match                      | £0.33           | EAN status unclear                    | No Amazon EAN; needs verification                 |
| NEEDS VERIFICATION | 70         | PYREX BUTTERFLY RECTANGULAR DISH SET OF 2                       | Pyrex - Set of 3 Rectangular Oven Dishes - Ideal for 2 to 6 People - 3 Sizes - B               | 3426470299985  | -             | B0BN8J4WLM | £14.50        | £26.89       | £0.59     | 0.0%    | 400   | 1:1 Match                      | £0.59           | EAN status unclear                    | No Amazon EAN; needs verification                 |
| NEEDS VERIFICATION | 70         | ADIDAS DEODORANT PURE GAME MENS 150ML PK6                       | Set 6 ADIDAS Deodorant Spray 150 Ml Pure Game Hygiene And Body Care                            | 3607345711782  | 7432509764764 | B07DCXX17M | £12.89        | £25.00       | £4.01     | 0.0%    | 50    | 1:1 Match                      | £4.01           | EAN status unclear                    | EAN conflict; needs verification                  |
| NEEDS VERIFICATION | 70         | PALOMA NAPKIN 3 PLY BABY BLUE 20 NAPKINS                        | Designer Paper Napkins, 3-Ply 16.5x16.5 cm Disposable Decorative Guest Lunch Nap               | 3838952022590  | -             | B0CP4WP66Z | £1.14         | £5.99        | £0.86     | 0.0%    | 50    | 1:1 Match                      | £0.86           | EAN status unclear                    | No Amazon EAN; needs verification                 |
| NEEDS VERIFICATION | 70         | SCHOTT ZWIESEL WHITE WINE GLASS 407ML SET OF 2                  | Schott Zwiesel Pure Glassware - White Wine Glasses - Set of 2, 408ml Capacity, T               | 4001836065665  | 5023041541245 | B073XQYNQT | £3.35         | £19.99       | £7.18     | 0.0%    | 200   | 1:1 Match                      | £7.18           | EAN status unclear                    | EAN conflict; needs verification                  |
| NEEDS VERIFICATION | 70         | FESTIVE MAGIC SEQUINS NUTCRACKER 30CM                           | THE TWIDDLERS Wooden Christmas Nutcracker Soldier 30cm / 12" - Handmade Pine Woo               | 4894158146866  | 5060686327582 | B0DDYYFBBB | £6.18         | £14.44       | £1.03     | 0.0%    | 50    | 1:1 Match                      | £1.03           | EAN status unclear                    | EAN conflict; needs verification                  |
| NEEDS VERIFICATION | 70         | DOVE STICK 40ML ORIGINAL WOMEN PK6                              | Dove Original Antiperspirant Deodorant Stick 40ml Bundle â€” Grooming Essentials               | 5000228975901  | -             | B00LNC810U | £13.43        | £21.80       | £0.16     | 0.0%    | 100   | 1:1 Match                      | £0.16           | EAN status unclear                    | No Amazon EAN; needs verification                 |
| NEEDS VERIFICATION | 70         | WATCH DIGITAL BLACK ASSORTED CW0031                             | SOCICO Men Digital Watch 3ATM Waterproof Sport with LED Back Light/Alarm/Date/St               | 5009459070300  | -             | B0F31VKDTQ | £4.50         | £12.59       | £2.21     | 0.0%    | 400   | 1:1 Match                      | £2.21           | EAN status unclear                    | No Amazon EAN; needs verification                 |
| NEEDS VERIFICATION | 70         | MARIGOLD OUTDOOR GLOVES EXTRA LARGE                             | Marigold 2 x Extra Tough Outdoor Gloves - Single Pair (Extra Large)                            | 5010232988019  | 9790504074621 | B08XWB7JW9 | £2.02         | £7.99        | £1.41     | 0.0%    | 200   | 1:1 Match                      | £1.41           | EAN status unclear                    | EAN conflict; needs verification                  |
