Verdict,Confidence,SupplierTitle,AmazonTitle,Supplier EAN,Amazon EAN,ASIN,SupplierPrice,SellingPrice,NetProfit,ROI,Sales,Pack Verdict,Adjusted Profit,Key Match Evidence,Filter Reason
VERIFIED,95,SUPERIOR FOIL 10 CONTAINERS & LID 9X9IN,"Superior 10-Pack Aluminium Foil Trays with Paper Lids, Heavy Duty Aluminium Takeaway Containers, ...",5060357990107,5060357990107,B0DJDH23JW,£3.66,£12.97,£2.13,59.12%,700,1:1 Match,£2.13,Exact EAN match,-
VERIFIED,95,PPS ROUND 40 DOYLEYS 21CM,"40 X White Round LACE DOYLEYS - 22cm/8.5"" Quality Disposable Paper mats Great for Entertaining an...",5030481940088,5030481940088,B07YQ5HFFN,£0.67,£4.28,£0.30,26.73%,700,1:1 Match,£0.30,Exact EAN match,-
VERIFIED,95,CHEF AID SHOT GLASSES ASSORTED 20PCE,"Chef Aid Multi-Coloured Plastic Shot Glasses, Pack of 20 Reusable 30ml Party Cups, Bright, Colour...",5012904148738,5012904148738,B00M36YPIM,£1.75,£6.90,£0.03,1.49%,600,1:1 Match,£0.03,Exact EAN match,-
VERIFIED,95,BLUE CANYON VECTOR SHOWER SPRAY,Blue Canyon Vector Double Tap Shower Spray/ Bathroom Accessory/ Premium Shower Attachment for Bat...,5060187175750,5060187175750,B008F6946C,£4.30,£9.85,£0.20,4.80%,500,1:1 Match,£0.20,Exact EAN match,-
VERIFIED,95,HIGHLAND COW PLAQUE FRIENDS,Lesser & Pavey Love & Affection Highland Cow Wooden Plaque - Friends For Home Decor & Gift / Wood...,5010792749549,5010792749549,B0DPQVJ4NW,£6.59,£14.99,£1.24,20.56%,400,1:1 Match,£1.24,Exact EAN match,-
VERIFIED,95,ELBOW GREASE TOILET CLEANER FOAM LEMON FRESH 500G,"3 x Elbow Grease Foaming Toilet Cleaner, Deep Cleaning Action, Lemon Fresh Fragrance 500g",5053249253183,5053249253183,B0CCJS5GKB,£0.00,£8.38,£2.09,380.61%,200,1:1 Match,£2.09,Exact EAN match,-
VERIFIED,95,AMTECH LED MINI TORCH,Amtech S1532 9 LED mini Torch,5032759031078,5032759031078,B003XKPUSQ,£1.72,£7.99,£2.35,118.60%,200,1:1 Match,£2.35,Exact EAN match,-
VERIFIED,95,AIRWICK REED DIFFUSER MULLED WINE 33ML PK5,"Air Wick Essential Oils Reed Diffuser Air Freshener Mulled Wine Scent, 5 Bottles X 30 ml",5059001500861,5059001500861,B07WDRQ4J7,£13.43,£46.00,£16.55,141.00%,200,1:1 Match,£16.55,Exact EAN match,-
VERIFIED,95,ELLIOTT WINDOW SQUEEGE 20CM,"Elliott Multi-Purpose Window Squeegee perfect for streak free cleaning on Windows, shower screens...",5013159300353,5013159300353,B00KB225MS,£1.84,£6.64,£0.29,14.10%,200,1:1 Match,£0.29,Exact EAN match,-
VERIFIED,95,MASON CASH MIXING BOWL CREAM 29CM,Mason Cash Colour Mix Cream Mixing Bowl / 4 Litre Capacity / 29cm Earthenware Bowl with Classic P...,5010853235530,5010853235530,B01IFIJ91Y,£7.66,£24.99,£5.11,73.81%,200,1:1 Match,£5.11,Exact EAN match,-
VERIFIED,95,GLASS WHISKEY DECANTER,alpina Whiskey Decanter and Caraf,8711252100531,8711252100531,B07JD22MJ2,£2.35,£8.29,£0.02,0.73%,200,1:1 Match,£0.02,Exact EAN match,-
VERIFIED,95,CHEF AID STRAINER DIAMETER 18CM,"Chef Aid 18cm Long Handled Metal Sieve, Kitchen Essential Tool and Ideal for Straining, draining,...",5012904004188,5012904004188,B000TAU3QW,£1.94,£6.40,£0.08,3.84%,200,1:1 Match,£0.08,Exact EAN match,-
VERIFIED,95,151 ADHESIVE SPRAY HEAVY DUTY 500ML,3 Spray Glue Adhesive Contact Glue Heavy Duty Mount DIY Craft Upholstery 500ml,5053249215044,5053249215044,B098P62161,£3.63,£10.99,£0.91,25.58%,200,1:1 Match,£0.91,Exact EAN match,-
VERIFIED,95,ELLIOTTS GLASS SPRAY BOTTLE BROWN480ML,"Elliott 480ml Brown Glass Spray Bottle, Manufactured from Recycled Glass and featuring a locking ...",5013159004428,5013159004428,B099X92QGG,£2.44,£7.27,£0.22,8.46%,100,1:1 Match,£0.22,Exact EAN match,-
VERIFIED,95,PAN AROMA C TEA-LIGHTS 16PK APP&CIN,Pan Aroma 16 Tea Lights Apple & Cinnamon,5053249228174,5053249228174,B083XH692T,£1.30,£6.87,£1.33,81.90%,100,1:1 Match,£1.33,Exact EAN match,-
