Verdict,Confidence,SupplierTitle,AmazonTitle,Supplier EAN,Amazon EAN,ASIN,SupplierPrice,SellingPrice,NetProfit,ROI,Sales,Pack Verdict,Adjusted Profit,Key Match Evidence,Filter Reason
HIGHLY LIKELY,80,EVERBUILD SEALANT STRIPOUT TOOL,Everbuild Super Flow Sealant/Adhesive Cartridge Applicator Gun with Rotating Barrel â€“ Soft Grip...,5029347603557,-,B00IZMVQOO,4.1,49.65,28.79,725.16%,400,1:1 Match,28.79,Brand match: EVERBUILD,-
HIGHLY LIKELY,80,WORLD OF PETS CAT LITTER SCENTED 3LT,World's Best Cat Litter 28lb (12.7kg) Lavender Scented,5052516216876,-,B009S64OI6,2.76,39.19,16.14,566.26%,800,1:1 Match,16.14,Brand match: WORLD,-
HIGHLY LIKELY,80,KINGAVON 6 LED TORCH,Kingavon BB-RT380 20-LED Rechargeable Emergency Sensor Light,5017403046660,-,B00BZ33FDU,1.21,13.5,5.59,358.49%,50,1:1 Match,5.59,Brand match: KINGAVON,-
HIGHLY LIKELY,80,PUKKA PAD WILD  A6 JOTTA NOTEBOOK,"Pukka Pad, Wild A4+ Jotta Notebooks â€“ Pack of 2 Wirebound Notebooks in Assorted Zebra and Leopa...",5032608095794,-,B08YS1FF98,0.89,11.49,4.43,342.72%,100,BUNDLE (2x) - OK,3.54,Brand match: PUKKA,-
HIGHLY LIKELY,80,Mokate Gold Premium Coffee Caramel Latte 10pk,"Mokate Gold Premium Caramel Latte Coffee Sachets x10 (Pack of 12, Total 120 Sachets)",5900649077997,-,B08JQKL34C,1.77,15.49,6.54,322.61%,200,BUNDLE (1x) - OK,6.18,Brand match: MOKATE,-
HIGHLY LIKELY,80,QUEST EXPRESSO COFFEE EXPRESSO MACHINE WITH MILK FROTHER,Quest 36569 Espresso Coffee Machine With Milk Frother / 1.2L Water Tank and Drip Tray/Steam Ready...,5025301365790,-,B0B3F548G7,15.59,69.99,33.63,248.35%,500,1:1 Match,33.63,Brand match: QUEST,-
HIGHLY LIKELY,80,WORD STACKERS  WORD GAME,"Upwords, Fun and Challenging Family Word Game with Stackable Letter Tiles, for Ages 8 and Up",5015934779163,-,B07N3ZM4GQ,3.83,22.83,8.7,232.75%,200,1:1 Match,8.7,Brand match: WORD,-
HIGHLY LIKELY,80,THE BIG CHEESE NEO ZAP ELECTRONIC RAT KILLER REFILL,"The Big Cheese Ultra Power - Electronic Mouse Killer, Quick, Effective Humane - Professional Elec...",5036200127242,-,B00TU1VL08,2.88,16.99,6.67,226.26%,200,1:1 Match,6.67,Brand match: THE,-
HIGHLY LIKELY,80,BACOFOIL ZIPPER BAGS ALL PURPOSE 12 PACK 1L (PM Â2.19),Bacofoil 3 x Zipper Small All Purpose Bags Food Freezing Storage Bags (45 Bags),5023139862917,-,B08FBJ59DR,1.03,9.96,2.93,207.80%,500,1:1 Match,2.93,Brand match: BACOFOIL,-
HIGHLY LIKELY,80,COTTON BUDS IN JAR 12X6CM 50 PCS,Cotton Bud Holder 10 Oz Bathroom Jars with Lids for Cotton Ball Swab Pad Cotton Pad Holder (4 Pack),5024418531081,-,B0B93FVKPS,0.94,8.99,2.63,197.59%,400,1:1 Match,2.63,Brand match: COTTON,-
