Verdict,Confidence,SupplierTitle,AmazonTitle,Supplier EAN,Amazon EAN,ASIN,SupplierPrice,SellingPrice,NetProfit,ROI,Sales,Pack Verdict,Adjusted Profit,Key Match Evidence,Filter Reason
NEEDS VERIFICATION,60,SQUARE SPICE JAR BLACK/WHITE,"Square Spice Jars Set of 24 with Bamboo Lids, Shaker Inserts, Pre-Printed English Labels, Black a...",6923456823471,-,B0CNCZJLYF,£0.78,£24.99,£10.72,893.75%,200,1:1 Match,£10.72,Brand match: SQUARE,Needs verification
NEEDS VERIFICATION,60,ORAL B TOOTHBRUSH KIDS STAR WARS EACH,"Oral-B Pro Junior Kids Electric Toothbrush, 1 Star Wars Mandalorian Handle, 1 Toothbrush Head, 3 ...",4210201193616,8006540774823,B0C143F196,£4.69,£49.99,£26.51,594.36%,100,1:1 Match,£26.51,Brand match: ORAL,Needs verification
NEEDS VERIFICATION,60,BLOCK TECH 50 BRICKS AND FIGURE,Block Tech Drip Bear Black / Urban 252-Piece Building Brick Art Set for Kids Age 6+ / Cool Collec...,5015934639801,-,B0FY6CSD9Q,£1.01,£14.99,£6.82,490.50%,100,1:1 Match,£6.82,Brand match: BLOCK,Needs verification
NEEDS VERIFICATION,60,SUPERIOR ROUND 10 CONTAINER & LID 2 OZ,Superior 20-Pack 16oz Microwave Containers With Lids â€“ Durable Crack-Resistant Clear Round Food...,5060357992750,5060357992415,B07MZ2Z9GL,£0.67,£13.97,£5.30,477.63%,100,1:1 Match,£5.30,Brand match: SUPERIOR,Needs verification
NEEDS VERIFICATION,60,BLOCK TECH MINI BUILDZ ASSORTED,Block Tech Drip Bear Black / Urban 252-Piece Building Brick Art Set for Kids Age 6+ / Cool Collec...,5015934804230,-,B0FY6CSD9Q,£1.06,£14.99,£6.78,473.98%,100,1:1 Match,£6.78,Brand match: BLOCK,Needs verification
NEEDS VERIFICATION,60,SUPERIOR ROUND 10 CONTAINER & LID 4 OZ,Superior 32oz Food Containers With Lids â€“ 20-Pack Durable Crack-Resistant Clear Round Deli Cont...,5060357992767,5060357992422,B0DKD8V7F6,£0.80,£14.97,£5.64,462.70%,100,1:1 Match,£5.64,Brand match: SUPERIOR,Needs verification
NEEDS VERIFICATION,60,HOBBY FLORIA LACE PRACTICAL BASKET MEDIUM,"Hobby Gift Sewing Box, Wood/Fabric, Embroidered Bee, Medium",8694064013285,5029784903364,B0933MHLG6,£2.00,£24.99,£9.98,449.77%,400,1:1 Match,£9.98,Brand match: HOBBY,Needs verification
NEEDS VERIFICATION,60,WICKED STATIONERY BACKPACK,"WICKED Backpack, Glinda And Elphaba Girls Backpack, Girls School Bag, Kids School Bag",5015934923276,5056814619636,B0FKH5GWYL,£2.89,£19.99,£7.72,260.75%,400,1:1 Match,£7.72,Brand match: WICKED,Needs verification
NEEDS VERIFICATION,60,Dog Figure '8' Knot Ball Rope Toy(12/48),Dog Pet Puppy Chew Toys for Teething Boredom Dogs Rope Ball Knot Training Teeth Dogs Treats Toys ...,5060226032587,729792886936,B0725XC6BS,£0.88,£10.94,£3.24,252.86%,800,1:1 Match,£3.24,Brand match: DOG,Needs verification
NEEDS VERIFICATION,60,FESTIVE MAGIC SANT SLEIGH FELT BUCKET,Festive Childrens Holding DIY Sleigh - Large Xmas Home Decoration Ideal for Small Presents or Sto...,9333527629203,-,B0DM9FNQ9R,£1.68,£12.99,£4.84,248.27%,300,1:1 Match,£4.84,Brand match: FESTIVE,Needs verification
