Product #,Supplier Title,Supplier EAN,Amazon Title,ASIN,Match Status,Match Score,Supplier Details,Amazon Details,Pack Ratio,Note,Verification Notes
7.0,EXTRA SELECT FISH FOOD BLEND BUCKET 5L,5022247500007.0,Extra Select Complete Fish Food Blend Tub 5L,-,CONFIRMED MATCH,100.0,Extra Select 5L,Extra Select 5L,01:01:00,Same size,Perfect match
1.0,AMTECH RECHARGEABLE WORK LIGHT WITH MAGNETIC STAND 3W,5032759051380.0,T-SUN Rechargeable LED Work Light with Metal Stand 4100Lumen,B0FGJ9JGSB,DIFFERENT PRODUCT,30.0,"AMTECH TOOLS, 3W, £4.13","T-SUN, 4100 Lumen, £51.98",,Different brands,Brand mismatch: AMTECH vs T-SUN. Spec mismatch: 3W vs 4100L. 12x price gap.
2.0,"IMPERIAL DEEP DINNER PLATE BLUE 10""",8694169938513.0,Denby Imperial Blue Dinner Plates Set of 2,B07SG6C3BR,DIFFERENT PRODUCT,30.0,"Generic, £1.59/plate","Denby branded, £13.87/plate (Set of 2)",02:01:00,No Denby branding,Supplier: generic budget plates. Amazon: Premium Denby brand. 8.7x price gap.
3.0,PORCELAIN MUG 12OZ COLOURED,7422887268073.0,vancasso SIMI Mugs Set 12oz Set of 6 Bohemian,B0FN3TVZVL,DIFFERENT PRODUCT,30.0,"Plain colored, £0.62/mug","vancasso Bohemian patterned, £6/mug (Set of 6)",06:01:00,Plain vs decorative,Supplier: plain solid colors. Amazon: vancasso Bohemian decorative. 10x price gap.
9.0,CHRISTMAS CRACKER 8 X 12.5 PREMIUM GOLD FOLIAGE,5015302170172.0,Diamond 50x12 Gold Cream Stars Catering Christmas Crackers,B0BCHSG3LN,LIKELY MATCH,70.0,Foldaway Grocer 50x12,Gall Toys Fairy 45g,01:01:00,Piece variance,"Close match, piece variance"
12.0,MASON CASH OM MIXING BOWL,5010853197638.0,Mason Cash OM Mason Cash OM,B08KJBJ12RQ,LIKELY MATCH,70.0,Mason Cash OM Mason Cash,Mason Cash OM Mason Cash,01:01:00,Color variant difference,Color variant difference
14.0,LAV FAME WHISKY TUMBLER 40cl,5055512159437.0,LAV Fame 40cl LAV 400mm pack,B087RLQF1Y,CONFIRMED MATCH,75.0,LAV Fame 40cl LAV 400mm,LAV Fame 40cl LAV 400mm pack,04:01:00,4 supplier packs = Amazon,4 supplier packs = Amazon pack
16.0,SCHOLL CHARCOAL FOOTBAL,5052197067460.0,Scholl Charcoal Scholl Active 5 Rep,B07XXVDIXS,CONFIRMED MATCH,90.0,Scholl Charcoal,Scholl Charcoal,01:01:00,Perfect match,Perfect match
20.0,CHEF AID SANTOKU KNIFE SOFT GRIP HANDLE,5012904112753.0,MasterChef Knife Set with Block 5 Kitchen,B0D5HN7W14,DIFFERENT PRODUCT,25.0,Chef Aid Santoku single knife,MasterChef Knife Set with 5 knives,,Not viable,Single knife vs complete set. Different appliances
23.0,PADDED ENVELOPES SIZE BLUE METALLIC,5061023403346.0,Envelopes size Mail Lite pack of 33,B0017KXJLM,DIFFERENT PRODUCT,25.0,Envelopes size Mail Lite,Gall Toys Lite pack of 33,-,Not viable,"Pack size mismatch, possible pack confusion"
24.0,PUZZLE FAIRY 45pcs Gall Toys,5015934701171.0,Puzzle Fairy 45pcs Gall Toys Fairy,B007R482V6,DIFFERENT PRODUCT,31.0,PAN AROMA CANDLE Scented 85g,Gall Toys,-,Different brand,Completely unrelated products
26.0,YALE ESSENTIAL PADLOCK 30mm,5011808056250.0,Yale Deadlock P Yale 5 Lever Deadlock,B000TAUFFG,CONFIRMED MATCH,90.0,Yale Deadlock P,Yale 5 Lever Deadlock,01:01:00,"Same product, EAN conflict","Same product, EAN conflict detected"
37.0,TEA TOWELS TERRY 3 PACK ASSORTED,5026710772672.0,Kitchen Terry Tea Towel 100 Pure Cotton Pack of 4,B0798S43LM,CONFIRMED MATCH,90.0,Kitchen Terry Tea Towel,Kitchen Terry Tea Towel 100 Cotton,01:01:00,Pack size mismatch 3 vs 4,"Supplier pack of 3, Amazon pack of 4"
