RowID,EAN,EAN_OnPage,ASIN,SupplierTitle,AmazonTitle,Sales,SupplierPrice_incVAT,SellingPrice_incVAT,NetProfit,ROI,is_exact_ean_strict,Brand_Match,title_match,Sup_Qty,Amz_Total,RSU,Pack_Mode,Pack_Verdict,Adjusted_Profit,Final_Category,Confidence,Filter_Reason,Key_Evidence
1,5033601010654.0,,B0F43JDYKX,EUROWRAP GIANT BIRTHDAY BADGE GIRL 3,"Motorola edge 60 fusion, Pantone Slipstream, Moto AI Smartphone, 50MP Sony LYTIA Camera, with Co2 offset",100,0.744,299.99,208.912916666666,178.558048433048,False,False,0.17142857142857143,1,1,1,1:1,1:1 Match,208.912916666666,UNCERTAIN,0,-,Title analysis
2,5015302477202.0,717710483480.0,B0FGHZB8FM,LUXURY CUPCAKE 100 CASES,"Oversize Turbo Dryer Blower,Car Accessories,Max Instantaneous Thrust 1.60KG,4 Speeds,64MM Super Big Electric Cordless Air Blower for Leaf,Patio Cleaning,Lawn Care & Car Drying (Shining Black)",50,0.852,129.0,83.45,66.2301587301587,False,False,0.11162790697674418,100,1,1,split,SPLIT - VERIFY,83.45,UNCERTAIN,0,-,Title analysis
3,5050565845627.0,,B0DN6BWS36,I LOVE YOU BALLOON 40CM,"Mould King V8 Engine Building Blocks Set, 2250 PCS Combustion Engine Model Kit That Runs, Mini Engine for Adults with Battery, Engineering Construction STEM Toy for Boys Girls",50,0.804,99.99,67.19625,55.0788934426229,False,False,0.1414141414141414,1,1,1,1:1,1:1 Match,67.19625,UNCERTAIN,0,-,Title analysis
4,5060082728921.0,705736912404.0,B0DN6BWS36,DLUX PEGS WITH SOFT RUBBER GRIP PLASTIC LARGE 12 PIECES,"Mould King V8 Engine Building Blocks Set, 2250 PCS Combustion Engine Model Kit That Runs, Mini Engine for Adults with Battery, Engineering Construction STEM Toy for Boys Girls",50,0.768,99.99,62.165,52.239495798319304,False,False,0.20869565217391303,12,1,1,split,SPLIT - VERIFY,62.165,UNCERTAIN,0,-,Title analysis
5,5010353328800.0,5065018907005.0,B0D3M53JGG,MINKY CURVE SCOURER 2PC,"Powerful 2200W Premium Garment Steamer with 3L Water Tank, Dual Steam Settings for Rapid Wrinkle Release, Suitable for All Fabrics Including Delicates, Updated Design, Fridja f1200 Clothes Steamer Pro",100,1.524,132.99,82.135,45.1291208791208,False,False,0.026905829596412557,2,1,1,split,SPLIT - VERIFY,82.135,UNCERTAIN,0,-,Title analysis
6,5060082727214.0,705736912404.0,B0DN6BWS36,STARWASH CLOTHES LINE 30M,"Mould King V8 Engine Building Blocks Set, 2250 PCS Combustion Engine Model Kit That Runs, Mini Engine for Adults with Battery, Engineering Construction STEM Toy for Boys Girls",50,1.008,99.99,61.965,44.5791366906474,False,False,0.08,1,1,1,1:1,1:1 Match,61.965,UNCERTAIN,0,-,Title analysis
7,5022822226623.0,889328733407.0,B086ZJ8N2T,STATUS LED G9 2W LED CAPSULE BULB EACH,"17.5"" Portable DVD Player with 15.6"" Large HD Swivel Screen, 6 Hours Rechargeable Battery, Support USB/SD Card/Sync TV and Multiple Disc Formats, No Region Restrict, High Volume Speaker, Black",500,1.14,94.02,64.85,43.233333333333306,False,False,0.1565217391304348,1,1,1,1:1,1:1 Match,64.85,UNCERTAIN,0,-,Title analysis
8,5012904079582.0,,B0FLXV5TG6,CHEF AID LANC PEELER PLASTIC HAND,"NiwNiw Heavy Duty Trailer Hitch Lock with Forged Steel Safety Ball Ifor Williams Knott Avonride 50mm Head (575003/575004/575005/575008),High Security Anti-Theft Caravan Tow Bar Coupling Lock",50,0.852,81.98,54.3991666666666,43.1739417989418,False,False,0.11659192825112108,1,1,1,1:1,1:1 Match,54.3991666666666,UNCERTAIN,0,-,Title analysis
9,6923456819818.0,,B0DK877SSC,ADORN PLACEMAT GOLD EMBOSSED 37CM ASSORTED,EVER ADVANCED Luxury Camping Chairs for Adults Heavy Duty Loadable 150kg High Back Oversized Folding Garden Chair Padded 6cm Comfy with Cup Holder Side Pocket Dining Chairs 4-Position Recliner,100,0.804,69.99,45.9462499999999,37.6608606557376,False,False,0.23076923076923078,1,1,1,1:1,1:1 Match,45.9462499999999,UNCERTAIN,0,-,Title analysis
10,4894158018552.0,,B0DNSWBYMZ,FESTIVE MAGIC BELLS 8PC ASSORTED,"Hazel Quinn x Eduardo Recife 2-Slice Toaster, 6 Browning Levels, Defrost/Reheat/Cancel Functions, Removable Crumb Tray for Easy Cleaning, 1.5-Inch Extra-Wide Slots, Retro Style Collaboration",50,0.672,69.99,41.565,37.4459459459459,False,False,0.1981981981981982,8,1,1,split,SPLIT - VERIFY,41.565,UNCERTAIN,0,-,Title analysis
