,EAN,SupplierTitle,AmazonTitle,bought_in_past_month,SupplierPrice_incVAT,NetProfit
0,5033601010654,EUROWRAP GIANT BIRTHDAY BADGE GIRL 3,"Motorola edge 60 fusion, Pantone Slipstream, Moto AI Smartphone, 50MP Sony LYTIA Camera, with Co2 offset",100,0.744,208.912916666666
1,5015302477202,LUXURY CUPCAKE 100 CASES,"Oversize Turbo Dryer Blower,Car Accessories,Max Instantaneous Thrust 1.60KG,4 Speeds,64MM Super Big Electric Cordless Air Blower for Leaf,Patio Cleaning,Lawn Care & Car Drying (Shining Black)",50,0.852,83.45
2,5050565845627,I LOVE YOU BALLOON 40CM,"Mould King V8 Engine Building Blocks Set, 2250 PCS Combustion Engine Model Kit That Runs, Mini Engine for Adults with Battery, Engineering Construction STEM Toy for Boys Girls",50,0.804,67.19625
3,5060082728921,DLUX PEGS WITH SOFT RUBBER GRIP PLASTIC LARGE 12 PIECES,"Mould King V8 Engine Building Blocks Set, 2250 PCS Combustion Engine Model Kit That Runs, Mini Engine for Adults with Battery, Engineering Construction STEM Toy for Boys Girls",50,0.768,62.165
4,5010353328800,MINKY CURVE SCOURER 2PC,"Powerful 2200W Premium Garment Steamer with 3L Water Tank, Dual Steam Settings for Rapid Wrinkle Release, Suitable for All Fabrics Including Delicates, Updated Design, Fridja f1200 Clothes Steamer Pro",100,1.524,82.135
5,5060082727214,STARWASH CLOTHES LINE 30M,"Mould King V8 Engine Building Blocks Set, 2250 PCS Combustion Engine Model Kit That Runs, Mini Engine for Adults with Battery, Engineering Construction STEM Toy for Boys Girls",50,1.008,61.965
6,5022822226623,STATUS LED G9 2W LED CAPSULE BULB EACH,"17.5"" Portable DVD Player with 15.6"" Large HD Swivel Screen, 6 Hours Rechargeable Battery, Support USB/SD Card/Sync TV and Multiple Disc Formats, No Region Restrict, High Volume Speaker, Black",500,1.14,64.85
7,5012904079582,CHEF AID LANC PEELER PLASTIC HAND,"NiwNiw Heavy Duty Trailer Hitch Lock with Forged Steel Safety Ball Ifor Williams Knott Avonride 50mm Head (575003/575004/575005/575008),High Security Anti-Theft Caravan Tow Bar Coupling Lock",50,0.852,54.3991666666666
8,6923456819818,ADORN PLACEMAT GOLD EMBOSSED 37CM ASSORTED,EVER ADVANCED Luxury Camping Chairs for Adults Heavy Duty Loadable 150kg High Back Oversized Folding Garden Chair Padded 6cm Comfy with Cup Holder Side Pocket Dining Chairs 4-Position Recliner,100,0.804,45.9462499999999
9,4894158018552,FESTIVE MAGIC BELLS 8PC ASSORTED,"Hazel Quinn x Eduardo Recife 2-Slice Toaster, 6 Browning Levels, Defrost/Reheat/Cancel Functions, Removable Crumb Tray for Easy Cleaning, 1.5-Inch Extra-Wide Slots, Retro Style Collaboration",50,0.672,41.565
10,5414886287533,EASY STORAGE VACUUM BAG 70X100CM,John Deere Ride-on Tractor with Loader and Detachable Trailer,100,1.476,65.675
11,5050565743725,CEMENT FLOWER POT WITH SUCCULENT CIRCLE 3 ASSORTED,"Sewing Machine for Beginners â€“ Portable Electric with 12 Built-In Stitch Patterns, 6 Presser Feet, Foot Pedal, 2-Speed Control, Fast Sewing for Clothes, Fabrics, DIY & Home Use",100,0.804,44.6016666666666
12,5012904000425,CHEF AID MINI SPOUT BRUSH,"NiwNiw Heavy Duty Trailer Hitch Lock with Forged Steel Safety Ball Ifor Williams Knott Avonride 50mm Head (575003/575004/575005/575008),High Security Anti-Theft Caravan Tow Bar Coupling Lock",50,1.032,51.4166666666666
13,5055706641151,PROKLEEN SPUNLACE FLOOR MOP & HANDLE,"Oversize Turbo Dryer Blower,Car Accessories,Max Instantaneous Thrust 1.60KG,4 Speeds,64MM Super Big Electric Cordless Air Blower for Leaf,Patio Cleaning,Lawn Care & Car Drying (Shining Black)",50,2.088,82.42
14,5012904018475,TALA STAINLESS STEEL TOWEL HOLDER,"NiwNiw Heavy Duty Trailer Hitch Lock with Forged Steel Safety Ball Ifor Williams Knott Avonride 50mm Head (575003/575004/575005/575008),High Security Anti-Theft Caravan Tow Bar Coupling Lock",50,1.164,54.1391666666666
15,5055297302240,PLUNGER BUFFALO MINI PLUNGER,"Oversize Turbo Dryer Blower,Car Accessories,Max Instantaneous Thrust 1.60KG,4 Speeds,64MM Super Big Electric Cordless Air Blower for Leaf,Patio Cleaning,Lawn Care & Car Drying (Shining Black)",50,2.196,82.33
16,5030017011138,PANASONIC UPRIGHT   SDB113,"ElecKeys Cordless Vacuum Cleaner,65 Mins 580W 48KPa 1.8L Vacuum Cleaners for Home,Self-Standing Anti-Tangle Vacuum,Handheld Vacuum Cleaner Rechargeable Wall-Mounted for Carpets Floors Pet Hair",300,2.616,90.505
17,5012213580601,TOM SMITH CHRISTMAS CARDS LUXURY SLIM FOLIAGE TEXT,Nilfisk Core 130 Bar High Pressure Washer with Power Control - Mini Power Washer for Patios and Car Cleaner (1500 W),50,2.016,69.50125
18,5013922057019,PARTY CRAZY BALLOONS ASSORTED 20,"KODAK 10.1 Inch WiFi Digital Picture Frame with 32GB Storage, Electronic Smart Digital Photo Frame 1280x800 IPS Touch Screen, Auto-Rotate, Share Moments Instantly Gifts for Women Mothers Day Christmas",100,0.852,39.0708333333333
