EAN,EAN_OnPage,ASIN,SupplierTitle,AmazonTitle,SupplierURL,AmazonURL,bought_in_past_month,fba_seller_count,fbm_seller_count,total_offer_count,SupplierPrice_incVAT,SupplierPrice_exVAT,SellingPrice_incVAT,ReferralFee,FBAFee,PrepHouseFee,OutputVAT,InputVAT,NetProceeds,HMRC,NetProfit,ROI,Breakeven,ProfitMargin
5033601010654.0,,B0F43JDYKX,EUROWRAP GIANT BIRTHDAY BADGE GIRL 3,"Motorola edge 60 fusion, Pantone Slipstream, Moto AI Smartphone, 50MP Sony LYTIA Camera, with Co2 offset",https://www.efghousewares.co.uk/eurowrap-giant-birthday-badge-girl-3,https://www.amazon.co.uk/dp/B0F43JDYKX,100,,,,0.744,0.62,299.99,37.49875,2.41,0.55,49.9983333333333,8.21575,209.462916666666,-8.21575,208.912916666666,178.558048433048,49.2945,83.5679522650754
5015302477202.0,717710483480.0,B0FGHZB8FM,LUXURY CUPCAKE 100 CASES,"Oversize Turbo Dryer Blower,Car Accessories,Max Instantaneous Thrust 1.60KG,4 Speeds,64MM Super Big Electric Cordless Air Blower for Leaf,Patio Cleaning,Lawn Care & Car Drying (Shining Black)",https://www.efghousewares.co.uk/luxury-cupcake-100-cases,https://www.amazon.co.uk/dp/B0FGHZB8FM,50,Available (see Keepa data),,1.0,0.852,0.71,129.0,19.35,3.44,0.55,21.5,4.81,84.0,-4.81,83.45,66.2301587301587,28.86,77.6279069767442
5050565845627.0,,B0DN6BWS36,I LOVE YOU BALLOON 40CM,"Mould King V8 Engine Building Blocks Set, 2250 PCS Combustion Engine Model Kit That Runs, Mini Engine for Adults with Battery, Engineering Construction STEM Toy for Boys Girls",https://www.efghousewares.co.uk/valentines-i-love-you-balloon-40cm,https://www.amazon.co.uk/dp/B0DN6BWS36,50,,,,0.804,0.67,99.99,12.49875,2.41,0.55,16.6649999999999,3.22575,67.74625,-3.22575,67.19625,55.0788934426229,19.3544999999999,80.6435643564356
5060082728921.0,705736912404.0,B0DN6BWS36,DLUX PEGS WITH SOFT RUBBER GRIP PLASTIC LARGE 12 PIECES,"Mould King V8 Engine Building Blocks Set, 2250 PCS Combustion Engine Model Kit That Runs, Mini Engine for Adults with Battery, Engineering Construction STEM Toy for Boys Girls",https://www.efghousewares.co.uk/dlux-pegs-with-soft-rubber-grip-plastic-large-12-pieces-121582,https://www.amazon.co.uk/dp/B0DN6BWS36,50,Available (see Keepa data),,1.0,0.768,0.64,99.99,15.0,4.97,0.55,16.6649999999999,4.232,62.715,-4.232,62.165,52.239495798319304,25.392,74.6054605460546
5010353328800.0,5065018907005.0,B0D3M53JGG,MINKY CURVE SCOURER 2PC,"Powerful 2200W Premium Garment Steamer with 3L Water Tank, Dual Steam Settings for Rapid Wrinkle Release, Suitable for All Fabrics Including Delicates, Updated Design, Fridja f1200 Clothes Steamer Pro",https://www.efghousewares.co.uk/minky-curve-scourer-2pc-114010,https://www.amazon.co.uk/dp/B0D3M53JGG,100,,,8.0,1.524,1.27,132.99,19.95,6.92,0.55,22.1649999999999,5.73799999999999,82.685,-5.73799999999999,82.135,45.1291208791208,34.428,74.1123392736296
5060082727214.0,705736912404.0,B0DN6BWS36,STARWASH CLOTHES LINE 30M,"Mould King V8 Engine Building Blocks Set, 2250 PCS Combustion Engine Model Kit That Runs, Mini Engine for Adults with Battery, Engineering Construction STEM Toy for Boys Girls",https://www.efghousewares.co.uk/starwash-clothes-line-30m,https://www.amazon.co.uk/dp/B0DN6BWS36,50,Available (see Keepa data),,1.0,1.008,0.84,99.99,15.0,4.97,0.55,16.6649999999999,4.272,62.515,-4.272,61.965,44.5791366906474,25.6319999999999,74.3654365436543
5022822226623.0,889328733407.0,B086ZJ8N2T,STATUS LED G9 2W LED CAPSULE BULB EACH,"17.5"" Portable DVD Player with 15.6"" Large HD Swivel Screen, 6 Hours Rechargeable Battery, Support USB/SD Card/Sync TV and Multiple Disc Formats, No Region Restrict, High Volume Speaker, Black",https://www.efghousewares.co.uk/status-led-g9-2w-led-capsule-bulb-each,https://www.amazon.co.uk/dp/B086ZJ8N2T,500,Available (see Keepa data),,2.0,1.14,0.95,94.02,6.58,5.42,0.55,15.67,2.7,65.3999999999999,-2.7,64.85,43.233333333333306,16.2,82.769623484365
5012904079582.0,,B0FLXV5TG6,CHEF AID LANC PEELER PLASTIC HAND,"NiwNiw Heavy Duty Trailer Hitch Lock with Forged Steel Safety Ball Ifor Williams Knott Avonride 50mm Head (575003/575004/575005/575008),High Security Anti-Theft Caravan Tow Bar Coupling Lock",https://www.efghousewares.co.uk/chef-aid-lanc-peeler-plastic-hand,https://www.amazon.co.uk/dp/B0FLXV5TG6,50,,,,0.852,0.71,81.98,10.2475,2.41,0.55,13.6633333333333,2.7835,54.9491666666666,-2.7835,54.3991666666666,43.1739417989418,16.701,79.627958038546
6923456819818.0,,B0DK877SSC,ADORN PLACEMAT GOLD EMBOSSED 37CM ASSORTED,EVER ADVANCED Luxury Camping Chairs for Adults Heavy Duty Loadable 150kg High Back Oversized Folding Garden Chair Padded 6cm Comfy with Cup Holder Side Pocket Dining Chairs 4-Position Recliner,https://www.efghousewares.co.uk/adorn-placemat-gold-embossed-37cm-assorted-118544,https://www.amazon.co.uk/dp/B0DK877SSC,100,,,,0.804,0.67,69.99,8.74875,2.41,0.55,11.665,2.47575,46.4962499999999,-2.47575,45.9462499999999,37.6608606557376,14.8545,78.7762537505357
4894158018552.0,,B0DNSWBYMZ,FESTIVE MAGIC BELLS 8PC ASSORTED,"Hazel Quinn x Eduardo Recife 2-Slice Toaster, 6 Browning Levels, Defrost/Reheat/Cancel Functions, Removable Crumb Tray for Easy Cleaning, 1.5-Inch Extra-Wide Slots, Retro Style Collaboration",https://www.efghousewares.co.uk/festive-magic-bells-8pc-assorted-93115,https://www.amazon.co.uk/dp/B0DNSWBYMZ,50,Available (see Keepa data),,1.0,0.672,0.56,69.99,10.5,5.15,0.55,11.665,3.352,42.1149999999999,-3.352,41.565,37.4459459459459,20.112,71.264466352336
