RowID,Category,Verdict,Confidence,SupplierTitle,AmazonTitle,EAN_clean,EAN_OnPage_clean,ASIN,NetProfit,Adjusted_Profit,Sales,RSU,Pack_Verdict,Key_Evidence,Filter_Reason
20,NEEDS_VERIFICATION,NEEDS VERIFICATION,60,PRIMA PET BALL LAUNCHER 50CM,"Pet Prime Automatic Ball Launcher for Large Dog, Rechargeable Cordless Interactive Ball Thrower Toy with Random Distance, Fetch Machine with 6 Durable 2.5"" E-TPU Balls & Dog Whistle",5038673411309,,B0FM3GQ9VQ,50.4016666666666,50.4016666666666,50,1.0,1:1 Match,Title sim 21%; keywords 3,Verify brand/product match
84,NEEDS_VERIFICATION,NEEDS VERIFICATION,60,SMART CHOICE RUBBER BALL DOG TOY,"Cheerble Smart Interactive Dog Toys - Wicked Ball AIR, Automatic Moving Bouncing & Rotating Dog Ball with E-TPU Material, IPX7, USB-C Rechargeable, Active Rolling Balls for Medium-Large Dogs - Blue",5052516111348,,B0FS1K5WQH,24.0191666666666,24.0191666666666,200,1.0,1:1 Match,Title sim 16%; keywords 3,Verify brand/product match
87,NEEDS_VERIFICATION,NEEDS VERIFICATION,60,APOLLO WOODEN UTENSIL SET ASSTD,"Wooden Utensil Set - 10 Pcs Teak Wooden Spoon Kitchen Utensils Set for Nonstick Pans & Cookware. Non-Scratch, Heat Resistant, Comfortable Grip. Includes Cooking Spatula",5026180016858,,B0BBGQ2GLZ,27.94625,9.910249999999998,400,10.0,BUNDLE (10x) - OK,Title sim 24%; keywords 3,Verify brand/product match
108,NEEDS_VERIFICATION,NEEDS VERIFICATION,60,"IMPERIAL DEEP DINNER PLATE BLUE 10""","Denby - Imperial Blue Dinner Plates Set of 2 - Dishwasher Microwave Safe Crockery 26.5cm - Blue, White Ceramic Stoneware Tableware - Chip & Crack Resistant Large Plates",8694169938513,745606660523,B07SG6C3BR,23.6116666666666,21.7036666666666,50,2.0,1:1 Match (dimensions),Title sim 29%; keywords 3,Verify brand/product match
127,NEEDS_VERIFICATION,NEEDS VERIFICATION,60,KINGFISHER PLASTIC WINE 6 GLASSES,"Set of 6 Large Plastic Wine Glasses, 550ml Unbreakable Plastic Wine Glasses Reusable, Clear Plastic Red Wine Glass Long Stemmed Picnic Wine Glass",5013478110084,,B0D9LY2MJX,12.1849999999999,7.624999999999899,50,6.0,1:1 Match (dimensions),Title sim 27%; keywords 3,Verify brand/product match
130,NEEDS_VERIFICATION,NEEDS VERIFICATION,60,OVEN LOVE BAKING DISH OVAL RED 0.19L,"MALACASA Oval Ceramic Oven Baking Dishes, Ideal for Lasagne, Shepherds Pie and More - Small Pie Dish, Set of 4, 22 OZ, White, Oven Safe",5018705740478,,B0D876QQH4,15.1866666666666,11.1546666666666,100,4.0,1:1 Match (dimensions),Title sim 25%; keywords 3,Verify brand/product match
131,NEEDS_VERIFICATION,NEEDS VERIFICATION,60,ROSE GOLD MAKEUP BRUSH  ASSORTED,"Oscar Charles Makeup Brush Set, 12 Piece Makeup Brushes Set Professional, Six Face Make up Brushes & Six Eye Makeup Brushes Set - Rose Gold",5050565757487,5060597570251,B08CDXHZZ4,12.5883333333333,1.5003333333332982,800,12.0,BUNDLE (12x) - OK,Title sim 30%; keywords 4,Verify brand/product match
137,NEEDS_VERIFICATION,NEEDS VERIFICATION,60,OVEN DISH STONEWARE 4 ASSORTED 90ML,"InveroÂ® 4x Set of Mini Stoneware Rectangular Coloured Small Oven to Table Baking Dish ideal for Lasagne, Pies, Casserole, Tapas and more",8721037370288,5056075652052,B074TJP5M3,12.325,12.325,300,1.0,1:1 Match,Title sim 26%; keywords 3,Verify brand/product match
139,HIGHLY_LIKELY,HIGHLY LIKELY,80,BRIGHT & HOMELY METAL WATERING CAN ROSE,Woodside Silver 9L Metal Garden and Plant Watering Can with Rose,5050796010788,5055864219438,B07WMYF37Z,10.5295833333333,10.5295833333333,50,1.0,1:1 Match,High keyword overlap (4); title sim 52%,-
147,NEEDS_VERIFICATION,NEEDS VERIFICATION,60,FLORAL REED DIFFUSER 30ML JASMINE,"Valentte Reed Diffuser & Natural Room Mist - Jasmine & Rosewood Scent | Essential Oil Aroma for Home, Gift Box | 100 ml, 30 ml",5061031651215,5061015780481,B0C6FK1ZM7,11.7116666666666,11.7116666666666,200,1.0,1:1 Match,Title sim 33%; keywords 3,Verify brand/product match
151,NEEDS_VERIFICATION,NEEDS VERIFICATION,60,DUNLOP CAR AIR FRESHENER 2.8ML ASSORTED,DONYER POWER Convector Radiator Heater 2000W Room Heating with Adjustable Thermostat,871125223930,,B0773HXND3,11.965,11.965,500,1.0,1:1 Match,Title sim 37%; keywords 0,Verify brand/product match
160,HIGHLY_LIKELY,HIGHLY LIKELY,85,BALLOONS SILVER 20,"FitStill Black Silicone Sleeve Rubber Protective Case Only for Go Pro Hero 13 Black,Battery Side Cover&Screen Protectors& Lens Caps&Lanyard for Go Pro Hero 13 Black Accessories Kit",5030481800344,,B0DFG2TX3B,8.51458333333333,8.51458333333333,100,1.0,1:1 Match,Brand 'SIL' matches,-
166,NEEDS_VERIFICATION,NEEDS VERIFICATION,60,CHEF AID ROLLER KNIFE SHARPENER,Fettle & Hughes Rolling Knife Sharpener UK- Knife Sharpen Upgrades - Roller Knife Sharpening Kit with 15Â° & 20Â° Magnetic Angle Knife Sharpening Tool - Birthday Gift or Women Men,5012904011803,,B0CR1K39FR,12.8329166666666,12.8329166666666,200,1.0,1:1 Match,Title sim 29%; keywords 3,Verify brand/product match
168,HIGHLY_LIKELY,HIGHLY LIKELY,85,EVERBUILD SEALANT STRIPOUT TOOL,Everbuild Super Flow Sealant/Adhesive Cartridge Applicator Gun with Rotating Barrel â€“ Soft Grip Handle â€“ For Cartridges Up to 310 ml,5029347603557,,B00IZMVQOO,28.78875,28.78875,400,1.0,1:1 Match,Brand 'EVERBUILD' matches,-
169,NEEDS_VERIFICATION,NEEDS VERIFICATION,60,PPS PLASTIC PLATE 3CPMPARTMENTS WHITE 26CM 3PCS,"MATANA 25 Premium White Plastic Dinner Plates with Gold Rim, 26cm / 10 Inch - Elegant & Reusable Party Plates for Weddings, Birthdays, Picnic, BBQ, Parties",50304811981158,713153940771,B07D988TDH,7.97166666666666,7.97166666666666,600,1.0,1:1 Match,Title sim 29%; keywords 3,Verify brand/product match
170,NEEDS_VERIFICATION,NEEDS VERIFICATION,60,PPS 26CM PLASTIC WHITE PLATE 6 PCS,"MATANA 25 Premium White Plastic Dinner Plates with Gold Rim, 26cm / 10 Inch - Elegant & Reusable Party Plates for Weddings, Birthdays, Picnic, BBQ, Parties",5030481980763,713153940771,B07D988TDH,7.97166666666666,7.97166666666666,600,1.0,1:1 Match,Title sim 24%; keywords 3,Verify brand/product match
172,NEEDS_VERIFICATION,NEEDS VERIFICATION,60,B & CO AIR FRYER LINER SILICONE 19 X 19CM,"3Pcs Silicone Air Fryer Liners for Hot Air Fryer 19-23 cm, Airfryer Accessories for Tefal Easy Fry Max 5L, Ninja AF180UK Max Pro 6.2L,Russell Hobbs 8L,Cosori TurboBlaze 6L,Philips 6.2L NA230",5050565815293,,B0F36DXS7Y,8.965,7.261,200,3.0,1:1 Match (dimensions),Title sim 22%; keywords 3,Verify brand/product match
174,NEEDS_VERIFICATION,NEEDS VERIFICATION,60,RYSONS PEST MOSQUITO REPELLENT 4PK,"4 Pack Mice Repellent, Insect Repellent Plug in, Advanced Ultrasonic Pest Repeller, Effective against Mouse, Spider, Cockroach, Fly, Mosquito Etc, Safe for Humans and Pets",5056239407153,,B0FX9S847P,9.86166666666666,6.837666666666659,200,4.0,BUNDLE (4x) - OK,Title sim 18%; keywords 3,Verify brand/product match
179,NEEDS_VERIFICATION,NEEDS VERIFICATION,60,AMTECH RECHARGEABLE WORK LIGHT WITH MAGNETIC STAND 3W,"T-SUN Rechargeable LED Work Light with Metal Stand,4100Lumen Portable Magnetic Camping Light,10400Ah Battery,Job Site Lighting for Outdoor Barbecue Golf Fishing Indoor Workshop Garage",5032759051380,,B0FGJ9JGSB,32.0216666666666,32.0216666666666,100,1.0,1:1 Match,Title sim 40%; keywords 4,Verify brand/product match
181,NEEDS_VERIFICATION,NEEDS VERIFICATION,60,WENKEN FOOD PROCESSOR & BLENDER 2 IN 1,"Kenwood FDP65.180SI 2 in 1 Food Processor Multipro Express, Silver",8699303352828,5011423004662,B09HHNQ2L8,33.4383333333333,33.4383333333333,300,1.0,1:1 Match,Title sim 44%; keywords 2,Verify brand/product match
185,NEEDS_VERIFICATION,NEEDS VERIFICATION,60,PAN WITH LID STONEWARE 8 ASSORTED,"Amazon Basics 8-Piece Non-Stick Cookware Set, Black",8721037317481,885169695515,B074817DK1,17.975,17.975,400,1.0,1:1 Match,Title sim 40%; keywords 0,Verify brand/product match
187,NEEDS_VERIFICATION,NEEDS VERIFICATION,60,DISPOSABLE BED MATS PK3,100 x Incontinence Bed Pads | Disposable Bed Pads | Bed Protectors For Incontinence | Size 60x90cm | With Self-Adhesive Sticker Tabs | Bed Mats Disposable | (4 Packs of 25),5056239401090,,B09MHB24W8,11.9529166666666,11.9529166666666,600,1.0,1:1 Match,Title sim 23%; keywords 3,Verify brand/product match
