Section,Verdict,Confidence,RowID,ASIN,SupplierEAN,AmazonEAN,SupplierTitle,AmazonTitle,SupplierPrice,SellingPrice,NetProfit,ROI,Sales,PackVerdict,AdjustedProfit,KeyEvidence,FilterReason
VERIFIED_RECOMMENDED,VERIFIED,95,1815,B0DJDH23JW,5060357990107,5060357990107,SUPERIOR FOIL 10 CONTAINERS & LID 9X9IN,"Superior 10-Pack Aluminium Foil Trays with Paper Lids, Heavy Duty Aluminium Takeaway Containers, Freezer & Oven Safe Tin Foil Trays For Baking, Cooking, Broiling, Storage Containers, 9 x 9 inch",£3.66,£12.97,£2.13,59.1%,700,1:1 Match (supplier:context_qty(10 CONTAINERS) vs amazon:n_pack(10)),£2.13,"RowID=1815; EAN=EXACT; Brand=superior; TypeTokens=containers,foil; capacity:NA; PackS=supplier:context_qty(10 CONTAINERS); PackA=amazon:n_pack(10); rsu:ceil(10/10)=1; AdjProfit=£2.13",-
VERIFIED_RECOMMENDED,VERIFIED,95,2196,B07YQ5HFFN,5030481940088,5030481940088,PPS ROUND 40 DOYLEYS 21CM,"40 X White Round LACE DOYLEYS - 22cm/8.5"" Quality Disposable Paper mats Great for Entertaining and Parties",£0.67,£4.28,£0.30,26.7%,700,1:1 Match (supplier:context_qty(40 DOYLEYS) vs amazon:qty_inside(40x)),£0.30,"RowID=2196; EAN=EXACT; TypeTokens=doyleys,round; capacity:NA; PackS=supplier:context_qty(40 DOYLEYS); PackA=amazon:qty_inside(40x); rsu:ceil(40/40)=1; AdjProfit=£0.30",-
VERIFIED_RECOMMENDED,VERIFIED,95,2607,B00M36YPIM,5012904148738,5012904148738,CHEF AID SHOT GLASSES ASSORTED 20PCE,"Chef Aid Multi-Coloured Plastic Shot Glasses, Pack of 20 Reusable 30ml Party Cups, Bright, Colourful Drinking Glasses for Shots, Cocktails and Celebrations",£1.75,£6.90,£0.03,1.5%,600,1:1 Match (supplier:20PCE vs amazon:pack_of(20)),£0.03,"RowID=2607; EAN=EXACT; Brand=chef aid; TypeTokens=glasses,shot; capacity:NA; assorted_flag; PackS=supplier:20PCE; PackA=amazon:pack_of(20); rsu:ceil(20/20)=1; AdjProfit=£0.03",-
VERIFIED_RECOMMENDED,VERIFIED,95,2548,B008F6946C,5060187175750,5060187175750,BLUE CANYON VECTOR SHOWER SPRAY,Blue Canyon Vector Double Tap Shower Spray| Bathroom Accessory| Premium Shower Attachment for Bath taps| Push-on-Fitting| Suitable for Round & Oval Taps| Shower Head for Bathroom| ~1.5 Meters| (White),£4.30,£9.85,£0.20,4.8%,500,1:1 Match,£0.20,"RowID=2548; EAN=EXACT; Brand=blue canyon vector; TypeTokens=shower,spray; capacity:NA; PackS=supplier:default(1); PackA=amazon:default(1); rsu:1; AdjProfit=£0.20",-
VERIFIED_RECOMMENDED,VERIFIED,95,2294,B0DPQVJ4NW,5010792749549,5010792749549,HIGHLAND COW PLAQUE FRIENDS,Lesser & Pavey Love & Affection Highland Cow Wooden Plaque - Friends For Home Decor & Gift | Wooden and Acrylic Plaques For Home and Office | Ideal Signs & Plaque Birthday Gifts For Women & Men,£6.59,£14.99,£1.24,20.6%,400,1:1 Match,£1.24,"RowID=2294; EAN=EXACT; Brand=highland cow; TypeTokens=friends,plaque; capacity:NA; PackS=supplier:default(1); PackA=amazon:default(1); rsu:1; AdjProfit=£1.24",-
VERIFIED_RECOMMENDED,VERIFIED,95,437,B0CCJS5GKB,5053249253183,5053249253183,ELBOW GREASE TOILET CLEANER FOAM LEMON FRESH 500G,"3 x Elbow Grease Foaming Toilet Cleaner, Deep Cleaning Action, Lemon Fresh Fragrance 500g",£0.00,£8.38,£2.09,380.6%,200,BUNDLE (RSU=3) - OK,£2.09,"RowID=437; EAN=EXACT; Brand=elbow grease; TypeTokens=500g,cleaner,fresh,lemon; capacity:NA; PackS=supplier:default(1); PackA=amazon:leading_x(3x); rsu:ceil(3/1)=3; AdjProfit=£2.09",-
VERIFIED_RECOMMENDED,VERIFIED,95,1131,B07WDRQ4J7,5059001500861,5059001500861,AIRWICK REED DIFFUSER MULLED WINE 33ML PK5,"Air Wick Essential Oils Reed Diffuser Air Freshener Mulled Wine Scent, 5 Bottles X 30 ml",£13.43,£46.00,£16.55,141.0%,200,1:1 Match,£16.55,"RowID=1131; EAN=EXACT; TypeTokens=diffuser,mulled,reed,wine; capacity:33ML->30 ml (Δ9.1%); PackS=supplier:PK5; PackA=amazon:default(1); rsu:1; AdjProfit=£16.55",-
VERIFIED_RECOMMENDED,VERIFIED,95,1265,B003XKPUSQ,5032759031078,5032759031078,AMTECH LED MINI TORCH,Amtech S1532 9 LED mini Torch,£1.72,£7.99,£2.35,118.6%,200,1:1 Match,£2.35,"RowID=1265; EAN=EXACT; Brand=amtech; TypeTokens=led,mini,torch; capacity:NA; PackS=supplier:default(1); PackA=amazon:default(1); rsu:1; AdjProfit=£2.35",-
VERIFIED_RECOMMENDED,VERIFIED,95,1649,B01IFIJ91Y,5010853235530,5010853235530,MASON CASH MIXING BOWL CREAM 29CM,"Mason Cash Colour Mix Cream Mixing Bowl | 4 Litre Capacity | 29cm Earthenware Bowl with Classic Pattern Design | Lightweight & Dishwasher Safe | Ideal for Baking, Pastry, Dough, Cakes & Cookies",£7.66,£24.99,£5.11,73.8%,200,1:1 Match,£5.11,"RowID=1649; EAN=EXACT; Brand=mason cash; TypeTokens=29cm,bowl,cream,mixing; capacity:NA; PackS=supplier:default(1); PackA=amazon:default(1); rsu:1; AdjProfit=£5.11",-
VERIFIED_RECOMMENDED,VERIFIED,95,1940,B098P62161,5053249215044,5053249215044,151 ADHESIVE SPRAY HEAVY DUTY 500ML,3 Spray Glue Adhesive Contact Glue Heavy Duty Mount DIY Craft Upholstery 500ml,£3.02,£10.99,£1.42,46.2%,200,1:1 Match,£1.42,"RowID=1940; EAN=EXACT; TypeTokens=500ml,adhesive,duty,heavy; capacity:500ML->500ml (Δ0.0%); PackS=supplier:default(1); PackA=amazon:default(1); rsu:1; AdjProfit=£1.42",-
