RowID,ASIN,Category,Confidence,SupplierEAN,AmazonEAN,SupplierTitle,AmazonTitle,SupplierPrice,SellingPrice,NetProfit,ROI,Sales,PackVerdict,AdjustedProfit,FilterReason,KeyEvidence
1,B0F43JDYKX,NEEDS_VERIFICATION,70,5033601010654,,EUROWRAP GIANT BIRTHDAY BADGE GIRL 3,"Motorola edge 60 fusion, Pantone Slipstream, Moto AI Smartphone, 50MP Sony LYTIA Camera, with Co2 offset",0.744,299.99,208.912916666666,178.558048433048,100,1:1 Match,208.912916666666,-,Supplier brand: EUROWRAP
3,B081JT9XRT,NEEDS_VERIFICATION,70,5015302457396,5056275754877,RSW BRIGHTS WASHING UP BOWL,"Hyundai Petrol Backpack Leaf Blower, 170mph, 52cc 2 Stroke Engine With Support Harnesses, Anti-vibration, 55 Mins Per Litre Of Fuel",1.14,158.8,98.0233333333333,65.3488888888889,100,1:1 Match,98.0233333333333,-,Supplier brand: RSW
5,B0DN6BWS36,NEEDS_VERIFICATION_FILTERED,70,5060082728921,705736912404,DLUX PEGS WITH SOFT RUBBER GRIP PLASTIC LARGE 12 PIECES,"Mould King V8 Engine Building Blocks Set, 2250 PCS Combustion Engine Model Kit That Runs, Mini Engine for Adults with Battery, Engineering Construction STEM Toy for Boys Girls",0.768,99.99,62.165,52.239495798319304,50,Bundle (187x) - LOSS,-81.06700000000001,Adjusted profit £-81.07,Supplier brand: DLUX; Common: WITH
7,B0D3M53JGG,NEEDS_VERIFICATION,70,5010353328800,5065018907005,MINKY CURVE SCOURER 2PC,"Powerful 2200W Premium Garment Steamer with 3L Water Tank, Dual Steam Settings for Rapid Wrinkle Release, Suitable for All Fabrics Including Delicates, Updated Design, Fridja f1200 Clothes Steamer Pro",1.524,132.99,82.135,45.1291208791208,100,1:1 Match,82.135,-,Supplier brand: MINKY
8,B0DN6BWS36,NEEDS_VERIFICATION_FILTERED,70,5060082727214,705736912404,STARWASH CLOTHES LINE 30M,"Mould King V8 Engine Building Blocks Set, 2250 PCS Combustion Engine Model Kit That Runs, Mini Engine for Adults with Battery, Engineering Construction STEM Toy for Boys Girls",1.008,99.99,61.965,44.5791366906474,50,Bundle (2250x) - LOSS,-2205.027,Adjusted profit £-2205.03,Supplier brand: STARWASH
9,B086ZJ8N2T,NEEDS_VERIFICATION,70,5022822226623,889328733407,STATUS LED G9 2W LED CAPSULE BULB EACH,"17.5"" Portable DVD Player with 15.6"" Large HD Swivel Screen, 6 Hours Rechargeable Battery, Support USB/SD Card/Sync TV and Multiple Disc Formats, No Region Restrict, High Volume Speaker, Black",1.14,94.02,64.85,43.233333333333306,500,1:1 Match,64.85,-,Supplier brand: STATUS
10,B0FLXV5TG6,NEEDS_VERIFICATION,70,5012904079582,,CHEF AID LANC PEELER PLASTIC HAND,"NiwNiw Heavy Duty Trailer Hitch Lock with Forged Steel Safety Ball Ifor Williams Knott Avonride 50mm Head (575003/575004/575005/575008),High Security Anti-Theft Caravan Tow Bar Coupling Lock",0.852,81.98,54.3991666666666,43.1739417989418,50,1:1 Match,54.3991666666666,-,Supplier brand: CHEF AID
11,B0DK877SSC,NEEDS_VERIFICATION,70,6923456819818,,ADORN PLACEMAT GOLD EMBOSSED 37CM ASSORTED,EVER ADVANCED Luxury Camping Chairs for Adults Heavy Duty Loadable 150kg High Back Oversized Folding Garden Chair Padded 6cm Comfy with Cup Holder Side Pocket Dining Chairs 4-Position Recliner,0.804,69.99,45.9462499999999,37.6608606557376,100,1:1 Match,45.9462499999999,-,Supplier brand: ADORN
12,B0DNSWBYMZ,NEEDS_VERIFICATION,70,4894158018552,,FESTIVE MAGIC BELLS 8PC ASSORTED,"Hazel Quinn x Eduardo Recife 2-Slice Toaster, 6 Browning Levels, Defrost/Reheat/Cancel Functions, Removable Crumb Tray for Easy Cleaning, 1.5-Inch Extra-Wide Slots, Retro Style Collaboration",0.672,69.99,41.565,37.4459459459459,50,1:1 Match,41.565,-,Supplier brand: FESTIVE
15,B0FLXV5TG6,NEEDS_VERIFICATION,70,5012904000425,659381335623,CHEF AID MINI SPOUT BRUSH,"NiwNiw Heavy Duty Trailer Hitch Lock with Forged Steel Safety Ball Ifor Williams Knott Avonride 50mm Head (575003/575004/575005/575008),High Security Anti-Theft Caravan Tow Bar Coupling Lock",1.032,81.98,51.4166666666666,36.4657210401891,50,1:1 Match,51.4166666666666,-,Supplier brand: CHEF AID
16,B0FGHZB8FM,NEEDS_VERIFICATION,70,5055706641151,717710483480,PROKLEEN SPUNLACE FLOOR MOP & HANDLE,"Oversize Turbo Dryer Blower,Car Accessories,Max Instantaneous Thrust 1.60KG,4 Speeds,64MM Super Big Electric Cordless Air Blower for Leaf,Patio Cleaning,Lawn Care & Car Drying (Shining Black)",2.088,129.0,82.42,35.9912663755458,50,1:1 Match,82.42,-,Supplier brand: PROKLEEN
17,B0FLXV5TG6,NEEDS_VERIFICATION,70,5012904018475,,TALA STAINLESS STEEL TOWEL HOLDER,"NiwNiw Heavy Duty Trailer Hitch Lock with Forged Steel Safety Ball Ifor Williams Knott Avonride 50mm Head (575003/575004/575005/575008),High Security Anti-Theft Caravan Tow Bar Coupling Lock",1.164,81.98,54.1391666666666,35.617872807017505,50,1:1 Match,54.1391666666666,-,Supplier brand: TALA; Common: STEEL
19,B0FB36DTHD,NEEDS_VERIFICATION,70,5030017011138,,PANASONIC UPRIGHT   SDB113,"ElecKeys Cordless Vacuum Cleaner,65 Mins 580W 48KPa 1.8L Vacuum Cleaners for Home,Self-Standing Anti-Tangle Vacuum,Handheld Vacuum Cleaner Rechargeable Wall-Mounted for Carpets Floors Pet Hair",2.616,144.99,90.505,33.1520146520146,300,1:1 Match,90.505,-,Supplier brand: PANASONIC
22,B0FM3GQ9VQ,NEEDS_VERIFICATION,70,5038673411309,,PRIMA PET BALL LAUNCHER 50CM,"Pet Prime Automatic Ball Launcher for Large Dog, Rechargeable Cordless Interactive Ball Thrower Toy with Random Distance, Fetch Machine with 6 Durable 2.5"" E-TPU Balls & Dog Whistle",1.344,86.69,50.4016666666666,30.1806387225548,50,1:1 Match,50.4016666666666,-,"Supplier brand: PRIMA; Common: PET, BALL, LAUNCHER"
24,B0DRPCJDWW,NEEDS_VERIFICATION,70,5900627061383,198153749706,AIRWICK CANDLE VANILLA & BROWN SUGAR 105G PK6,Lenovo Idea Tab Pro Android Tablet | 12.7 inch Full HD Display | MediaTek Dimensity 8300 | 128GB | Wi-Fi 6 | 8GB RAM | Luna Grey + Pen,10.7399999999999,354.99,258.235,27.182631578947298,300,1:1 Match,258.235,-,Supplier brand: AIRWICK
25,B0FGHZB8FM,NEEDS_VERIFICATION,70,5055706641182,717710483480,PROKLEEN CHENILLE FLOOR MOP & EXTENDABLE HANDLE,"Oversize Turbo Dryer Blower,Car Accessories,Max Instantaneous Thrust 1.60KG,4 Speeds,64MM Super Big Electric Cordless Air Blower for Leaf,Patio Cleaning,Lawn Care & Car Drying (Shining Black)",3.024,129.0,81.64,26.592833876221498,50,1:1 Match,81.64,-,Supplier brand: PROKLEEN
26,B0734R66B4,NEEDS_VERIFICATION,70,5060082728884,653391672419,DLUX WASHING BAG,"Tevlaphee Steering Wheel Lock, Steering Lock, Car Anti-Theft Device, Adjustable, Universal Fit, Heavy Duty Secure, 3 Keys, Emergency Hammer Window Breaker(Black)",0.852,48.81,33.315,26.4404761904761,100,1:1 Match,33.315,-,Supplier brand: DLUX
29,B0FHK2CM5W,NEEDS_VERIFICATION,70,8711252476247,,DUNLOP BIKE BRAKE CABLE INNER CABLE,"Peradix Wooden Chess Set, 19"" Large Foldable Chess Board Game with 3.75"" King & 2 Extra Queens, Professional Classic Chess Set for Adults and Kids",0.708,49.99,27.8683333333333,24.4459064327485,100,1:1 Match,27.8683333333333,-,Supplier brand: DUNLOP
32,B0DN6BWS36,NEEDS_VERIFICATION_FILTERED,70,5016574137825,,LYNWOOD MINI ROLLER SET 5PACK,"Mould King V8 Engine Building Blocks Set, 2250 PCS Combustion Engine Model Kit That Runs, Mini Engine for Adults with Battery, Engineering Construction STEM Toy for Boys Girls",2.82,99.99,65.51625,22.5918103448275,50,Bundle (450x) - LOSS,-1200.66375,Adjusted profit £-1200.66,Supplier brand: LYNWOOD; Common: MINI
36,B0CM3SM41B,NEEDS_VERIFICATION,70,5038673190075,8700216280167,PRIMA DINNER PLATE FLOWER DESIGN 26.5CM,"Gillette Intimate Trimmer i5 - Pubic Hair & Body Groomer for Men, SkinFirst Waterproof Manscaping Trimmer, Cordless Wet/Dry Body Hair Shaver for Private Parts & Sensitive Areas",1.704,70.19,42.8916666666666,21.7724196277495,300,1:1 Match,42.8916666666666,-,Supplier brand: PRIMA
