RowID,EAN,SupplierTitle,AmazonTitle,NetProfit,Sales
437,5053249253183,ELBOW GREASE TOILET CLEANER FOAM LEMON FRESH 500G,"3 x Elbow Grease Foaming Toilet Cleaner, Deep Clea",2.09333333333333,200
641,5060357991357,PHOODS FOIL TRAY ROASTER,Superior Sandwich Platter Trays - Pack of 10 Cater,3.905,50
654,5050028016069,EVERREADY T8 4FT 36W TUBE LIGHT,Eveready T8 Tube 4ft 36w White 3500k,8.00124999999999,50
884,5053249248356,PAN AROMA JAR CANDLE 85GM SALTED CARAMEL,Pan Aroma Orange Decorative Holder & Scented Candl,2.725,50
1023,5014749165598,BEAUTY VELCRO HAIR GRIP ROLLERS 7 PACK,42 pcs x 15mm Small Self Grip Hair Rollers Salon H,1.595,200
1131,5059001500861,AIRWICK REED DIFFUSER MULLED WINE 33ML PK5,Air Wick Essential Oils Reed Diffuser Air Freshene,16.5533333333333,200
1265,5032759031078,AMTECH LED MINI TORCH,Amtech S1532 9 LED mini Torch,2.34833333333333,200
1287,5053249248295,PAN AROMA JAR CANDLE 85GM RED BERRY,PAN AROMAÂ® RED Decorative Holder & Scented Candle,1.67166666666666,50
1382,5053249228174,PAN AROMA C TEA-LIGHTS 16PK APP&CIN,Pan Aroma 16 Tea Lights Apple & Cinnamon,1.515,100
1649,5010853235530,MASON CASH MIXING BOWL CREAM 29CM,Mason Cash Colour Mix Cream Mixing Bowl | 4 Litre ,5.11499999999999,200
1736,5025364001970,TIDYZ DOGGY BAGS STRONG 50 PCS 30cm x 36cm,Tidyz 200 x Extra Large Super Strong Doggy bags (4,0.736666666666667,500
1793,5056175901166,CRAFT FABRIC GLUE 50ML,SOL 2pk x 50ml Fabric Glue Strong with Spreader & ,0.855,300
1815,5060357990107,SUPERIOR FOIL 10 CONTAINERS & LID 9X9IN,Superior 10-Pack Aluminium Foil Trays with Paper L,2.12833333333333,700
1940,5053249215044,151 ADHESIVE SPRAY HEAVY DUTY 500ML,3 Spray Glue Adhesive Contact Glue Heavy Duty Moun,1.41833333333333,200
2062,5026180033572,APOLLO VINEGAR SHAKER,apollo THE HOUSEWARES BRAND 3357 Glass Vinegar Sha,0.463333333333332,50
2163,5015302202996,SAMS SCRUMMY GIANT LEG DOG BONE,Dog Bone Giant Roasted Beef Leg Dog Food Dog Feedi,0.776666666666667,50
2164,26102251102,CARAFE .5LT GLASS,"Arcoroc ARC C0199 Carafon Vin Carafe, Glass, trans",0.761666666666667,50
2196,5030481940088,PPS ROUND 40 DOYLEYS 21CM,"40 X White Round LACE DOYLEYS - 22cm/8.5"" Quality ",0.296666666666666,700
2234,5015302472535,ROYLE HOME SPRINGFORM CAKE TIN,Royle Kids 2 Mini Springform Cake Tin Kids Round 5,0.516666666666666,100
2246,5012904061204,TALA COCKTAIL STICKS 200,"Tala Bamboo Cocktail Sticks, Ponted End Cocktails ",0.251666666666667,50
2285,5039295201040,HOUSE MATE STAINLESS STEEL CLEANER & POLISH,House Mate Stainless Steel Cleaner and Polisher 40,0.791666666666665,50
2294,5010792749549,HIGHLAND COW PLAQUE FRIENDS,Lesser & Pavey Love & Affection Highland Cow Woode,1.24166666666666,400
2303,5053249215105,151 PAINT SPRAY 400ML WHITE MATT,3 x 400ml 151 Multi Purpose Spray Paint Aerosol Wo,0.506666666666666,500
2326,5053249215341,151 SILICONE LUBRICANT SPRAY 200ML,"Silicone Lubricant Spray - 3 Pack, 200ml Each, Eli",0.283333333333333,500
2334,5010792542737,GEL  LED CANDLE FESTIVE ROBIN,Macneil Christmas Robin LED Gel Candle,1.29583333333333,50
2351,5010792542676,CHRISTMAS LAPTRAY  ROBINS,Cushioned Lap Tray - Christmas Robins Design,1.40458333333333,50
2365,5019200117338,PRODEC CAULKER 12 INCH,"ProDec 12"" Flexible Caulker Blade for Fast, Effici",0.684999999999999,50
2397,5013159300353,ELLIOTT WINDOW SQUEEGE 20CM,Elliott Multi-Purpose Window Squeegee perfect for ,0.293333333333333,200
2404,5060187173633,MIRROR BLUE CANYON SQUARE PLASTIC MIRROR,Blue Canyon - 18cm Free Standing Square Mirror - W,0.434999999999999,100
2422,5038135108600,WHAM CRYSTAL 32LTR CLEAR UNDERBED BOX&LID,Wham Clear Plastic Storage Box Boxes With Lids Hom,0.548333333333334,50
2443,5036200121479,THE BIG CHEESE QUICK CLICK MOUSE TRAP 2PK,"The Big Cheese Quick Click Mouse Trap - Twinpack, ",0.271666666666667,50
2466,5056239413680,SIMMER RING,Simmer Ring Pan Mat Heat Diffuser For Gas Electric,0.154999999999999,100
2488,5013159004428,ELLIOTTS GLASS SPRAY BOTTLE BROWN480ML,"Elliott 480ml Brown Glass Spray Bottle, Manufactur",0.218333333333333,100
2548,5060187175750,BLUE CANYON VECTOR SHOWER SPRAY,Blue Canyon Vector Double Tap Shower Spray| Bathro,0.198333333333333,500
2560,5056175904327,TREAT AND EASE EYE MIST SPRAY,Eye Mist Eyelid Spray for Refreshing Soothing Reli,0.061666666666667,100
2563,5056239417244,RYSONS KITCHEN FRIDGE/FREEZER THERMOMETER,RYSON 2 Pack Fridge & Freezer Thermometer Kitchen ,0.0583333333333332,50
2569,5012904004188,CHEF AID STRAINER DIAMETER 18CM,"Chef Aid 18cm Long Handled Metal Sieve, Kitchen Es",0.0833333333333337,200
2586,5010853203508,MASON CASH CERAMIC RECT DISH 16cm,Mason Cash 2001.542 Collection Fine Stoneware Squa,0.101666666666666,50
2606,5022704000013,FIRE UP NATURAL FIRELIGHTERS 28 PACK,"Fireglow Firelighters 24 Pack, White",0.0216666666666669,100
2607,5012904148738,CHEF AID SHOT GLASSES ASSORTED 20PCE,"Chef Aid Multi-Coloured Plastic Shot Glasses, Pack",0.0300000000000009,600
2612,5055361761119,MEMORIAL WATERPROOF GRAVESIDE LANTERN WITH ROBIN S,Waterproof Robin Memorial Graveside Lantern with L,0.0783333333333329,50
2624,8711252100531,GLASS WHISKEY DECANTER,alpina Whiskey Decanter and Caraf,0.0183333333333328,200
