EAN,EAN_OnPage,ASIN,SupplierTitle,AmazonTitle,SupplierURL,AmazonURL,bought_in_past_month,fba_seller_count,fbm_seller_count,total_offer_count,SupplierPrice_incVAT,SupplierPrice_exVAT,SellingPrice_incVAT,ReferralFee,FBAFee,PrepHouseFee,OutputVAT,InputVAT,NetProceeds,HMRC,NetProfit,ROI,Breakeven,ProfitMargin,RowID,EAN_clean,EAN_OnPage_clean,SupplierPack,AmazonPack,SupplierBrand,AmazonBrand,TitleSimilarity,AdjustedProfit,Category,Reason
5050375087262.0,5070002961543.0,B0DPR6ZD18,PETS PLAY RUBBER BALLS,Pets & Play Squeaky Dog Ball 6 Pack | Upgraded Durable Dog Balls | Strong & Sturdy | Bouncy Rubber Dog Toys for Training & Boredom | Chew Dog Ball Multipack | Xmas Present Gift | Small & Medium Dogs,https://www.efghousewares.co.uk/pets-play-rubber-balls,https://www.amazon.co.uk/dp/B0DPR6ZD18,900,Available (see Keepa data),,1.0,1.476,1.23,12.99,1.95,3.06,0.55,2.16499999999999,1.35799999999999,4.585,-1.35799999999999,4.035,2.26685393258427,8.148,37.2748267898383,12,5050375087262,5070002961543,1,6,PETS,PETS,16.0,-3.3449999999999998,FILTERED OUT,Low confidence + unprofitable
1072556214803.0,810833027156.0,B07R97DV7D,SMART CHOICE 10 RAWHIDE CHICKEN TREAT,Smartbones 10 Chicken Sticks Rawhide Free Chew Dog Treats,https://www.efghousewares.co.uk/smart-choice-10-rawhide-chicken-treat,https://www.amazon.co.uk/dp/B07R97DV7D,900,,Available (see Keepa data),11.0,1.752,1.46,9.89,1.48,2.42,0.55,1.64833333333333,1.182,2.88166666666666,-1.182,2.33166666666666,1.16003316749585,7.09199999999999,28.2912032355915,23,1072556214803,810833027156,1,1,SMART,SMARTBONES,25.0,2.33166666666666,NEEDS VERIFICATION,Brand/title match needs confirmation (sim: 25%)
,,B08JPG71GV,CHRISTMAS WREATH RED BERRIES 25CM,"Christmas Red Berry Twig Stem, 12 Pack Artificial Red Berry Picks for Xmas Wreaths decorations, Christmas Tree Decorations, Crafts, Wedding, Holiday Home Decor (Red)",https://www.efghousewares.co.uk/christmas-wreath-red-berries-25cm-123556,https://www.amazon.co.uk/dp/B08JPG71GV,900,,,,6.648,5.54,13.99,1.74875,2.41,0.55,2.33166666666666,2.04974999999999,1.95958333333333,-2.04974999999999,1.40958333333333,0.231458675424192,12.2985,12.0907791279485,38,,,1,12,CHRISTMAS,CHRISTMAS,9.090909090909092,-71.71841666666667,FILTERED OUT,Low confidence + unprofitable
5052516216876.0,,B009S64OI6,WORLD OF PETS CAT LITTER SCENTED 3LT,World's Best Cat Litter 28lb (12.7kg) Lavender Scented,https://www.efghousewares.co.uk/world-of-pets-cat-litter-scented-3lt,https://www.amazon.co.uk/dp/B009S64OI6,800,,Available (see Keepa data),4.0,2.76,2.3,39.19,5.88,7.79,0.55,6.53166666666666,3.304,16.6883333333333,-3.304,16.1383333333333,5.662573099415201,19.8239999999999,49.4156672620566,43,5052516216876,,1,1,WORLD,WORLD'S,27.27272727272727,16.1383333333333,NEEDS VERIFICATION,Brand/title match needs confirmation (sim: 27%)
5060226032587.0,729792886936.0,B0725XC6BS,Dog Figure '8' Knot Ball Rope Toy(12/48),Dog Pet Puppy Chew Toys for Teething Boredom Dogs Rope Ball Knot Training Teeth Dogs Treats Toys for Small Middle Dog (Giraffe),https://www.efghousewares.co.uk/dog-figure-8-knot-ball-rope-toy-117854,https://www.amazon.co.uk/dp/B0725XC6BS,800,Available (see Keepa data),,1.0,0.876,0.73,10.94,1.64,2.96,0.55,1.82333333333333,1.176,3.78666666666666,-1.176,3.23666666666666,2.52864583333333,7.056,35.5027422303473,52,5060226032587,729792886936,1,1,DOG,DOG,20.0,3.23666666666666,NEEDS VERIFICATION,Brand/title match needs confirmation (sim: 20%)
5012904001842.0,,B004MM6OSY,CHEF AID PASTRY CUTTERS  W184,"Chef Aid Pastry Cutters, Set Of 3, Cookie Biscuit Cutter, Scone, Mince Pie, Tarts, Mini Quiches, Dough, At Home Baking, Cake Decorating, Fondant Icing, Round Circle Crinkled Stainless Steel Cutters",https://www.efghousewares.co.uk/chef-aid-pastry-cutters-w184-11-1-23,https://www.amazon.co.uk/dp/B004MM6OSY,800,Available (see Keepa data),Available (see Keepa data),16.0,1.14,0.95,6.27,0.92,2.42,0.55,1.045,0.968,0.934999999999999,-0.968,0.384999999999999,0.256666666666666,5.808,7.36842105263157,72,5012904001842,,1,3,CHEF,CHEF,13.333333333333334,-1.895000000000001,FILTERED OUT,Low confidence + unprofitable
5060357990077.0,5060357990107.0,B0DJDH23JW,SUPERIOR FOIL 10 CONTAINERS & LID 1 LTR,"Superior 10-Pack Aluminium Foil Trays with Paper Lids, Heavy Duty Aluminium Takeaway Containers, Freezer & Oven Safe Tin Foil Trays For Baking, Cooking, Broiling, Storage Containers, 9 x 9 inch",https://www.efghousewares.co.uk/superior-foil-10-containers-lid-1-ltr-76741,https://www.amazon.co.uk/dp/B0DJDH23JW,700,Available (see Keepa data),,1.0,2.28,1.9,12.97,1.95,3.13,0.55,2.16166666666666,1.506,3.82833333333333,-1.506,3.27833333333333,1.33809523809523,9.036,30.331534309946,105,5060357990077,5060357990107,1,9,SUPERIOR,SUPERIOR,7.4074074074074066,-14.961666666666668,FILTERED OUT,Low confidence + unprofitable
5060357990060.0,5060357990107.0,B0DJDH23JW,SUPERIOR FOIL 10 CONTAINERS & LID 1 LTR,"Superior 10-Pack Aluminium Foil Trays with Paper Lids, Heavy Duty Aluminium Takeaway Containers, Freezer & Oven Safe Tin Foil Trays For Baking, Cooking, Broiling, Storage Containers, 9 x 9 inch",https://www.efghousewares.co.uk/superior-foil-10-containers-lid-1-ltr-83558,https://www.amazon.co.uk/dp/B0DJDH23JW,700,Available (see Keepa data),,1.0,2.616,2.18,12.97,1.95,3.13,0.55,2.16166666666666,1.562,3.54833333333333,-1.562,2.99833333333333,1.09829059829059,9.372,27.7409406322282,111,5060357990060,5060357990107,1,9,SUPERIOR,SUPERIOR,7.4074074074074066,-17.92966666666667,FILTERED OUT,Low confidence + unprofitable
5025364002052.0,8800202193607.0,B07B656W3B,TIDYZ BIN LINER BLACK 10 BAGS 50LTR,Tidyz 2 X 10 Wheelie Bin Extra Large Liners 300L Black Dustbin Rubbish Tip Refuse Sacks Waste Garbage Thick Big Bags Super Strong Heavy Duty Fits Bins 230 x 143cm,https://www.efghousewares.co.uk/tidyz-bin-liner-black-10-bags-50ltr,https://www.amazon.co.uk/dp/B07B656W3B,700,Available (see Keepa data),Available (see Keepa data),8.0,0.744,0.62,7.89,1.05,3.13,0.55,1.31499999999999,1.06999999999999,1.775,-1.06999999999999,1.225,1.04700854700854,6.41999999999999,18.6311787072243,113,5025364002052,8800202193607,10,2,TIDYZ,TIDYZ,16.129032258064516,1.225,NEEDS VERIFICATION,Brand/title match needs confirmation (sim: 16%)
5010353320347.0,5010353322822.0,B07QQBHTT4,MINKY ANTIBACTERIAL 4 SPONGE SCOURERS HD,Minky Anti-Bacterial Cleaing Pad | 3 Pack | Reusable Microfibre Cloth | Minky Pad | Kitchen Cleaner | Dual Sided Sponge | Non Scratch Sponge | Cleaning Products | Cleaning Supplies | Sponges,https://www.efghousewares.co.uk/minky-antibacterial-3-sponge-scourers,https://www.amazon.co.uk/dp/B07QQBHTT4,700,Available (see Keepa data),Available (see Keepa data),19.0,0.876,0.73,6.75,0.88,2.42,0.55,1.125,0.916,1.595,-0.916,1.045,0.81640625,5.49599999999999,18.5777777777777,119,5010353320347,5010353322822,4,3,MINKY,MINKY,8.333333333333332,1.045,NEEDS VERIFICATION,Brand/title match needs confirmation (sim: 8%)
