RowID,is_exact_ean_strict,EAN_digits,EAN_OnPage_digits,EAN_digits_normalized,EAN_OnPage_digits_normalized,EAN_strict_valid,EAN_OnPage_strict_valid,Pack_Verdict,Adjusted_Profit,NetProfit,ROI,Qty_Ratio,Sup_Qty,Amz_Qty,title_match,sales,MLS,MLS_band,SupplierTitle,AmazonTitle,EAN,EAN_OnPage,ASIN,SupplierPrice_incVAT,SellingPrice_incVAT
1,False,5033601010654,,5033601010654,,True,False,1:1 Match,208.912916666666,208.912916666666,17855.8048433048,1.0,1.0,1.0,0.17142857142857143,100,7,UNLIKELY,EUROWRAP GIANT BIRTHDAY BADGE GIRL 3,"Motorola edge 60 fusion, Pantone Slipstream, Moto AI Smartphone, 50MP Sony LYTIA Camera, with Co2 offset",5033601010654.0,,B0F43JDYKX,0.744,299.99
2,False,5015302477202,717710483480,5015302477202,717710483480,True,True,SPLIT - verify allowed,83.45,83.45,6623.01587301587,0.01,100.0,1.0,0.11162790697674418,50,4,UNLIKELY,LUXURY CUPCAKE 100 CASES,"Oversize Turbo Dryer Blower,Car Accessories,Max Instantaneous Thrust 1.60KG,4 Speeds,64MM Super Big Electric Cordless Air Blower for Leaf,Patio Cleaning,Lawn Care & Car Drying (Shining Black)",5015302477202.0,717710483480.0,B0FGHZB8FM,0.852,129.0
3,False,5050565845627,,5050565845627,,True,False,1:1 Match,67.19625,67.19625,5507.88934426229,1.0,1.0,1.0,0.1414141414141414,50,6,UNLIKELY,I LOVE YOU BALLOON 40CM,"Mould King V8 Engine Building Blocks Set, 2250 PCS Combustion Engine Model Kit That Runs, Mini Engine for Adults with Battery, Engineering Construction STEM Toy for Boys Girls",5050565845627.0,,B0DN6BWS36,0.804,99.99
4,False,5015302203115,,5015302203115,,True,False,1:1 Match,88.0033333333333,88.0033333333333,5269.66067864271,1.0,1.0,1.0,0.3163841807909605,50,38,POSSIBLE,WORLD OF PETS TOY BALL LAUNCHER 62CM ASSORTED,PetSafe Automatic Ball Launcher Dog Toy â€“ Tennis Ball Throwing Machine for Dogs â€“ Indoor or Outside Play â€“ Easy-Open Packaging,5015302203115.0,,B017N6IF5U,1.344,130.0
5,False,5060082728921,705736912404,5060082728921,705736912404,True,True,SPLIT - verify allowed,62.165,62.165,5223.94957983193,0.08333333333333333,12.0,1.0,0.20869565217391303,50,8,UNLIKELY,DLUX PEGS WITH SOFT RUBBER GRIP PLASTIC LARGE 12 PIECES,"Mould King V8 Engine Building Blocks Set, 2250 PCS Combustion Engine Model Kit That Runs, Mini Engine for Adults with Battery, Engineering Construction STEM Toy for Boys Girls",5060082728921.0,705736912404.0,B0DN6BWS36,0.768,99.99
6,False,5010353328800,5065018907005,5010353328800,5065018907005,True,True,1:1 Match,82.135,82.135,4512.91208791208,1.0,1.0,1.0,0.026905829596412557,100,0,UNLIKELY,MINKY CURVE SCOURER 2PC,"Powerful 2200W Premium Garment Steamer with 3L Water Tank, Dual Steam Settings for Rapid Wrinkle Release, Suitable for All Fabrics Including Delicates, Updated Design, Fridja f1200 Clothes Steamer Pro",5010353328800.0,5065018907005.0,B0D3M53JGG,1.524,132.99
7,False,5060082727214,705736912404,5060082727214,705736912404,True,True,1:1 Match,61.965,61.965,4457.91366906474,1.0,1.0,1.0,0.08,50,0,UNLIKELY,STARWASH CLOTHES LINE 30M,"Mould King V8 Engine Building Blocks Set, 2250 PCS Combustion Engine Model Kit That Runs, Mini Engine for Adults with Battery, Engineering Construction STEM Toy for Boys Girls",5060082727214.0,705736912404.0,B0DN6BWS36,1.008,99.99
8,False,5022822226623,889328733407,5022822226623,889328733407,True,True,1:1 Match,64.85,64.85,4323.33333333333,1.0,1.0,1.0,0.1565217391304348,500,6,UNLIKELY,STATUS LED G9 2W LED CAPSULE BULB EACH,"17.5"" Portable DVD Player with 15.6"" Large HD Swivel Screen, 6 Hours Rechargeable Battery, Support USB/SD Card/Sync TV and Multiple Disc Formats, No Region Restrict, High Volume Speaker, Black",5022822226623.0,889328733407.0,B086ZJ8N2T,1.14,94.02
9,False,5012904079582,,5012904079582,,True,False,1:1 Match,54.3991666666666,54.3991666666666,4317.39417989418,1.0,1.0,1.0,0.11659192825112108,50,5,UNLIKELY,CHEF AID LANC PEELER PLASTIC HAND,"NiwNiw Heavy Duty Trailer Hitch Lock with Forged Steel Safety Ball Ifor Williams Knott Avonride 50mm Head (575003/575004/575005/575008),High Security Anti-Theft Caravan Tow Bar Coupling Lock",5012904079582.0,,B0FLXV5TG6,0.852,81.98
10,False,6923456819818,,6923456819818,,True,False,1:1 Match,45.9462499999999,45.9462499999999,3766.08606557376,1.0,1.0,1.0,0.23076923076923078,100,0,UNLIKELY,ADORN PLACEMAT GOLD EMBOSSED 37CM ASSORTED,EVER ADVANCED Luxury Camping Chairs for Adults Heavy Duty Loadable 150kg High Back Oversized Folding Garden Chair Padded 6cm Comfy with Cup Holder Side Pocket Dining Chairs 4-Position Recliner,6923456819818.0,,B0DK877SSC,0.804,69.99
