RowID,ASIN,SupplierTitle,AmazonTitle,SupplierEAN,AmazonEAN,SupplierPrice,SellingPrice,NetProfit,ROI,Sales,Sup_Qty,Amz_Qty,Qty_Ratio,Adjusted_Profit,Pack_Verdict,supplier_brand,amazon_brand,brand_match,starts_invalid,title_similarity,variant_mismatch,variant_reason,capacity_hard_mismatch,capacity_note,shared_tokens,is_exact_ean_strict,barcode_notes,Verdict,FilterReason,Confidence
1,B0F43JDYKX,EUROWRAP GIANT BIRTHDAY BADGE GIRL 3,"Motorola edge 60 fusion, Pantone Slipstream, Moto AI Smartphone, 50MP Sony LYTIA Camera, with Co2 offset",5033601010654,-,0.744,299.99,208.912916666666,17855.8048433048,100.0,1.0,1.0,1.0,208.912916666666,,,,False,False,0.12,False,,False,,[],False,Sup:valid Amz:missing,OTHER,Insufficient match evidence,12
2,B0FGHZB8FM,LUXURY CUPCAKE 100 CASES,"Oversize Turbo Dryer Blower,Car Accessories,Max Instantaneous Thrust 1.60KG,4 Speeds,64MM Super Big Electric Cordless Air Blower for Leaf,Patio Cleaning,Lawn Care & Car Drying (Shining Black)",5015302477202,717710483480,0.852,129.0,83.45,6623.01587301587,50.0,1.0,1.0,1.0,83.45,,,,False,False,0.07813953488372093,False,,False,,[],False,Sup:valid Amz:valid,OTHER,Insufficient match evidence,8
3,B0DN6BWS36,I LOVE YOU BALLOON 40CM,"Mould King V8 Engine Building Blocks Set, 2250 PCS Combustion Engine Model Kit That Runs, Mini Engine for Adults with Battery, Engineering Construction STEM Toy for Boys Girls",5050565845627,-,0.804,99.99,67.19625,5507.88934426229,50.0,1.0,1.0,1.0,67.19625,,,,False,False,0.09898989898989898,False,,False,,[],False,Sup:valid Amz:missing,OTHER,Insufficient match evidence,10
4,B017N6IF5U,WORLD OF PETS TOY BALL LAUNCHER 62CM ASSORTED,PetSafe Automatic Ball Launcher Dog Toy â€“ Tennis Ball Throwing Machine for Dogs â€“ Indoor or Outside Play â€“ Easy-Open Packaging,5015302203115,-,1.344,130.0,88.0033333333333,5269.66067864271,50.0,1.0,1.0,1.0,88.0033333333333,,,,False,False,0.2688373476063039,False,,False,,"['BALL', 'LAUNCHER', 'TOY']",False,Sup:valid Amz:missing,OTHER,Insufficient match evidence,27
5,B0DN6BWS36,DLUX PEGS WITH SOFT RUBBER GRIP PLASTIC LARGE 12 PIECES,"Mould King V8 Engine Building Blocks Set, 2250 PCS Combustion Engine Model Kit That Runs, Mini Engine for Adults with Battery, Engineering Construction STEM Toy for Boys Girls",5060082728921,705736912404,0.768,99.99,62.165,5223.94957983193,50.0,12.0,1.0,0.08333333333333333,62.165,Sup 12 vs Amz 1 (repack risk),,,False,False,0.14608695652173911,True,Size mismatch: ['LARGE'] vs ['MINI'],False,,[],False,Sup:valid Amz:valid,OTHER,Insufficient match evidence,10
6,B0D3M53JGG,MINKY CURVE SCOURER 2PC,"Powerful 2200W Premium Garment Steamer with 3L Water Tank, Dual Steam Settings for Rapid Wrinkle Release, Suitable for All Fabrics Including Delicates, Updated Design, Fridja f1200 Clothes Steamer Pro",5010353328800,5065018907005,1.524,132.99,82.135,4512.91208791208,100.0,1.0,1.0,1.0,82.135,,MINKY,,False,False,0.01883408071748879,False,,False,,[],False,Sup:valid Amz:valid,OTHER,Insufficient match evidence,2
7,B0DN6BWS36,STARWASH CLOTHES LINE 30M,"Mould King V8 Engine Building Blocks Set, 2250 PCS Combustion Engine Model Kit That Runs, Mini Engine for Adults with Battery, Engineering Construction STEM Toy for Boys Girls",5060082727214,705736912404,1.008,99.99,61.965,4457.91366906474,50.0,1.0,1.0,1.0,61.965,,,,False,False,0.055999999999999994,False,,False,,[],False,Sup:valid Amz:valid,OTHER,Insufficient match evidence,6
8,B086ZJ8N2T,STATUS LED G9 2W LED CAPSULE BULB EACH,"17.5"" Portable DVD Player with 15.6"" Large HD Swivel Screen, 6 Hours Rechargeable Battery, Support USB/SD Card/Sync TV and Multiple Disc Formats, No Region Restrict, High Volume Speaker, Black",5022822226623,889328733407,1.14,94.02,64.85,4323.33333333333,500.0,1.0,1.0,1.0,64.85,,STATUS,,False,False,0.10956521739130434,False,,False,,[],False,Sup:valid Amz:valid,OTHER,Insufficient match evidence,11
9,B0FLXV5TG6,CHEF AID LANC PEELER PLASTIC HAND,"NiwNiw Heavy Duty Trailer Hitch Lock with Forged Steel Safety Ball Ifor Williams Knott Avonride 50mm Head (575003/575004/575005/575008),High Security Anti-Theft Caravan Tow Bar Coupling Lock",5012904079582,-,0.852,81.98,54.3991666666666,4317.39417989418,50.0,1.0,1.0,1.0,54.3991666666666,,CHEF AID,,False,False,0.08161434977578474,True,Material mismatch: ['PLASTIC'] vs ['STEEL'],False,,[],False,Sup:valid Amz:missing,OTHER,Insufficient match evidence,8
10,B0DK877SSC,ADORN PLACEMAT GOLD EMBOSSED 37CM ASSORTED,EVER ADVANCED Luxury Camping Chairs for Adults Heavy Duty Loadable 150kg High Back Oversized Folding Garden Chair Padded 6cm Comfy with Cup Holder Side Pocket Dining Chairs 4-Position Recliner,6923456819818,-,0.804,69.99,45.9462499999999,3766.08606557376,100.0,1.0,1.0,1.0,45.9462499999999,,,,False,False,0.16153846153846155,False,,False,,[],False,Sup:valid Amz:missing,OTHER,Insufficient match evidence,16
