,EAN,EAN_OnPage,ASIN,SupplierTitle,AmazonTitle,NetProfit,ROI,supplier_pack,amazon_pack,pack_ratio,adjusted_profit,title_similarity,brand_match,verdict,confidence,reason
0,5033601010654.0,,B0F43JDYKX,EUROWRAP GIANT BIRTHDAY BADGE GIRL 3,"Motorola edge 60 fusion, Pantone Slipstream, Moto AI Smartphone, 50MP Sony LYTIA Camera, with Co2 offset",208.912916666666,17855.8048433048,1,1,1.0,208.912916666666,0.17142857142857143,False,OTHER,30,Insufficient match evidence
1,5015302477202.0,717710483480.0,B0FGHZB8FM,LUXURY CUPCAKE 100 CASES,"Oversize Turbo Dryer Blower,Car Accessories,Max Instantaneous Thrust 1.60KG,4 Speeds,64MM Super Big Electric Cordless Air Blower for Leaf,Patio Cleaning,Lawn Care & Car Drying (Shining Black)",83.45,6623.01587301587,1,1,1.0,83.45,0.11162790697674418,False,OTHER,30,Insufficient match evidence
2,5050565845627.0,,B0DN6BWS36,I LOVE YOU BALLOON 40CM,"Mould King V8 Engine Building Blocks Set, 2250 PCS Combustion Engine Model Kit That Runs, Mini Engine for Adults with Battery, Engineering Construction STEM Toy for Boys Girls",67.19625,5507.88934426229,1,2250,2250.0,-1740.9997500000002,0.1414141414141414,False,OTHER,30,Insufficient match evidence
3,5015302203115.0,,B017N6IF5U,WORLD OF PETS TOY BALL LAUNCHER 62CM ASSORTED,PetSafe Automatic Ball Launcher Dog Toy â€“ Tennis Ball Throwing Machine for Dogs â€“ Indoor or Outside Play â€“ Easy-Open Packaging,88.0033333333333,5269.66067864271,1,1,1.0,88.0033333333333,0.3163841807909605,False,LOW_PRIORITY,31,Weak match - low confidence
4,5060082728921.0,705736912404.0,B0DN6BWS36,DLUX PEGS WITH SOFT RUBBER GRIP PLASTIC LARGE 12 PIECES,"Mould King V8 Engine Building Blocks Set, 2250 PCS Combustion Engine Model Kit That Runs, Mini Engine for Adults with Battery, Engineering Construction STEM Toy for Boys Girls",62.165,5223.94957983193,12,2250,187.5,-81.06700000000001,0.20869565217391303,False,OTHER,30,Insufficient match evidence
5,5010353328800.0,5065018907005.0,B0D3M53JGG,MINKY CURVE SCOURER 2PC,"Powerful 2200W Premium Garment Steamer with 3L Water Tank, Dual Steam Settings for Rapid Wrinkle Release, Suitable for All Fabrics Including Delicates, Updated Design, Fridja f1200 Clothes Steamer Pro",82.135,4512.91208791208,1,1,1.0,82.135,0.026905829596412557,False,OTHER,30,Insufficient match evidence
6,5060082727214.0,705736912404.0,B0DN6BWS36,STARWASH CLOTHES LINE 30M,"Mould King V8 Engine Building Blocks Set, 2250 PCS Combustion Engine Model Kit That Runs, Mini Engine for Adults with Battery, Engineering Construction STEM Toy for Boys Girls",61.965,4457.91366906474,1,2250,2250.0,-2205.027,0.08,False,OTHER,30,Insufficient match evidence
7,5022822226623.0,889328733407.0,B086ZJ8N2T,STATUS LED G9 2W LED CAPSULE BULB EACH,"17.5"" Portable DVD Player with 15.6"" Large HD Swivel Screen, 6 Hours Rechargeable Battery, Support USB/SD Card/Sync TV and Multiple Disc Formats, No Region Restrict, High Volume Speaker, Black",64.85,4323.33333333333,1,1,1.0,64.85,0.1565217391304348,False,OTHER,30,Insufficient match evidence
8,5012904079582.0,,B0FLXV5TG6,CHEF AID LANC PEELER PLASTIC HAND,"NiwNiw Heavy Duty Trailer Hitch Lock with Forged Steel Safety Ball Ifor Williams Knott Avonride 50mm Head (575003/575004/575005/575008),High Security Anti-Theft Caravan Tow Bar Coupling Lock",54.3991666666666,4317.39417989418,1,1,1.0,54.3991666666666,0.11659192825112108,False,OTHER,30,Insufficient match evidence
9,6923456819818.0,,B0DK877SSC,ADORN PLACEMAT GOLD EMBOSSED 37CM ASSORTED,EVER ADVANCED Luxury Camping Chairs for Adults Heavy Duty Loadable 150kg High Back Oversized Folding Garden Chair Padded 6cm Comfy with Cup Holder Side Pocket Dining Chairs 4-Position Recliner,45.9462499999999,3766.08606557376,1,1,1.0,45.9462499999999,0.23076923076923078,False,OTHER,30,Insufficient match evidence
10,4894158018552.0,,B0DNSWBYMZ,FESTIVE MAGIC BELLS 8PC ASSORTED,"Hazel Quinn x Eduardo Recife 2-Slice Toaster, 6 Browning Levels, Defrost/Reheat/Cancel Functions, Removable Crumb Tray for Easy Cleaning, 1.5-Inch Extra-Wide Slots, Retro Style Collaboration",41.565,3744.59459459459,1,1,1.0,41.565,0.1981981981981982,False,OTHER,30,Insufficient match evidence
11,5414886287533.0,,B0002HZPUG,EASY STORAGE VACUUM BAG 70X100CM,John Deere Ride-on Tractor with Loader and Detachable Trailer,65.675,3689.60674157303,1,1,1.0,65.675,0.1935483870967742,False,OTHER,30,Insufficient match evidence
12,5050565743725.0,,B0FGCSDMBW,CEMENT FLOWER POT WITH SUCCULENT CIRCLE 3 ASSORTED,"Sewing Machine for Beginners â€“ Portable Electric with 12 Built-In Stitch Patterns, 6 Presser Feet, Foot Pedal, 2-Speed Control, Fast Sewing for Clothes, Fabrics, DIY & Home Use",44.6016666666666,3655.87431693989,1,1,1.0,44.6016666666666,0.2631578947368421,False,OTHER,30,Insufficient match evidence
13,5012904000425.0,659381335623.0,B0FLXV5TG6,CHEF AID MINI SPOUT BRUSH,"NiwNiw Heavy Duty Trailer Hitch Lock with Forged Steel Safety Ball Ifor Williams Knott Avonride 50mm Head (575003/575004/575005/575008),High Security Anti-Theft Caravan Tow Bar Coupling Lock",51.4166666666666,3646.57210401891,1,1,1.0,51.4166666666666,0.10232558139534884,False,OTHER,30,Insufficient match evidence
14,5055706641151.0,717710483480.0,B0FGHZB8FM,PROKLEEN SPUNLACE FLOOR MOP & HANDLE,"Oversize Turbo Dryer Blower,Car Accessories,Max Instantaneous Thrust 1.60KG,4 Speeds,64MM Super Big Electric Cordless Air Blower for Leaf,Patio Cleaning,Lawn Care & Car Drying (Shining Black)",82.42,3599.12663755458,1,1,1.0,82.42,0.09691629955947137,False,OTHER,30,Insufficient match evidence
15,5012904018475.0,,B0FLXV5TG6,TALA STAINLESS STEEL TOWEL HOLDER,"NiwNiw Heavy Duty Trailer Hitch Lock with Forged Steel Safety Ball Ifor Williams Knott Avonride 50mm Head (575003/575004/575005/575008),High Security Anti-Theft Caravan Tow Bar Coupling Lock",54.1391666666666,3561.78728070175,1,1,1.0,54.1391666666666,0.17937219730941703,False,OTHER,30,Insufficient match evidence
16,5055297302240.0,717710483480.0,B0FGHZB8FM,PLUNGER BUFFALO MINI PLUNGER,"Oversize Turbo Dryer Blower,Car Accessories,Max Instantaneous Thrust 1.60KG,4 Speeds,64MM Super Big Electric Cordless Air Blower for Leaf,Patio Cleaning,Lawn Care & Car Drying (Shining Black)",82.33,3459.24369747899,1,1,1.0,82.33,0.1278538812785388,False,OTHER,30,Insufficient match evidence
17,5038673411309.0,,B0FM3GQ9VQ,PRIMA PET BALL LAUNCHER 50CM,"Pet Prime Automatic Ball Launcher for Large Dog, Rechargeable Cordless Interactive Ball Thrower Toy with Random Distance, Fetch Machine with 6 Durable 2.5"" E-TPU Balls & Dog Whistle",57.3254166666666,3432.65968063872,1,1,1.0,57.3254166666666,0.21052631578947367,False,OTHER,30,Insufficient match evidence
18,5030017011138.0,,B0FB36DTHD,PANASONIC UPRIGHT   SDB113,"ElecKeys Cordless Vacuum Cleaner,65 Mins 580W 48KPa 1.8L Vacuum Cleaners for Home,Self-Standing Anti-Tangle Vacuum,Handheld Vacuum Cleaner Rechargeable Wall-Mounted for Carpets Floors Pet Hair",90.505,3315.20146520146,1,1,1.0,90.505,0.09174311926605505,False,OTHER,30,Insufficient match evidence
19,5012213580601.0,,B08KYJWQPV,TOM SMITH CHRISTMAS CARDS LUXURY SLIM FOLIAGE TEXT,Nilfisk Core 130 Bar High Pressure Washer with Power Control - Mini Power Washer for Patios and Car Cleaner (1500 W),69.50125,3116.64798206278,1,1,1.0,69.50125,0.25301204819277107,False,OTHER,30,Insufficient match evidence
20,5013922057019.0,,B0DB7DGKFK,PARTY CRAZY BALLOONS ASSORTED 20,"KODAK 10.1 Inch WiFi Digital Picture Frame with 32GB Storage, Electronic Smart Digital Photo Frame 1280x800 IPS Touch Screen, Auto-Rotate, Share Moments Instantly Gifts for Women Mothers Day Christmas",39.0708333333333,3100.85978835978,1,1,1.0,39.0708333333333,0.04310344827586207,False,OTHER,30,Insufficient match evidence
21,5050565569936.0,,B0DL47ZJR2,PAPER EASTER 10 PLATES 7 INCH,"Mould King V8 Engine Building Blocks Sets, 10171 MOC Scale Model Kit with Battery and Motor, Collectible Set for Adults, Construction Toys for Teens(487 Pcs)",32.5379166666666,2781.01851851851,1,487,487.0,-329.0460833333334,0.10752688172043011,False,OTHER,30,Insufficient match evidence
