Verdict,Confidence,SupplierTitle,AmazonTitle,Supplier EAN,Amazon EAN,ASIN,SupplierPrice,SellingPrice,NetProfit,ROI,Sales,Pack Verdict,Adjusted Profit,Key Match Evidence,Filter Reason,Amazon URL,SupplierEAN_clean,AmazonEAN_clean,EAN_exact,Product Name,Brand/Manufacturer,EAN,Listed Price,Wholesale Price (Low),Wholesale Price (High),Potential Savings %,Wholesale Supplier(s),Website(s),Account Requirements,Status,EAN_clean,HazmatKeywordFlag,Verification_Verdict,Verification_Notes,Verified_Price,Date_Checked
VERIFIED,95.0,CARAFE .5LT GLASS,"Arcoroc ARC C0199 Carafon Vin Carafe, Glass, transparent, 580 ml",26102251102,26102251102,B0042FBWQ0,2.56,8.99,0.76,0.284,50.0,1:1 Match,0.76,Exact EAN match,-,https://www.amazon.co.uk/dp/B0042FBWQ0,26102251102,26102251102.0,True,Arcoroc Carafon Vin Carafe Glass 580ml,Arcoroc,26102251102,2.56,1.8,2.2,14-30%,Nisbets / JC Catering & Bar Supplies / Cater-Connect,nisbets.co.uk / jccbs.co.uk / cater-connect.co.uk,Trade account; Various sizes,MATCH FOUND,26102251102,False,Pending Verification,Not manually checked yet,8.99,
VERIFIED,95.0,ADIDAS DEODORANT PURE GAME MENS 150ML PK6,Set 6 ADIDAS Deodorant Spray 150 Ml Pure Game Hygiene And Body Care,3607345711782,7432509764764,B07DCXX17M,12.89,25.0,4.01,0.355,50.0,Split candidate (0.17),14.75,"-; Browser confirmed match; MATCH: ADIDAS brand deodorant spray Pure Game 150ml x 6 pack. Supplier: ADIDAS DEODORANT PURE GAME MENS 150ML PK6 (EAN: 3607345711782). Amazon: Set 6 ADIDAS Deodorant Spray 150 Ml Pure Game (ASIN: B07DCXX17M). Same brand, product type, scent, volume, pack size",-,https://www.amazon.co.uk/dp/B07DCXX17M,3607345711782,7432509764764.0,False,Adidas Deodorant Spray 150ml Pure Game Set of 6,Adidas,3607345711782,12.89,9.0,11.0,15-30%,Apollo Wholesale / Wholesale-Cosmetics / MX Wholesale,eapollowholesale.co.uk / wholesale-cosmetics.co.uk / mxwholesale.co.uk,Trade account; Case of 6,MATCH FOUND,3607345711782,True,AVOID,HAZMAT (Aerosol). Price dropped to £19.99 (was £25). Loss maker at current price.,19.99,2026-01-16
VERIFIED,95.0,CHRISTMAS LAPTRAY ROBINS,Cushioned Lap Tray - Christmas Robins Design,5010792542676,5010792542676,B0FMS875KH,9.2,16.99,1.4,0.171,50.0,1:1 Match,1.4,Exact EAN match,-,https://www.amazon.co.uk/dp/B0FMS875KH,5010792542676,5010792542676.0,True,Cushioned Lap Tray - Christmas Robins Design,Lesser & Pavey,5010792542676,9.2,5.5,7.5,18-40%,Angel Wholesale / UKSM Trade / Whittingtons,angelwholesale.co.uk / uksmtrade.co.uk / whittingtons.biz,Wholesale only; No min order,MATCH FOUND,5010792542676,False,Pending Verification,Not manually checked yet,16.99,
VERIFIED,95.0,GEL LED CANDLE FESTIVE ROBIN,Macneil Christmas Robin LED Gel Candle,5010792542737,5010792542737,B0FQK17X7F,7.73,15.1,1.3,0.185,50.0,1:1 Match,1.3,Exact EAN match; Shared tokens=4,-,https://www.amazon.co.uk/dp/B0FQK17X7F,5010792542737,5010792542737.0,True,Macneil Christmas Robin LED Gel Candle,Lesser & Pavey,5010792542737,7.73,4.5,6.0,22-42%,Angel Wholesale / Gainsborough Giftware / Lesser & Pavey,angelwholesale.co.uk / gainsboroughgiftware.com / leonardo.co.uk,Trade account; No min order,MATCH FOUND,5010792542737,True,Pending Verification,Not manually checked yet,15.1,
VERIFIED,95.0,HIGHLAND COW PLAQUE FRIENDS,Lesser & Pavey Love & Affection Highland Cow Wooden Plaque - Friends For Home Decor & Gift / Wooden and Acrylic Plaques For Home and Office / Ideal Signs & Plaque Birthday Gifts For Women & Men,5010792749549,5010792749549,B0DPQVJ4NW,6.59,14.99,1.24,0.206,400.0,1:1 Match,1.24,Exact EAN match; Shared tokens=4,-,https://www.amazon.co.uk/dp/B0DPQVJ4NW,5010792749549,5010792749549.0,True,Lesser & Pavey Highland Cow Wooden Plaque,Lesser & Pavey,5010792749549,6.59,3.5,5.0,24-47%,Lesser & Pavey / Gainsborough Giftware,leonardo.co.uk / gainsboroughgiftware.com,Trade account; £500 first order min (L&P),MATCH FOUND,5010792749549,False,Pending Verification,Not manually checked yet,14.99,
VERIFIED,95.0,MASON CASH CERAMIC RECT DISH 16cm,"Mason Cash 2001.542 Collection Fine Stoneware Square Roasting Baking and Serving Dish, Ceramic, White, 16 x 16 x 4.5 cm",5010853203508,5010853203508,B00W3RVAG6,3.66,9.11,0.1,0.028,50.0,1:1 Match,0.1,Exact EAN match; Shared tokens=4,-,https://www.amazon.co.uk/dp/B00W3RVAG6,5010853203508,5010853203508.0,True,Mason Cash Square Roasting Dish 16x16x4.5cm White,Mason Cash,5010853203508,3.66,2.4,3.0,18-34%,Rayware Group / Vitta Wholesale / Nisbets,masoncash.co.uk / vittawholesale.com / nisbets.co.uk,Trade stockist application,MATCH FOUND,5010853203508,False,Pending Verification,Not manually checked yet,9.11,
VERIFIED,95.0,MASON CASH MIXING BOWL CREAM 29CM,"Mason Cash Colour Mix Cream Mixing Bowl / 4 Litre Capacity / 29cm Earthenware Bowl with Classic Pattern Design / Lightweight & Dishwasher Safe / Ideal for Baking, Pastry, Dough, Cakes & Cookies",5010853235530,5010853235530,B01IFIJ91Y,7.66,24.99,5.11,0.738,200.0,1:1 Match,5.11,Exact EAN match; Anchor=29cm; Shared tokens=6,-,https://www.amazon.co.uk/dp/B01IFIJ91Y,5010853235530,5010853235530.0,True,Mason Cash Colour Mix Cream Mixing Bowl 4 Litre,Mason Cash,5010853235530,7.66,5.5,6.5,15-28%,Rayware Group / Vitta Wholesale / Jones Wholesale,masoncash.co.uk / vittawholesale.com / joneswholesale.co.uk,Trade stockist application,MATCH FOUND,5010853235530,False,BUY,Verified. Price £26.76. Consistent profit. Fragile (Earthenware).,26.76,2026-01-16
VERIFIED,95.0,FALCON ENAMEL ROASTER ROUND 20CM,"Barmans BYX0B0A6289 Enamel Roaster with Lid, White, 20cm",5012823030039,-,B01MZHIBA9,10.62,17.88,0.86,0.091,50.0,1:1 Match,0.86,Browser confirmed match; Confirmed match (tanle 1 .xlsx),-,https://www.amazon.co.uk/dp/B01MZHIBA9,5012823030039,,False,Barmans Enamel Roaster with Lid White 20cm,Barmans,5012823030039,10.62,7.0,9.0,15-34%,Drinkstuff.com (Barmans sister site),drinkstuff.com / barmans.co.uk,Trade account; Caterers welcome,MATCH FOUND,5012823030039,False,Pending Verification,Not manually checked yet,17.88,
VERIFIED,95.0,CHEF AID STRAINER DIAMETER 18CM,"Chef Aid 18cm Long Handled Metal Sieve, Kitchen Essential Tool and Ideal for Straining, draining, Washing and Wide Range of Foods, with a fine mesh for Ease of use",5012904004188,5012904004188,B000TAU3QW,1.94,6.4,0.08,0.038,200.0,1:1 Match,0.08,Exact EAN match; Anchor=18cm,-,https://www.amazon.co.uk/dp/B000TAU3QW,5012904004188,5012904004188.0,True,Chef Aid 18cm Long Handled Metal Sieve,Chef Aid,5012904004188,1.94,1.1,1.5,23-43%,Dayes Ltd / Jones Wholesale / Leigh Shop,dayesuk.com / joneswholesale.co.uk / leighshop.co.uk,Trade account; Bulk discounts,MATCH FOUND,5012904004188,False,Pending Verification,Not manually checked yet,6.4,
VERIFIED,95.0,TALA COCKTAIL STICKS 200,"Tala Bamboo Cocktail Sticks, Ponted End Cocktails Sticks Perfect for Buffets, Canapes and Appetisers, Pack Off 200 Stick Each Measuring 8cm, Can Also be Used a dential/toothpicks",5012904061204,5012904061204,B00LZRJTEA,0.67,4.19,0.25,0.227,50.0,1:1 Match,0.25,Exact EAN match,-,https://www.amazon.co.uk/dp/B00LZRJTEA,5012904061204,5012904061204.0,True,Tala Bamboo Cocktail Sticks Pack of 200,Tala,5012904061204,0.67,0.4,0.55,18-40%,Dunlevy Distributors / Dayes Ltd / Cut Price Wholesaler,dunlevy.co.uk / dayesuk.com / cutpricewholesaler.com,Trade catalogue; Wholesale pricing,MATCH FOUND,5012904061204,False,Pending Verification,Not manually checked yet,4.19,
