ASIN,Next Action
 B0042FBWQ0 ,Check IP History & Seasonality
 B0FMS875KH ,Check IP History & Seasonality
 B0FQK17X7F ,Check IP History & Seasonality
 B0DPQVJ4NW ,Check IP History & Seasonality
 B00W3RVAG6 ,Check Brand Approval/IP
 B01IFIJ91Y ,Check Brand Approval/IP
 B01MZHIBA9 ,Check Brand Approval/IP
 B000TAU3QW ,Check Brand Approval/IP
 B00LZRJTEA ,Check Brand Approval/IP
 B00M36YPIM ,Check Brand Approval/IP
 B099X92QGG ,Check IP History & Seasonality
 B00KB225MS ,Check IP History & Seasonality
 B0046MHRMM ,Check IP History & Seasonality
 B008F7YP9C ,Check IP History & Seasonality
 B07YPPK4JY ,Check IP History & Seasonality
 B009SJXB32 ,Check IP History & Seasonality
 B07YQ5HFFN ,Check IP History & Seasonality
 B077G5PTRK ,Check IP History & Seasonality
 B08G1Q1L46 ,Check IP History & Seasonality
 B0111N9Z1O ,Check IP History & Seasonality
 B005XKFN0O ,Check IP History & Seasonality
 B09KCMWXQX ,Check IP History & Seasonality
 B09KCLYC1D ,Check IP History & Seasonality
6040418214,Check IP History & Seasonality
 B096KRFC4W ,Check IP History & Seasonality
 B07WDRQ4J7 ,Check IP History & Seasonality
 B007IGLUIK ,Check IP History & Seasonality
 B008F6946C ,Check IP History & Seasonality
 B0DJDH23JW ,Check IP History & Seasonality
B0DJDH23JW,Check IP History & Seasonality
B07GZGXQYG,Check IP History & Seasonality
B074ZH6DXK,Check IP History & Seasonality
B08L66NXB5,Check IP History & Seasonality
 B0126CHB24 ,Check IP History & Seasonality
 B07JD22MJ2 ,Check IP History & Seasonality
