ASIN,Reason
 B07DCXX17M ,High Brand Risk
 B0FMS875KH ,Low ROI (15.2%)
 B0FQK17X7F ,Low ROI (16.8%)
 B0DPQVJ4NW ,Low ROI (18.8%)
 B00W3RVAG6 ,Low ROI (2.7%)
 B01MZHIBA9 ,Low ROI (8.1%)
 B000TAU3QW ,Low ROI (4.1%)
 B00M36YPIM ,Low ROI (1.7%)
 B099X92QGG ,Low ROI (9.0%)
 B00KB225MS ,Low ROI (15.8%)
 B0046MHRMM ,Low ROI (19.9%)
 B008F7YP9C ,Low ROI (14.9%)
 B07YPPK4JY ,Low ROI (2.2%)
 B077G5PTRK ,Low ROI (12.2%)
 B083XH692T ,High Brand Risk
 B096KRFC4W ,Low ROI (1.2%)
 B007IGLUIK ,Low ROI (13.9%)
 B008F6946C ,Low ROI (4.7%)
 B07JD22MJ2 ,Low ROI (0.9%)
