Verdict,Confidence,SupplierTitle,AmazonTitle,Supplier EAN,Amazon EAN,ASIN,SupplierPrice,SellingPrice,NetProfit,ROI,Sales,Pack Verdict,Adjusted Profit,Key Match Evidence,Filter Reason,ROI_calc,Velocity,BrandRisk,Score
 VERIFIED ,95.0, AIRWICK REED DIFFUSER MULLED WINE 33ML PK5                       ," Air Wick Essential Oils Reed Diffuser Air Freshener Mulled Wine Scent, 5 Bottles X 30 ml                                                                                                                 ",5059001500861,5059001500861, B07WDRQ4J7 ,13.43,46.0,16.55,1.41,200.0, 1:1 (5x1 vs 1x5)                     ,16.55, Exact EAN match; Shared tokens=4                                                                                                                                                                                                                                                                 , -             ,123.23157110945644,High,Unknown,87.6875
 VERIFIED ,95.0, EVERREADY T8 4FT 36W TUBE LIGHT                                  , Eveready T8 Tube 4ft 36w White 3500k                                                                                                                                                                     ,5050028016069,5050028016069, B005XKFN0O ,2.99,18.99,8.0,2.632,50.0, 1:1 Match                            ,8.0, Exact EAN match; Shared tokens=4                                                                                                                                                                                                                                                                 , -             ,267.55852842809367,Medium,Unknown,67.0
 VERIFIED ,95.0, PAN AROMA JAR CANDLE 85GM RED BERRY                              ," PAN AROMAÂ® RED Decorative Holder & Scented Candle, RED Berry, 85g POUND                                                                                                                                 ",5053249248295,5053249248295, B09KCMWXQX ,0.87,8.99,2.82,3.24,50.0, 1:1 Match                            ,1.49, Exact EAN match; Shared tokens=5                                                                                                                                                                                                                                                                 ,POUNDWHOLESALE,324.13793103448273,Medium,Unknown,60.525
 VERIFIED ,95.0, PAN AROMA JAR CANDLE 85GM SALTED CARAMEL                         ," Pan Aroma Orange Decorative Holder & Scented Candle, Salted Caramel, 85G POUND                                                                                                                           ",5053249248356,5053249248356, B09KCLYC1D ,0.87,8.99,2.82,1.561,50.0, 1:1 Match                            ,2.54, Exact EAN match; Shared tokens=5                                                                                                                                                                                                                                                                 , -             ,324.13793103448273,Medium,Unknown,60.525
 VERIFIED ,95.0, FRAGRANT CLOUD EDT 100ML POUR FEMME EACH                         , Fragrant Cloud Rose Ladies Women Perfume Eau De Parfum Spray New Gift 100ml                                                                                                                              ,5055170281372,5055170281372,6040418214,1.61,7.5,1.24,0.653,100.0, 1:1 Match                            ,1.24, Exact EAN match; Anchor=100ml                                                                                                                                                                                                                                                                    , -             ,77.01863354037266,High,Unknown,60.506521739130434
 VERIFIED ,95.0, MASON CASH MIXING BOWL CREAM 29CM                                ," Mason Cash Colour Mix Cream Mixing Bowl / 4 Litre Capacity / 29cm Earthenware Bowl with Classic Pattern Design / Lightweight & Dishwasher Safe / Ideal for Baking, Pastry, Dough, Cakes & Cookies        ",5010853235530,5010853235530, B01IFIJ91Y ,7.66,24.99,5.11,0.738,200.0, 1:1 Match                            ,5.11, Exact EAN match; Anchor=29cm; Shared tokens=6                                                                                                                                                                                                                                                    , -             ,66.71018276762403,High,Medium,57.73606396866841
 VERIFIED ,95.0, SUPERIOR FOIL 10 CONTAINERS & LID 9X9IN                          ," Superior 10-Pack Aluminium Foil Trays with Paper Lids, Heavy Duty Aluminium Takeaway Containers, Freezer & Oven Safe Tin Foil Trays For Baking, Cooking, Broiling, Storage Containers, 9 x 9 inch        ",5060357990107,5060357990107, B0DJDH23JW ,3.66,12.97,2.13,0.591,700.0, 1:1 (1x10 vs 10x1)                   ,2.13, Exact EAN match                                                                                                                                                                                                                                                                                  , -             ,58.19672131147541,High,Unknown,55.03135245901639
 VERIFIED ,95.0, PPS ROUND 40 DOYLEYS 21CM                                        ," 40 X White Round LACE DOYLEYS - 22cm/8.5"" Quality Disposable Paper mats Great for Entertaining and Parties                                                                                               ",5030481940088,5030481940088, B07YQ5HFFN ,0.67,4.28,0.3,0.267,700.0, 1:1 (1x40 vs 40x1)                   ,0.3, Exact EAN match                                                                                                                                                                                                                                                                                  , -             ,44.776119402985074,High,Unknown,48.04664179104478
 VERIFIED ,95.0, BAKER & SALT SWISS ROLL TRAY                                     , Baker & Salt Non-Stick Swiss Roll Tray 32 x 23.5 x 1cm                                                                                                                                                   ,5038135558504, -             , B08G1Q1L46 ,3.23,8.99,0.72,0.222,600.0, 1:1 (1x1 vs 32x23)                   ,0.72," -; Browser confirmed match; Perfect match - same brand, exact size match, same product                                                                                                                                                                                                           ", -             ,22.291021671826623,High,Unknown,40.70185758513932
 VERIFIED ,95.0, APOLLO VINEGAR SHAKER                                            ," apollo THE HOUSEWARES BRAND 3357 Glass Vinegar Shaker, Clear 15 x 5.5 x 5.5 cm                                                                                                                           ",5026180033572,5026180033572, B009SJXB32 ,0.94,6.58,0.46,0.348,50.0, 1:1 Match                            ,0.46, Exact EAN match                                                                                                                                                                                                                                                                                  , -             ,48.93617021276596,Medium,Unknown,39.702659574468086
 VERIFIED ,95.0, ALBERTO BALSAM SHAMPOO TEA TREE 350ML PK6                        , Alberto Balsam Herbal Shampoo - Tea Tree Tingle (350ml) - Pack of 6                                                                                                                                      ,8710908183812, -             , B0126CHB24 ,7.24,16.59,2.76,0.418,50.0, 1:1 Match                            ,2.76, Browser confirmed match; Confirmed match (tanle 3.xlsx / Sheet4); pack ratio 6:6 (pack consistent)                                                                                                                                                                                               ,OTHER SUPPLIER,38.12154696132596,Medium,Unknown,38.79254143646409
,,SUPERIOR FOIL 5 CONTAINERS & LID 9X13IN,"Superior Foil Containers with Lids – 9x13 Inches Sturdy Deep Foil Trays with Lid,",5060357990114,5060357990114,B07GZGXQYG,3.8,14.35,2.5,0.67,,,,,,65.78947368421053,Low,Unknown,38.151315789473685
,,SUPERIOR FOIL 10 CONTAINERS & LID 10X12,uperior Large Foil Containers with Lids PaCK 10 X 12,5060357990121,5060357990121,B08L66NXB5,4.8,16.0,3.0,0.63,,,,,,62.5,Low,Unknown,37.625
 VERIFIED - AUDITED OUT ,95.0,SUPERIOR FOIL 10 TRAY 9X13 INCH,Superior Large Foil Aluminium Trays Pack of 10 – Heavy-Duty Deep Tin Foil Trays 32 x 26 cm I,5060357990114,5060357990114,B074ZH6DXK,4.5,14.0,1.7,0.46,50.0,,,,,37.77777777777778,Medium,Unknown,37.34722222222222
 VERIFIED ,95.0, CARAFE .5LT GLASS                                                ," Arcoroc ARC C0199 Carafon Vin Carafe, Glass, transparent, 580 ml                                                                                                                                         ",26102251102,26102251102, B0042FBWQ0 ,2.56,8.99,0.76,0.284,50.0, 1:1 Match                            ,0.76, Exact EAN match                                                                                                                                                                                                                                                                                  , -             ,29.6875,Medium,Unknown,33.340625
