SupplierTitle,AmazonTitle,EAN,EAN_OnPage,ASIN,SupplierPrice_incVAT,SellingPrice_incVAT,NetProfit,ROI,tier,confidence_score,flags,reasons,ean_exact_match,Category,v2_tier,v2_confidence,v2_flags
PAN AROMA DIFFUSER DOME 50ML FLUFFY TOWELS,Pan Aroma Reed Diffuser- Fluffy Towels 50ml,5053249217338.0,5053249217338.0,B07JLGBRHK,1.344,8.73,3.4450000000000003,206.28742514970057,TIER_1_VERIFIED,85,,"Exact EAN match (checksum verified),Strong title match (sim=0.76, shared=6),Brand match: pan",True,Other,TIER_1_VERIFIED,100,
PAN AROMA JAR CANDLE 85GM RED BERRY,"PAN AROMA® RED Decorative Holder & Scented Candle, RED Berry, 85g",5053249248295.0,5053249248295.0,B09KCMWXQX,1.08,8.45,2.2616666666666667,155.97701149425285,TIER_1_VERIFIED,85,,"Exact EAN match (checksum verified),Strong title match (sim=0.60, shared=5),Brand match: pan",True,Other,TIER_1_VERIFIED,100,
PAN AROMA DIFFUSER DOME 50ML VANILLA & COCO,Pan Aroma Dome Reed Diffuser Vanilla Coconut,5053249217390.0,5053249217390.0,B07BVDY3LT,1.344,6.78,1.7000000000000004,101.79640718562877,TIER_1_VERIFIED,85,,"Exact EAN match (checksum verified),Strong title match (sim=0.72, shared=5),Brand match: pan",True,Other,TIER_1_VERIFIED,100,
AMTECH HOOK JUMBO ALUMINIUM,Amtech S4315 Jumbo Aluminium Hook,5032759024735.0,5032759024735.0,B005E6YSB2,1.728,7.44,1.5100000000000005,75.87939698492464,TIER_1_VERIFIED,85,,"Exact EAN match (checksum verified),Strong title match (sim=0.77, shared=4),Brand match: amtech",True,Other,TIER_1_VERIFIED,100,
PURITY PLUS CHARCOAL DETOX MICELLAR WATER,Purity Plus Activated detoxifying Micellar Water 200ml,5020535011956.0,5020535011956.0,B084MK1XLX,1.272,6.76,0.7683333333333338,47.7225672877847,TIER_1_VERIFIED,85,,"Exact EAN match (checksum verified),Strong title match (sim=0.74, shared=4),Brand match: purity",True,Other,TIER_1_VERIFIED,100,
KINGFISHER FOIL FLAN 9 SMALL DISHES,"Kingfisher Foil Flan Dishes, Silver, Small, Pack of 9",5013478557858.0,5013478557858.0,B000XJDADC,0.852,6.49,0.5283333333333344,41.93121693121702,TIER_1_VERIFIED,85,,"Exact EAN match (checksum verified),Strong title match (sim=0.66, shared=5),Brand match: kingfisher",True,Other,TIER_1_VERIFIED,100,
AMTECH DRILL BIT SDS 5PC SET,Amtech F0920 5 Piece SDS drill bit set,5032759010363.0,5032759010363.0,B003XV6ZFC,3.732,9.59,1.221666666666667,33.37887067395265,TIER_1_VERIFIED,85,,"Exact EAN match (checksum verified),Strong title match (sim=0.61, shared=4),Brand match: amtech",True,Other,TIER_1_VERIFIED,98,
GLAMORIZE HAIR DYE BLACK,Glamorize Pro Dye Black Colour Hair Dye Ladies,5055257877030.0,5055257877030.0,B00AX1W3D8,1.14,6.3,0.5,33.33333333333333,TIER_1_VERIFIED,85,,"Exact EAN match (checksum verified),Strong title match (sim=0.60, shared=4),Brand match: glamorize",True,Other,TIER_1_VERIFIED,100,
AMTECH TROWEL CORNER SOFT GRIP,Amtech G1665 Corner trowel with soft grip,5032759032457.0,5032759032457.0,B005FLPXY2,4.584,11.86,1.303333333333333,29.824561403508763,TIER_1_VERIFIED,85,,"Exact EAN match (checksum verified),Strong title match (sim=0.68, shared=5),Brand match: amtech",True,Other,TIER_1_VERIFIED,99,
KINGFISHER FOIL PIE 6 OBLONG DISHES,"Kingfisher Foil Oblong Pie Dishes, Silver, Pack of 6",5013478557841.0,5013478557841.0,B000XJB6V0,0.852,5.92,0.3733333333333337,29.62962962962966,TIER_1_VERIFIED,85,,"Exact EAN match (checksum verified),Strong title match (sim=0.68, shared=5),Brand match: kingfisher",True,Other,TIER_1_VERIFIED,100,
CAROLINE 12 ROUND PLASTIC TUBS/LID 114ML 1431,"Caroline Round Plastic Tubs with Lids, Pack Of 12 - 1431",5012145003223.0,5012145003223.0,B00DN75MDW,0.852,5.6,0.2966666666666666,23.54497354497354,TIER_1_VERIFIED,85,,"Exact EAN match (checksum verified),Strong title match (sim=0.76, shared=5),Brand match: caroline",True,Other,TIER_1_VERIFIED,100,
AMTECH KEYRING RECOIL WITH CARABINER,Amtech S6365 Recoil keyring with carabiner,5032759044467.0,5032759044467.0,B01L2CHWNM,2.64,6.25,0.4783333333333341,17.393939393939426,TIER_1_VERIFIED,85,,"Exact EAN match (checksum verified),Strong title match (sim=0.74, shared=4),Brand match: amtech",True,Other,TIER_1_VERIFIED,99,
PAN AROMA COTTON FRESH TRIG/SPRAY 250ML,Pan Aroma Cotton Fresh Air Freshner -Trigger Spray-250Ml,5053249212654.0,5053249212654.0,B01NA0ASUT,1.344,6.29,0.2616666666666665,15.668662674650689,TIER_1_VERIFIED,85,,"Exact EAN match (checksum verified),Strong title match (sim=0.80, shared=6),Brand match: pan",True,Other,TIER_1_VERIFIED,100,
AMTECH STRONG ARM WRECKING BAR 3620,"Amtech G3620 45cm (18"") Strong arm Wrecking bar",5032759014828.0,5032759014828.0,B00LQP5Y86,3.984,11.62,0.5933333333333339,15.331610680447906,TIER_1_VERIFIED,85,,"Exact EAN match (checksum verified),Strong title match (sim=0.76, shared=5),Brand match: amtech",True,Other,TIER_1_VERIFIED,99,
BLACKSPUR GLUE STICK LARGE UP,Blackspur BB-GG201 Large Glue Stick Set,5017403741091.0,5017403741091.0,B005EXILYU,1.008,4.49,0.0716666666666671,5.155875299760223,TIER_1_VERIFIED,85,,"Exact EAN match (checksum verified),Strong title match (sim=0.66, shared=4),Brand match: blackspur",True,Other,TIER_1_VERIFIED,98,
