SupplierTitle,AmazonTitle,EAN,EAN_OnPage,ASIN,SupplierPrice_incVAT,SellingPrice_incVAT,NetProfit,ROI,tier,confidence_score,flags,reasons,ean_exact_match,Category,v2_tier,v2_confidence,v2_flags
Munch & Crunch Roast Pork Dog Bone,Munch & Crunch Roast Pork Bones x 6,5053249206653,5053249206653.0,B0C1P6YWT6,1.272,13.49,5.781666667,359.1097308,TIER_1_VERIFIED,95,,"Exact EAN match (checksum verified),Strong title match (sim=0.87, shared=4),Brand match: munch",True,Wholesale Pet Toys Treats,TIER_1_VERIFIED,100,
Pan Aroma Fluffy Towels Dome Reed Diffuser 50ml,Pan Aroma Reed Diffuser- Fluffy Towels 50ml,5053249217338,5053249217338.0,B07JLGBRHK,1.104,8.73,3.645,247.9591837,TIER_1_VERIFIED,95,,"Exact EAN match (checksum verified),Strong title match (sim=0.63, shared=7),Brand match: pan",True,Wholesale Home Fragrance Candles Accessories,TIER_1_VERIFIED,100,
Marksman Shed & Fence Paint Brush 10 X 4cm,"Marksman Shed & Fence Paint Brush, Synthetic Hair, Brown Handle, L",5038673640327,5038673640327.0,B0897TP2HL,1.02,9.95,2.951666667,210.8333333,TIER_1_VERIFIED,95,,"Exact EAN match (checksum verified),Strong title match (sim=0.68, shared=5),Brand match: marksman",True,Wholesale Painting Decorating,TIER_1_VERIFIED,100,
DID Gripped Stubby Phillips & Slotted Screwdriver Set 2pc,DID Gripped Stubby Phillips & Slotted Screwdriver Set 2PC,5056338357892,5056338357892.0,B0979NB218,0.72,7.98,2.04,177.3913043,TIER_1_VERIFIED,95,,"Exact EAN match (checksum verified),Strong title match (sim=1.00, shared=7),Brand match: did",True,Wholesale Hand Tools,TIER_1_VERIFIED,100,
Roadster Bicycle Cable Lock With 2 Keys 10mm X 650mm,Roadster 2 Key Bicycle Cable Lock Security Bike Cycle Gate 10mm x 650mm,5038673815213,5038673815213.0,B088N7M48Z,0.924,6.92,1.706666667,129.2929293,TIER_1_VERIFIED,95,,"Exact EAN match (checksum verified),Strong title match (sim=0.76, shared=6),Brand match: roadster",True,Wholesale Cycling,TIER_1_VERIFIED,100,
Pan Aroma Vanilla & Coconut Dome Reed Diffuser 50ml CDU,Pan Aroma Dome Reed Diffuser Vanilla Coconut,5053249217390,5053249217390.0,B07BVDY3LT,1.104,6.78,1.9,129.2517007,TIER_1_VERIFIED,95,,"Exact EAN match (checksum verified),Strong title match (sim=0.67, shared=7),Brand match: pan",True,Wholesale Home Fragrance Candles Accessories,TIER_1_VERIFIED,100,
DID Paint Brush Set 3pc,"DID PAINT BRUSH SET 3PC, White",5056338358059,5056338358059.0,B09CL2C1YM,0.744,5.98,1.363333333,116.5242165,TIER_1_VERIFIED,95,,"Exact EAN match (checksum verified),Strong title match (sim=0.88, shared=4),Brand match: did",True,Wholesale Painting Decorating,TIER_1_VERIFIED,100,
Elbow Grease Antibacterial Surface Scrub Wipes 24 Pack,Elbow Grease Surface Kitchen Bathroom Scrub Wipes 72 (3 PACK),5053249240688,5053249240688.0,B0894ZSQ85,1.308,9.19,1.838333333,112.0934959,TIER_1_VERIFIED,95,,"Exact EAN match (checksum verified),Strong title match (sim=0.69, shared=5),Brand match: elbow",True,Multi Purpose Cleaners,TIER_1_VERIFIED,99,
Just Stationery Double-Sided Tape & Sticky Pads 2 Pack,Just stationery Double Sided Tape and Squares Set,5013922061559,5013922061559.0,B00DOUN8IE,0.78,5.99,1.281666667,106.8055556,TIER_1_VERIFIED,95,,"Exact EAN match (checksum verified),Strong title match (sim=0.75, shared=5),Brand match: just",True,Stationery Pound Lines,TIER_1_VERIFIED,100,
Smart Choice Chicken & Beef Scented Pet Bubble Wand 118ml 2 Pack,Smart Choice Scented Pet Bubbles Chicken and Beef,5052516313780,5052516313780.0,B0D8R7NKF9,1.272,8.99,1.521666667,94.51345756,TIER_1_VERIFIED,95,,"Exact EAN match (checksum verified),Strong title match (sim=0.64, shared=6),Brand match: smart",True,Wholesale Pet Toys Treats,TIER_1_VERIFIED,100,
