Supplier_Title,Amazon_Title,ASIN,EAN,Match_Type,Tier,Confidence_Score,EAN_Exact_Match,Sales,Net_Profit,ROI,Supplier_Price,Amazon_Price,Bucket,Inclusion_Reason,Confidence,Validation_Required,Priority,Similarity,Unit_Qty_Flag,Unit_Qty_Note,Category,Supplier_URL,Amazon_URL,FBA_Sellers,Dashboard_Flags,Evidence_Status,External_Check_Status,Availability,Scraped_At,Category_URL,Priority_Score
151 Heavy Duty Multipurpose Adhesive Spray 500ml,3 Spray Glue Adhesive Contact Glue Heavy Duty Mount DIY Craft Upholstery 500ml,B098P62161,5053249215044,EAN,T1,60,True,200,1.8483333333333332,70.01262626262627,2.508,10.99,A,Proven Demand: positive profit + confirmed sales,HIGH,No,HIGH,0.3571,MATCH,,Wholesale Glue Adhesives Tape,https://www.poundwholesale.co.uk/151-heavy-duty-multipurpose-adhesive-spray-500ml,https://www.amazon.co.uk/dp/B098P62161,Available (see Keepa data),BRAND_MISMATCH,STALE_SOURCE,NOT_CHECKED,In stock,2025-08-22T17:17:12.625769,https://www.poundwholesale.co.uk/diy/wholesale-glue-adhesives-tape,369.66666666666663
Smart Choice Chicken & Beef Scented Pet Bubble Wand 118ml 2 Pack,Smart Choice Scented Pet Bubbles Chicken and Beef,B0D8R7NKF9,5052516313780,EAN,T1,95,True,50,1.5216666666666676,94.51345755693588,1.272,8.99,A,Proven Demand: positive profit + confirmed sales,HIGH,No,HIGH,0.5,MATCH,,Wholesale Pet Toys Treats,https://www.poundwholesale.co.uk/smart-choice-chicken-beef-scented-pet-bubble-wand-118ml-2-pack,https://www.amazon.co.uk/dp/B0D8R7NKF9,Available (see Keepa data),,STALE_SOURCE,NOT_CHECKED,Out of stock,2025-08-12T21:58:04.666603,https://www.poundwholesale.co.uk/pet-supplies/wholesale-pet-toys-treats,76.08333333333339
DID Hot Water Bottle & Cover Assorted 2l,"Hot Water Bottle 2 Litre – Assorted Colours, Teddy Plush Soft Fleece Cover, Long-Lasting Warmth, BS 1970:2012, by DID",B0GGLXBQJV,5056338341778,EAN,T1,60,True,50,1.2116666666666676,38.58811040339706,3.108,8.99,A,Proven Demand: positive profit + confirmed sales,HIGH,No,HIGH,0.3,MATCH,,Other,https://www.poundwholesale.co.uk/did-soft-teddy-plush-cover-hot-water-bottle-2l-assorted,https://www.amazon.co.uk/dp/B0GGLXBQJV,,BRAND_MISMATCH,STALE_SOURCE,NOT_CHECKED,,,,60.58333333333338
Dr Johnson's Sterilising Fluid 1L,Dr Jonsons Baby Sterilising Fluid Highly Concentrated - 1 Litre,B00KQHJKTY,5025416330034,EAN,T1,60,True,50,1.196666666666667,84.2723004694836,1.044,7.52,A,Proven Demand: positive profit + confirmed sales,HIGH,No,HIGH,0.25,MATCH,,Multi Purpose Cleaners,https://www.poundwholesale.co.uk/dr-johnson-s-sterilising-fluid-1l,https://www.amazon.co.uk/dp/B00KQHJKTY,,,STALE_SOURCE,NOT_CHECKED,Out of stock,2025-07-23T06:53:15.391967,https://www.poundwholesale.co.uk/wholesale-cleaning/cleaning-wipes-sprays/multi-purpose-cleaners,59.83333333333335
Kids Spring-Form Non-Stick Cake Tin,"Royle Kids 2 Mini Springform Cake Tin Kids Round 5Inch Non Stick Springform Baking Tin 12cm,Black",B01APK7CDC,5015302472535,EAN,T1,60,True,50,0.7683333333333342,38.22553897180768,1.752,7.99,A,Proven Demand: positive profit + confirmed sales,HIGH,No,MEDIUM,0.3125,MATCH,,Wholesale Cooking,https://www.poundwholesale.co.uk/kids-spring-form-cake-tin,https://www.amazon.co.uk/dp/B01APK7CDC,,BRAND_MISMATCH,STALE_SOURCE,NOT_CHECKED,In stock,2025-08-12T16:37:11.952356,https://www.poundwholesale.co.uk/kitchenware/wholesale-cooking,38.41666666666671
Escenti Tea Tree Cream 28g,Escenti Tea Tree Cream 28g,B0995W6PHP,5020535013998,EAN,T1,95,True,100,0.2933333333333334,22.391857506361333,0.912,4.12,A,Proven Demand: positive profit + confirmed sales,HIGH,No,MEDIUM,1.0,MATCH,,Wholesale Skin Care,https://www.poundwholesale.co.uk/escenti-tea-tree-cream-28g,https://www.amazon.co.uk/dp/B0995W6PHP,Available (see Keepa data),,STALE_SOURCE,NOT_CHECKED,In stock,2025-07-21T16:26:55.279704,https://www.poundwholesale.co.uk/health-beauty/wholesale-skin-care,29.33333333333334
Cooper & Pals Squawking Chicken Dog Toy,Cooper & Pals Squawking Chicken Toy For Dogs,B08ZL14VNR,5055566927495,EAN,T1,95,True,50,0.5116666666666669,41.26344086021508,0.828,6.11,A,Proven Demand: positive profit + confirmed sales,HIGH,No,MEDIUM,0.7143,MATCH,,Wholesale Pet Toys Treats,https://www.poundwholesale.co.uk/cooper-pals-squawking-chicken-dog-toy,https://www.amazon.co.uk/dp/B08ZL14VNR,,,STALE_SOURCE,NOT_CHECKED,In stock,2025-08-12T21:18:19.115614,https://www.poundwholesale.co.uk/pet-supplies/wholesale-pet-toys-treats,25.583333333333346
Elmer's Colour Changing Liquid Glue 147ml,Elmer's Colour Changing PVA Glue | Blue to Purple | 147 ml | Washable & Kid Friendly| Great for Making Slime | 1 Count,B084LC9S5L,3026981095078,EAN,T1,80,True,100,0.2300000000000007,20.000000000000068,0.72,5.4,A,Proven Demand: positive profit + confirmed sales,HIGH,No,MEDIUM,0.25,MATCH,,Stationery Pound Lines,https://www.poundwholesale.co.uk/elmer-s-colour-changing-liquid-glue-147ml,https://www.amazon.co.uk/dp/B084LC9S5L,Available (see Keepa data),,STALE_SOURCE,NOT_CHECKED,Out of stock,2025-08-07T00:11:15.986264,https://www.poundwholesale.co.uk/pound-lines/stationery-pound-lines,23.00000000000007
Ant Glue Traps 3 Pack,3pk Ant Traps | Home Bait Station | Stops and Glues Ants as an Insect Trapper,B08ZGJT9J4,5038673210100,EAN,T1,40,True,50,0.3550000000000003,30.869565217391333,0.72,3.99,A,Proven Demand: positive profit + confirmed sales,HIGH,No,MEDIUM,0.1333,MATCH,,Pest Killers Deterrents,https://www.poundwholesale.co.uk/ant-glue-traps-3-pack,https://www.amazon.co.uk/dp/B08ZGJT9J4,,BRAND_MISMATCH,STALE_SOURCE,NOT_CHECKED,In stock,2025-07-23T13:36:33.640125,https://www.poundwholesale.co.uk/wholesale-garden/pest-killers-deterrents,17.750000000000014
Pan Aroma Apple & Cinnamon Reed Diffuser 30ml,Pan Aroma Apple and Cinnamon Reed Diffuser 30Ml,B08F51R7YZ,5053249227443,EAN,T1,95,True,200,0.056666666666667,4.325699745547105,0.912,5.54,A,Proven Demand: positive profit + confirmed sales,HIGH,No,MEDIUM,1.0,MATCH,,Wholesale Home Fragrance Candles Accessories,https://www.poundwholesale.co.uk/pan-aroma-apple-cinnamon-reed-diffuser-30ml,https://www.amazon.co.uk/dp/B08F51R7YZ,,,STALE_SOURCE,NOT_CHECKED,In stock,2025-07-21T20:36:37.131620,https://www.poundwholesale.co.uk/homeware/wholesale-home-fragrance-candles-accessories,11.3333333333334
