row_id,bucket,confidence,track,include_in_tables,supplier_title,amazon_title,supplier_ean,amazon_ean,asin,supplier_price,selling_price,net_profit,roi,sales,supplier_pack_qty,amazon_pack_qty,pack_ratio,pack_verdict,adjusted_profit,key_match_evidence,filter_reason,traps
1,FILTERED_OUT,5,UNKNOWN,False,151 WHITE NO-DRIP GLOSS PAINT 300ML,"LG OLED48C45LA 48-Inch OLED Evo 4K UHD Smart TV, (Î±9 AI Processor Gen7, Dolby Atmos, Freeview Play and Amazon Alexa, 120Hz), Umber Brown [Model 2024]",5053249248073,-,B0D4N6R7YG,2.484,848.0,595.636666666666,,500.0,,,,UNKNOWN,595.636666666666,-,Different brands detected; products not compatible,
2,FILTERED_OUT,5,UNKNOWN,False,EUROWRAP GIANT BIRTHDAY BADGE GIRL 3,"Motorola edge 60 fusion, Pantone Slipstream, Moto AI Smartphone, 50MP Sony LYTIA Camera, with Co2 offset",5033601010654,-,B0F43JDYKX,0.744,299.99,208.912916666666,,100.0,,,,UNKNOWN,208.912916666666,-,Different brands detected; products not compatible,
3,FILTERED_OUT,0,UNKNOWN,False,RSW BRIGHTS WASHING UP BOWL,"Hyundai Petrol Backpack Leaf Blower, 170mph, 52cc 2 Stroke Engine With Support Harnesses, Anti-vibration, 55 Mins Per Litre Of Fuel",5015302457396,5056275754877,B081JT9XRT,1.14,158.8,98.0233333333333,,100.0,,,,UNKNOWN,98.0233333333333,-,Different brands detected; products not compatible,
4,FILTERED_OUT,5,UNKNOWN,False,I LOVE YOU BALLOON 40CM,"Mould King V8 Engine Building Blocks Set, 2250 PCS Combustion Engine Model Kit That Runs, Mini Engine for Adults with Battery, Engineering Construction STEM Toy for Boys Girls",5050565845627,-,B0DN6BWS36,0.804,99.99,67.19625,,50.0,1.0,,,UNKNOWN,67.19625,-,Different brands detected; products not compatible,
5,FILTERED_OUT,5,UNKNOWN,False,WORLD OF PETS TOY BALL LAUNCHER 62CM ASSORTED,PetSafe Automatic Ball Launcher Dog Toy â€“ Tennis Ball Throwing Machine for Dogs â€“ Indoor or Outside Play â€“ Easy-Open Packaging,5015302203115,-,B017N6IF5U,1.344,130.0,88.0033333333333,,50.0,,,,UNKNOWN,88.0033333333333,"Shared anchors: BALL, LAUNCHER, TOY",Different brands detected; products not compatible,
6,FILTERED_OUT,0,UNKNOWN,False,DLUX PEGS WITH SOFT RUBBER GRIP PLASTIC LARGE 12 PIECES,"Mould King V8 Engine Building Blocks Set, 2250 PCS Combustion Engine Model Kit That Runs, Mini Engine for Adults with Battery, Engineering Construction STEM Toy for Boys Girls",5060082728921,705736912404,B0DN6BWS36,0.768,99.99,62.165,,50.0,,,,UNKNOWN,62.165,-,Different brands detected; products not compatible,
7,FILTERED_OUT,5,UNKNOWN,False,ARTIST PAINT BRUSHES 10PC,"LEGO Ç€ Marvel Spider-Man vs. Oscorp - Interactive Toy with a Motorbike, 8 Minifigures incl. Miles Morales & Green Goblin - Collectible Super Hero Gift for 10+ Year Old Boys & Fans - 76324",5056170346795,-,B0DWDWJTY6,1.008,97.99,65.6095833333333,,400.0,1.0,,,UNKNOWN,65.6095833333333,-,Different brands detected; products not compatible,
8,FILTERED_OUT,0,UNKNOWN,False,MINKY CURVE SCOURER 2PC,"Powerful 2200W Premium Garment Steamer with 3L Water Tank, Dual Steam Settings for Rapid Wrinkle Release, Suitable for All Fabrics Including Delicates, Updated Design, Fridja f1200 Clothes Steamer Pro",5010353328800,5065018907005,B0D3M53JGG,1.524,132.99,82.135,,100.0,1.0,,,UNKNOWN,82.135,-,Different brands detected; products not compatible,
9,FILTERED_OUT,0,UNKNOWN,False,STARWASH CLOTHES LINE 30M,"Mould King V8 Engine Building Blocks Set, 2250 PCS Combustion Engine Model Kit That Runs, Mini Engine for Adults with Battery, Engineering Construction STEM Toy for Boys Girls",5060082727214,705736912404,B0DN6BWS36,1.008,99.99,61.965,,50.0,,,,UNKNOWN,61.965,-,Different brands detected; products not compatible,
10,FILTERED_OUT,0,UNKNOWN,False,STATUS LED G9 2W LED CAPSULE BULB EACH,"17.5"" Portable DVD Player with 15.6"" Large HD Swivel Screen, 6 Hours Rechargeable Battery, Support USB/SD Card/Sync TV and Multiple Disc Formats, No Region Restrict, High Volume Speaker, Black",5022822226623,889328733407,B086ZJ8N2T,1.14,94.02,64.85,,500.0,,,,UNKNOWN,64.85,-,Different brands detected; products not compatible,
