row_id,bucket,confidence,track,include_in_tables,supplier_title,amazon_title,supplier_ean,amazon_ean,asin,supplier_price,selling_price,net_profit,roi,sales,supplier_pack_qty,amazon_pack_qty,pack_ratio,pack_verdict,adjusted_profit,key_match_evidence,filter_reason,traps
1,FILTERED_OUT,0,UNKNOWN,False,ESSENTIAL PLASTIC 6 ICE CREAM BOWL,"Motorola razr 60 ultra, Pantone Scarab, Moto AI Flip Smartphone, Dual Display, 50MP Triple Camera with Co2 Offset",5033298003199,5056489799244,B0F68KJD43,1.572,713.52,512.94,27577.4193548387,,,,,UNKNOWN,512.94,-,Different brands detected; products not compatible,
2,FILTERED_OUT,0,UNKNOWN,False,ESSENTIAL PLASTIC SALAD BOWL CLEAR REUSABLE 176 OZ,"Motorola razr 60 ultra, Pantone Scarab, Moto AI Flip Smartphone, Dual Display, 50MP Triple Camera with Co2 Offset",5033298010852,5056489799244,B0F68KJD43,1.644,713.52,512.88,26712.5,,,,,UNKNOWN,512.88,-,Different brands detected; products not compatible,
3,FILTERED_OUT,0,UNKNOWN,False,NORTHPOLE SILVER METALLIC BOWS 16PK,Osee GoStream Duet Live Streaming Switcher Multiple Camera SDI and HDMI Live Stream Video Mixer Switcher with SD Record and NDI HX Supported,5033601024484,-,B0CZ97V8D9,0.804,315.7,219.990833333333,18032.0355191256,,,,,UNKNOWN,219.990833333333,-,Different brands detected; products not compatible,
4,FILTERED_OUT,0,UNKNOWN,False,DEKTON GLOVES LATEX COATED ORAGE LARGE(SOLD EACH),WOLVERINE 10-Sheet Super Micro Cut High Security Level P-5 Heavy Duty Paper/CD/Card Ultra Quiet Shredder for Home Office by 60 Mins Running Time and 22-Litre Pullout Waste Bin SD9112(Black),5055441415574,-,B07SXDPVZZ,0.912,199.92,119.799999999999,9145.03816793893,,,,,UNKNOWN,119.799999999999,-,Different brands detected; products not compatible,
5,NEEDS VERIFICATION,95,NEEDS VERIFICATION,False,DEKTON GLOVES WORKING PU X LARGE(SOLD EACH),WOLVERINE 10-Sheet Super Micro Cut High Security Level P-5 Heavy Duty Paper/CD/Card Ultra Quiet Shredder for Home Office by 60 Mins Running Time and 22-Litre Pullout Waste Bin SD9112(White),5055441407630,-,B07SWB992S,0.804,189.92,111.376666666666,9129.23497267759,,,,,UNKNOWN,111.376666666666,-,Exact EAN but AmazonTitle explicitly says 'Pack of 12' while supplier title lacks pack info; profit not adjusted — must verify whether EAN corresponds to single unit or 12-pack and recalc profit.,
6,NEEDS VERIFICATION,100,NEEDS VERIFICATION,False,PEARLESCENT BAUBLE MASON JAR,VLAND Tail Lights for Mini Cooper R56 R57 R58 R59 2007-2013 Rear Lights Lamp Assembly With Sequential Indicator and Welcome Lights (Red),5050565802392,-,B0BWJQSD1F,1.272,208.99,145.868333333333,9060.14492753623,,1.0,,,UNKNOWN,145.868333333333,-,AmazonTitle extraction returned 'nan' — cannot confirm match; manual check required.,
7,FILTERED_OUT,0,UNKNOWN,False,PLAIN CERAMIC MUG WHITE WITH BLACK RIM 275ML,Mammut Women Nova Iv Mid GTX Hiking Shoe,5059331102445,7619876085467,B096SQ3CX6,0.66,145.79,94.9716666666666,8633.78787878787,,,,,UNKNOWN,94.9716666666666,-,Different brands detected; products not compatible,
8,FILTERED_OUT,0,UNKNOWN,False,DEKTON POWER BIT SET 5PC,WOLVERINE 10-Sheet Super Micro Cut High Security Level P-5 Heavy Duty Paper/CD/Card Ultra Quiet Shredder for Home Office by 60 Mins Running Time and 22-Litre Pullout Waste Bin SD9112(Black),5055441407326,-,B07SXDPVZZ,1.08,199.92,119.659999999999,8252.41379310344,,,,,UNKNOWN,119.659999999999,-,Different brands detected; products not compatible,
9,NEEDS VERIFICATION,100,NEEDS VERIFICATION,False,BRIGHT & HOMELY STAINLESS STEEL SCOURER 6 PIECES,OLEVS Men Automatic Watch Skeleton 5 Hands Mechanical Classic Luxury Multi Calendar Stainless Steel Waterproof Wrist Watch for Men,5050796011761,-,B0B5D4LCY8,0.66,138.0,90.11,8191.81818181818,,1.0,,,UNKNOWN,90.11,"Shared anchors: STAINLESS, STEEL",Variant mismatch (AA 1300mAh vs AAA 900mAh) despite reported EAN equality — requires verification of correct variant and pack before keeping as VERIFIED.,
10,NEEDS VERIFICATION,90,NEEDS VERIFICATION,False,FESTIVE MAGIC BIG BELLY MOUSE GREY 30CM,"VANTRUE E360 ACE 5.2K Dash Cam Panoramic, 3 Channel Dashcam Wide Angle 210Â°, Dash Camera 1944P+1944P+1080P Front Rear inside, STARVIS 2, Night Vision, 5G WiFi GPS, HDR, 24H Parking Mode, Support 512GB",4894158135266,-,B0DK3N1Q4V,2.016,245.64,181.599999999999,8143.49775784753,,,,,UNKNOWN,181.599999999999,-,Pack-size mismatch (supplier 50 vs Amazon 100) with identical EAN — verify real pack configuration and adjust pricing.,
