path,issue_type,severity,reason,evidence
utils\enhanced_state_manager.py,BinaryGeneric,critical,2311 null bytes detected,"First 100 bytes: b""x\x01\xbdX\xcdr\xdb\xc8\x11\xcey\x9f\xa2\x8bU\xebx\xcb\x12\t\xf0\x9fN\xe5@J\xa2\xa5\xb5~h\x91\x92\x93\xddJ\xa1\x86\xc0\x90\xc4\n\xc0\xc0\x18@47\xd9*?A\xeey\x8e\xbd\xe5\xb8\x8f\xe2'\xc9\xd7\x03\x80\x80\xb8r\xca\x95C\xaa\\2\xc9\xe9\xe9\xee\xe9\xe9\xfe\xfa\xebY\x06jI\xbd\xae\xdd\xfd\xc3\xdf\xbf!j\x08\xedG\xce"""
utils\path_manager.py,CRonly_LineEndings,medium,Classic Mac CR-only line endings,"Contains 444 CR chars, 0 LF chars"
utils\file_manager.py,BinaryGeneric,critical,4205 null bytes detected,First 100 bytes: b'al_implementation_20250722/tools/archive/legacy_scripts/passive_extraction_workflow_latestOLD.py\x00\xe6\x1f\x89'
utils\hash_lookup_optimizer.py,BinaryGeneric,critical,4753 null bytes detected,First 100 bytes: b'\x13\xa8\x03\xbf\x01\x02t\x00\t\x00\x03t\t\xbf\x01\x00\x04t\xc8\x01 \x00c:\\Users\\chris\\Desktop\\Amazon-FBA-Agent-System-v32 - latest good - Copy (8) - '
tools\supplier_authentication_service.py,MissingFile,critical,File not found,N/A
tools\cache_manager.py,CRonly_LineEndings,medium,Classic Mac CR-only line endings,"Contains 1006 CR chars, 0 LF chars"
tools\chunking_execution_tracer.py,BinaryGeneric,critical,1048 null bytes detected,"First 100 bytes: b'{\r\n  ""asin_from_details"": ""B01E189P1Q"",\r\n  ""title"": ""MR.SIGA Dustpan and brush set - Pack of 2, Blue'"
tools\comprehensive_file_organizer.py,BinaryGeneric,critical,6920 null bytes detected,First 100 bytes: b'\xd9\xd5\x05\xf9 \xa1c\xd7\x00\x00\x00\n\x10]\x85\x0e\x00\x00\x0eX\x00\x00\x02\x00\x00\x00\x10\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'
tools\vision_discovery_engine.py,BinaryGeneric,critical,705 null bytes detected,"First 100 bytes: b'\x93\x84\xa9\\\rC\x91\xa8\'\xb0\xe8|\xa1@\xb8hJ\xe9\xa3@Csn\xa0\xbb\xec>\xc7\xea\x89\xac$""W/\\S\xb1q\xce\x14\xc4\x03\x17\xf5VM\xa5\r\xba\xb8f\xe8@\x01D\xedg\x83\xeb 7\x1b\xca&*\xe2\x83^\xce\x14\xc8$\xcf\x90K)\xb9\x87\xf4\xbd\t\xc7\x0b7\n=\x99\xc2w\x01WB\x9d\x15.\x02\xe0\xc3\xc0'"
tools\FBA_Financial_calculator-old.py,CRonly_LineEndings,medium,Classic Mac CR-only line endings,"Contains 841 CR chars, 0 LF chars"
tools\file_reorganization_manager.py,BinaryGeneric,critical,4549 null bytes detected,First 100 bytes: b'essing_fixes_20250726_191317/utils/supplier_circuit_breaker.py+:\x02_older version/FBA_Financial_calcul'
tools\login_debug_tester.py,BinaryGeneric,critical,799 null bytes detected,First 100 bytes: b'ation_20250722.tools.archive.browser_manager_langraph_version.BrowserPoolMetrics\x00\xe6/\xb8q\x04\x81_\x04backup.surg'
tools\main_orchestrator.py,BinaryGeneric,critical,18854 null bytes detected,"First 100 bytes: b'\xa1T\x0e\xcb\x1b\xa9\xdc!\x92&\xb0\tN \x00\x01\x8e.""\x01\x08b\x00o\r\xa8A\x02\xa1^9^\x11\xaa\x0ea\x0fIHA\xb4A\x18a\x02\x001R\\\x03\x00t\x05\xfa\x04-\x00\x0e\xa2\x1a\x19J\x11\xcc!\x90\x16\xae\n\x81\xf6\x19 AN\x0et\tA:\x01\x0c\x01\xba\x19\xa6\x16\x1a\x08A\x18\x01|\xe1\x84\x0e\xc3\x0e\x19>'"
tools\new 199.py,BinaryGeneric,critical,18557 null bytes detected,"First 100 bytes: b'""""""\r\npassive_extraction_workflow_latest.py - Architectural Summary & Script Index\r\n================='"
tools\output_verification_node.py,BinaryGeneric,critical,3579 null bytes detected,First 100 bytes: b'\xd9\xd5\x05\xf9 \xa1c\xd7\x00\x00\x00?v\xc8\xc6c\x00\x00\x0e\xdb\x00\x00\x02\x00\x00\x00\x10\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'
tools\passive_extraction_workflow_latest-good.py,BinaryGeneric,critical,26401 null bytes detected,"First 100 bytes: b'\xc0\x86\xde\x03\xc0\x00\x0b\xa7\x86\xde\x03gaq\x01\xc8)\x02\x00\x00\x00\x00[[""event"",""Inference Message"",{""\x05\x1dD_action"":""update m\t!\xf0@s"",""ext_uid"":""egfdbng'"
tools\passive_extraction_workflow_latest.-unsure.py,BinaryGeneric,critical,1888 null bytes detected,First 100 bytes: b'\x00\x00\x00 ftypavif\x00\x00\x00\x00avifmif1miafMA1B\x00\x00\x01\x8dmeta\x00\x00\x00\x00\x00\x00\x00(hdlr\x00\x00\x00\x00\x00\x00\x00\x00pict\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00libavif\x00\x00\x00\x00\x0epitm\x00\x00\x00\x00\x00\x01\x00\x00'
tools\passive_extraction_workflow_latest_pre_duplicate_removal.py,BinaryGeneric,critical,2008 null bytes detected,First 100 bytes: b'\x00\x00\x00 ftypavif\x00\x00\x00\x00avifmif1miafMA1B\x00\x00\x01\x8dmeta\x00\x00\x00\x00\x00\x00\x00(hdlr\x00\x00\x00\x00\x00\x00\x00\x00pict\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00libavif\x00\x00\x00\x00\x0epitm\x00\x00\x00\x00\x00\x01\x00\x00'
tools\product_data_extractor.py,BinaryGeneric,critical,4246 null bytes detected,"First 100 bytes: b'\x05\x00\xb5\x16\x05\x00\xdd\x16\x05\x00\x19\x17\x05\x00?\x17\x05\x00\x89\x17\x05\x00\xb3\x17\x05\x00_\x18\x05\x00\x06\x19\x05\x00W\x1a\x05\x00\x97\x1a\x05\x00\xbe\x1a\x05\x00D\x1b\x05\x00\xab\x1b\x05\x00 \x1d\x05\x00x\x1d\x05\x00B\x1f\x05\x00\x8a\x1f\x05\x00\xe7\x1f\x05\x00T \x05\x00\xcc \x05\x00\xaf""\x05\x00\xe9""\x05\x00V#\x05\x00\xb0#\x05\x00\xdc#'"
tools\rigorous_toggle_testing.py,BinaryGeneric,critical,3568 null bytes detected,"First 100 bytes: b'      end_line INTEGER,\n                      start_offset INTEGER,\n                      end_offset'"
tools\supplier_guard.py,BinaryGeneric,critical,3568 null bytes detected,"First 100 bytes: b'      end_line INTEGER,\n                      start_offset INTEGER,\n                      end_offset'"
