ASIN,EAN,SupplierTitle,AmazonTitle,NetProfit,Sales,PackVerdict,MatchType
B005XKFN0O,5050028016069.0,EVERREADY T8 4FT 36W TUBE LIGHT,Eveready T8 Tube 4ft 36w White 3500k,8.00124999999999,50,"CONFIRMED (Exact EAN, Pack OK)",Exact EAN
B003XKPUSQ,5032759031078.0,AMTECH LED MINI TORCH,Amtech S1532 9 LED mini Torch,2.34833333333333,200,"CONFIRMED (Exact EAN, Pack OK)",Exact EAN
B01IFIJ91Y,5010853235530.0,MASON CASH MIXING BOWL CREAM 29CM,"Mason Cash Colour Mix Cream Mixing Bowl | 4 Litre Capacity | 29cm Earthenware Bowl with Classic Pattern Design | Lightweight & Dishwasher Safe | Ideal for Baking, Pastry, Dough, Cakes & Cookies",5.11499999999999,200,"CONFIRMED (Exact EAN, Pack OK)",Exact EAN
B0042FBWQ0,26102251102.0,CARAFE .5LT GLASS,"Arcoroc ARC C0199 Carafon Vin Carafe, Glass, transparent, 580 ml",0.761666666666667,50,"CONFIRMED (Exact EAN, Pack OK)",Exact EAN
B0111N9Z1O,5039295201040.0,HOUSE MATE STAINLESS STEEL CLEANER & POLISH,House Mate Stainless Steel Cleaner and Polisher 400ml (Pack of 1),0.791666666666665,50,"CONFIRMED (Exact EAN, Pack OK)",Exact EAN
B0DPQVJ4NW,5010792749549.0,HIGHLAND COW PLAQUE FRIENDS,Lesser & Pavey Love & Affection Highland Cow Wooden Plaque - Friends For Home Decor & Gift | Wooden and Acrylic Plaques For Home and Office | Ideal Signs & Plaque Birthday Gifts For Women & Men,1.24166666666666,400,"CONFIRMED (Exact EAN, Pack OK)",Exact EAN
B0FQK17X7F,5010792542737.0,GEL  LED CANDLE FESTIVE ROBIN,Macneil Christmas Robin LED Gel Candle,1.29583333333333,50,"CONFIRMED (Exact EAN, Pack OK)",Exact EAN
B0FMS875KH,5010792542676.0,CHRISTMAS LAPTRAY  ROBINS,Cushioned Lap Tray - Christmas Robins Design,1.40458333333333,50,"CONFIRMED (Exact EAN, Pack OK)",Exact EAN
B008F7YP9C,5019200117338.0,PRODEC CAULKER 12 INCH,"ProDec 12"" Flexible Caulker Blade for Fast, Efficient Application of Fillers and Caulk and Smoothing of Wallpaper",0.684999999999999,50,"CONFIRMED (Exact EAN, Pack OK)",Exact EAN
B00KB225MS,5013159300353.0,ELLIOTT WINDOW SQUEEGE 20CM,"Elliott Multi-Purpose Window Squeegee perfect for streak free cleaning on Windows, shower screens, cars and mirrors, Aluminium frame housing a 20cm rubber squeegee with an ergonomic Grey Handle.",0.293333333333333,200,"CONFIRMED (Exact EAN, Pack OK)",Exact EAN
B099X92QGG,5013159004428.0,ELLIOTTS GLASS SPRAY BOTTLE BROWN480ML,"Elliott 480ml Brown Glass Spray Bottle, Manufactured from Recycled Glass and featuring a locking trigger action spray Mechanism, Ideal for use for Cleaning, Watering Plants and many other uses",0.218333333333333,100,"CONFIRMED (Exact EAN, Pack OK)",Exact EAN
B008F6946C,5060187175750.0,BLUE CANYON VECTOR SHOWER SPRAY,Blue Canyon Vector Double Tap Shower Spray| Bathroom Accessory| Premium Shower Attachment for Bath taps| Push-on-Fitting| Suitable for Round & Oval Taps| Shower Head for Bathroom| ~1.5 Meters| (White),0.198333333333333,500,"CONFIRMED (Exact EAN, Pack OK)",Exact EAN
B096KRFC4W,5055361761119.0,MEMORIAL WATERPROOF GRAVESIDE LANTERN WITH ROBIN SOMEONE SPECIAL,Waterproof Robin Memorial Graveside Lantern with LED Candle (Someone Special),0.0783333333333329,50,"CONFIRMED (Exact EAN, Pack OK)",Exact EAN
B07JD22MJ2,8711252100531.0,GLASS WHISKEY DECANTER,alpina Whiskey Decanter and Caraf,0.0183333333333328,200,"CONFIRMED (Exact EAN, Pack OK)",Exact EAN
B07F2MFZT5,5025364000652.0,TIDYZ PEDAL BIN LINERS 40 WHITE TIE HANDLE 15L,Tidyz 6 Packs Of 40 White Plastic Bin Bags - Fits 15L Pedal Bin - Extra Strong Tie Handle - 240 Bags Total,2.72666666666666,500,Confirmed (Title),Title Analysis
B07STZLCM6,5411183131217.0,SOUDAL EXPANDING FOAM HAND HELD 150ML,Soudal 750ml Champagne Gap Filler Expanding Foam Handheld Spray with Nozzle & Gloves (3),5.47458333333333,400,Confirmed (Title),Title Analysis
B07STZLCM6,5411183078956.0,SOUDAL EXPANDING FOAM HANDHELD 750ML,Soudal 750ml Champagne Gap Filler Expanding Foam Handheld Spray with Nozzle & Gloves (3),4.25458333333333,400,Confirmed (Title),Title Analysis
B00JITHXRM,5029594103718.0,ROLSON CLAW HAMMER FIBREGLASS 8OZ,Rolson 11201 8oz Stubby Claw Hammer,0.861666666666667,300,Confirmed (Title),Title Analysis
B00JGSHTEC,5023608420693.0,VFM EMULSION MATT  PAINT WHITE 5L,Dulux Walls & Ceilings Matt Emulsion Paint - Pure Brilliant White - 5L,5.20333333333333,200,Confirmed (Title),Title Analysis
B073XQYNQT,4001836065665.0,SCHOTT ZWIESEL WHITE WINE GLASS 407ML SET OF 2,"Schott Zwiesel Pure Glassware - White Wine Glasses - Set of 2, 408ml Capacity, Tritan Glass, Dishwasher Safe.",7.17833333333333,200,Confirmed (Title),Title Analysis
B08CVK7746,5022822194984.0,STATUS 3WAY BASIC C/FREE SOCKET WHT 1PK CLAM,STATUS 2 Way Socket | 2 USB Port Cable Free Socket | S2W2USBCFS12,0.0400000000000002,200,Confirmed (Title),Title Analysis
B09HCS9QM2,5012128616778.0,GIFTMAKER CHRISTMAS NON WOVEN SANTA SACK SPECIAL DELIVERY,Giftmaker Collection Large Christmas Santa Sack Gift Stocking For Xmas Presents Special Delivery Bag,1.04124999999999,100,Confirmed (Title),Title Analysis
B0001IWLMG,5050796011389.0,BRIGHT & HOMELY REINFORCED GARDEN HOSE PIPE 30M,Faithfull 30M (98ft) Reinforced Hose 12.7 mm (1/2 Inch) Diameter â€“ PVC Garden Hose Pipe,2.46333333333333,100,Confirmed (Title),Title Analysis
B01MUGGPCZ,5060569229804.0,BACKPACK STANDARD PAW PATROL SKYE,Paw Patrol Skye Girls Backpack | Girls Backpacks | School Bag for Kids,2.45291666666666,100,Confirmed (Title),Title Analysis
