Verdict,Confidence,SupplierTitle,AmazonTitle,Supplier EAN,Amazon EAN,ASIN,SupplierPrice_incVAT,SellingPrice_incVAT,NetProfit,ROI,Sales,Pack Verdict,Adjusted Profit,Key Match Evidence,Key Risks / Notes,Source,TitleSim
HIGH LIKELIHOOD,85,PRICE & KENSINGTON 2 CUP TEAPOT MATT NAVY,Price & Kensington Black 6 Cup Teapot,5010853210520.0,5010853110851.0,B0013IUIPA,5.45,14.78,0.05,0.9%,100,OK (1:1),0.05,High similarity (0.77) + pack OK + brand match,Low profit margin,Winner (Report 2.7),0.7692307692307693
HIGH LIKELIHOOD,85,BAKER & SALT LOOSE CASE CAKE TIN 23CM,Baker & Salt Loose Based Round Cake Tin Deep - 09inch,5038135559808.0,-,B082Q34WLQ,5.30,10.99,0.40,8.1%,50,OK (1:1),0.40,High similarity (0.73) + pack OK + brand match,Low profit margin,Winner (Report 2.7),0.7333333333333333
HIGH LIKELIHOOD,85,FAIRY MAX POWER SOAP DISPENSING DISH BRUSH & REFILLS 3PCS,Fairy Soap Dispensing Dish Brush,5010303194424.0,5010303180588.0,B0BYKDX25N,1.20,6.57,0.42,27.4%,50,MISMATCH (3 vs 1),~0.14 (divided by 3),High similarity (0.86) + pack OK + brand match,Pack qty difference (3 vs 1); Low profit margin,Winner (Report 2.7),0.7191011235955056
HIGH LIKELIHOOD,85,ULTRATAPE PICTURE FRAME TAPE 24MMX50M,Ultratape | Picture Frame Tape | 48mm x 33m,5027785817369.0,5027785811817.0,B073VPL2VQ,1.15,6.53,0.43,28.6%,50,OK (1:1),0.43,High similarity (0.85) + pack OK + token overlap (4),Low profit margin,Winner (Report 2.7),0.85
HIGH LIKELIHOOD,85,FALCON ENAMEL ROUND PIE DISH  26CM,FALCON Round Pie Dish White 26CM,5012823030916.0,-,B07NNY768K,4.46,10.69,0.89,20.9%,50,OK (1:1),0.89,High similarity (0.82) + pack OK + brand match,None identified,Winner (Report 2.7),0.8181818181818182
HIGH LIKELIHOOD,85,"AMTECH POINTING TROWEL 150M(6"") WITH SOFT GRIP","Amtech G0230 150mm (6"") Pointing trowel with soft grip",5032759027644.0,-,B00ABJQTPU,2.06,7.49,0.63,27.6%,50,OK (1:1),0.63,High similarity (0.74) + pack OK + brand match,None identified,Winner (Report 2.7),0.74
HIGH LIKELIHOOD,85,HARRIS PUTTY KNIFE,Harris Seriously Good Putty Knife,5056287402902.0,-,B0815B7FBY,2.22,6.98,0.13,5.6%,50,OK (1:1),0.13,High similarity (0.71) + pack OK + brand match,Low profit margin,Winner (Report 2.7),0.7058823529411765
HIGH LIKELIHOOD,75,SOUDAL EXPANDING FOAM HAND HELD 150ML,Soudal 750ml Champagne Gap Filler Expanding Foam Handheld Spray with Nozzle & Gloves (3),5411183131217.0,-,B07STZLCM6,3.10,15.55,5.47,174.9%,400,OK (1:1),5.47,Medium similarity (0.51) + pack OK + brand match + token overlap (3),None identified,Winner (Report 2.7),0.512
HIGH LIKELIHOOD,75,ROLSON CLAW HAMMER FIBREGLASS 8OZ,Rolson 11201 8oz Stubby Claw Hammer,5029594103718.0,5029594112017.0,B00JITHXRM,2.89,8.09,0.86,29.1%,300,OK (1:1),0.86,Medium similarity (0.53) + pack OK + brand match + token overlap (3),None identified,Winner (Report 2.7),0.5294117647058824
HIGH LIKELIHOOD,75,SCHOTT ZWIESEL WHITE WINE GLASS 407ML SET OF 2,"Schott Zwiesel Pure Glassware - White Wine Glasses - Set of 2, 408ml Capacity, Tritan Glass, Dishwasher Safe.",4001836065665.0,5023041541245.0,B073XQYNQT,3.35,19.99,7.18,214.9%,200,OK (1:1),7.18,Medium similarity (0.53) + pack OK + brand match + token overlap (6),None identified,Winner (Report 2.7),0.5290322580645161
