ASIN,EAN,SupplierTitle,AmazonTitle,NetProfit,Sales,TitleSimilarity,PackVerdict,SupQty,AmzQty
B005XKFN0O,5050028016069.0,EVERREADY T8 4FT 36W TUBE LIGHT,Eveready T8 Tube 4ft 36w White 3500k,8.00124999999999,50,0.6865671641791045,"CONFIRMED (Exact EAN, Pack OK)",1,1
B003XKPUSQ,5032759031078.0,AMTECH LED MINI TORCH,Amtech S1532 9 LED mini Torch,2.34833333333333,200,0.84,"CONFIRMED (Exact EAN, Pack OK)",1,1
B01IFIJ91Y,5010853235530.0,MASON CASH MIXING BOWL CREAM 29CM,"Mason Cash Colour Mix Cream Mixing Bowl | 4 Litre Capacity | 29cm Earthenware Bowl with Classic Pattern Design | Lightweight & Dishwasher Safe | Ideal for Baking, Pastry, Dough, Cakes & Cookies",5.11499999999999,200,0.2743362831858407,"CONFIRMED (Exact EAN, Pack OK)",1,1
B0042FBWQ0,26102251102.0,CARAFE .5LT GLASS,"Arcoroc ARC C0199 Carafon Vin Carafe, Glass, transparent, 580 ml",0.761666666666667,50,0.2962962962962963,"CONFIRMED (Exact EAN, Pack OK)",1,1
B0111N9Z1O,5039295201040.0,HOUSE MATE STAINLESS STEEL CLEANER & POLISH,House Mate Stainless Steel Cleaner and Polisher 400ml (Pack of 1),0.791666666666665,50,0.7777777777777778,"CONFIRMED (Exact EAN, Pack OK)",1,1
B0DPQVJ4NW,5010792749549.0,HIGHLAND COW PLAQUE FRIENDS,Lesser & Pavey Love & Affection Highland Cow Wooden Plaque - Friends For Home Decor & Gift | Wooden and Acrylic Plaques For Home and Office | Ideal Signs & Plaque Birthday Gifts For Women & Men,1.24166666666666,400,0.24545454545454545,"CONFIRMED (Exact EAN, Pack OK)",1,1
B0FQK17X7F,5010792542737.0,GEL  LED CANDLE FESTIVE ROBIN,Macneil Christmas Robin LED Gel Candle,1.29583333333333,50,0.417910447761194,"CONFIRMED (Exact EAN, Pack OK)",1,1
B0FMS875KH,5010792542676.0,CHRISTMAS LAPTRAY  ROBINS,Cushioned Lap Tray - Christmas Robins Design,1.40458333333333,50,0.463768115942029,"CONFIRMED (Exact EAN, Pack OK)",1,1
B008F7YP9C,5019200117338.0,PRODEC CAULKER 12 INCH,"ProDec 12"" Flexible Caulker Blade for Fast, Efficient Application of Fillers and Caulk and Smoothing of Wallpaper",0.684999999999999,50,0.26666666666666666,"CONFIRMED (Exact EAN, Pack OK)",1,1
B00KB225MS,5013159300353.0,ELLIOTT WINDOW SQUEEGE 20CM,"Elliott Multi-Purpose Window Squeegee perfect for streak free cleaning on Windows, shower screens, cars and mirrors, Aluminium frame housing a 20cm rubber squeegee with an ergonomic Grey Handle.",0.293333333333333,200,0.24434389140271492,"CONFIRMED (Exact EAN, Pack OK)",1,1
B099X92QGG,5013159004428.0,ELLIOTTS GLASS SPRAY BOTTLE BROWN480ML,"Elliott 480ml Brown Glass Spray Bottle, Manufactured from Recycled Glass and featuring a locking trigger action spray Mechanism, Ideal for use for Cleaning, Watering Plants and many other uses",0.218333333333333,100,0.2782608695652174,"CONFIRMED (Exact EAN, Pack OK)",1,1
B008F6946C,5060187175750.0,BLUE CANYON VECTOR SHOWER SPRAY,Blue Canyon Vector Double Tap Shower Spray| Bathroom Accessory| Premium Shower Attachment for Bath taps| Push-on-Fitting| Suitable for Round & Oval Taps| Shower Head for Bathroom| ~1.5 Meters| (White),0.198333333333333,500,0.2683982683982684,"CONFIRMED (Exact EAN, Pack OK)",1,1
B096KRFC4W,5055361761119.0,MEMORIAL WATERPROOF GRAVESIDE LANTERN WITH ROBIN SOMEONE SPECIAL,Waterproof Robin Memorial Graveside Lantern with LED Candle (Someone Special),0.0783333333333329,50,0.723404255319149,"CONFIRMED (Exact EAN, Pack OK)",1,1
B07JD22MJ2,8711252100531.0,GLASS WHISKEY DECANTER,alpina Whiskey Decanter and Caraf,0.0183333333333328,200,0.6909090909090909,"CONFIRMED (Exact EAN, Pack OK)",1,1
