ASIN,EAN,SupplierTitle,AmazonTitle,NetProfit,Sales,TitleSimilarity,TokenOverlap,TokenJaccard,BrandMatch,PackVerdict,Reason
B07F2MFZT5,5025364000652.0,TIDYZ PEDAL BIN LINERS 40 WHITE TIE HANDLE 15L,Tidyz 6 Packs Of 40 White Plastic Bin Bags - Fits 15L Pedal Bin - Extra Strong Tie Handle - 240 Bags Total,2.72666666666666,500,0.39473684210526316,6,0.42857142857142855,True,CONFIRMED (Title Analysis),High token Jaccard (0.43) + pack OK + token overlap (6)
B07STZLCM6,5411183131217.0,SOUDAL EXPANDING FOAM HAND HELD 150ML,Soudal 750ml Champagne Gap Filler Expanding Foam Handheld Spray with Nozzle & Gloves (3),5.47458333333333,400,0.512,3,0.25,True,CONFIRMED (Title Analysis),Medium similarity (0.51) + pack OK + brand match + token overlap (3)
B07STZLCM6,5411183078956.0,SOUDAL EXPANDING FOAM HANDHELD 750ML,Soudal 750ml Champagne Gap Filler Expanding Foam Handheld Spray with Nozzle & Gloves (3),4.25458333333333,400,0.5161290322580645,4,0.4,True,CONFIRMED (Title Analysis),Medium similarity (0.52) + pack OK + brand match + token overlap (4)
B00JITHXRM,5029594103718.0,ROLSON CLAW HAMMER FIBREGLASS 8OZ,Rolson 11201 8oz Stubby Claw Hammer,0.861666666666667,300,0.5294117647058824,3,0.6,True,CONFIRMED (Title Analysis),Medium similarity (0.53) + pack OK + brand match + token overlap (3)
B00JGSHTEC,5023608420693.0,VFM EMULSION MATT  PAINT WHITE 5L,Dulux Walls & Ceilings Matt Emulsion Paint - Pure Brilliant White - 5L,5.20333333333333,200,0.4854368932038835,4,0.4,False,CONFIRMED (Title Analysis),High token Jaccard (0.40) + pack OK + token overlap (4)
B073XQYNQT,4001836065665.0,SCHOTT ZWIESEL WHITE WINE GLASS 407ML SET OF 2,"Schott Zwiesel Pure Glassware - White Wine Glasses - Set of 2, 408ml Capacity, Tritan Glass, Dishwasher Safe.",7.17833333333333,200,0.5290322580645161,6,0.46153846153846156,True,CONFIRMED (Title Analysis),Medium similarity (0.53) + pack OK + brand match + token overlap (6)
B08CVK7746,5022822194984.0,STATUS 3WAY BASIC C/FREE SOCKET WHT 1PK CLAM,STATUS 2 Way Socket | 2 USB Port Cable Free Socket | S2W2USBCFS12,0.0400000000000002,200,0.5137614678899083,3,0.3,True,CONFIRMED (Title Analysis),Medium similarity (0.51) + pack OK + brand match + token overlap (3)
B09HCS9QM2,5012128616778.0,GIFTMAKER CHRISTMAS NON WOVEN SANTA SACK SPECIAL DELIVERY,Giftmaker Collection Large Christmas Santa Sack Gift Stocking For Xmas Presents Special Delivery Bag,1.04124999999999,100,0.5987261146496815,6,0.4,True,CONFIRMED (Title Analysis),Medium similarity (0.60) + pack OK + brand match + token overlap (6)
B0001IWLMG,5050796011389.0,BRIGHT & HOMELY REINFORCED GARDEN HOSE PIPE 30M,Faithfull 30M (98ft) Reinforced Hose 12.7 mm (1/2 Inch) Diameter â€“ PVC Garden Hose Pipe,2.46333333333333,100,0.45588235294117646,4,0.4,False,CONFIRMED (Title Analysis),High token Jaccard (0.40) + pack OK + token overlap (4)
B01MUGGPCZ,5060569229804.0,BACKPACK STANDARD PAW PATROL SKYE,Paw Patrol Skye Girls Backpack | Girls Backpacks | School Bag for Kids,2.45291666666666,100,0.2912621359223301,4,0.4,False,CONFIRMED (Title Analysis),High token Jaccard (0.40) + pack OK + token overlap (4)
