RowID,Verdict,Confidence,SupplierTitle,AmazonTitle,Supplier EAN,Amazon EAN,ASIN,SupplierPrice,SellingPrice,NetProfit,ROI,Sales,Pack Verdict,Adjusted Profit,Key Match Evidence,Filter Reason,IsUnrelated
1,UNRELATED,15,151 WHITE NO-DRIP GLOSS PAINT 300ML,"LG OLED48C45LA 48-Inch OLED Evo 4K UHD Smart TV, (Î±9 AI Processor Gen7, Dolby Atmos, Freeview Play and Amazon Alexa, 120Hz), Umber Brown [Model 2024]",5053249248073,nan,B0D4N6R7YG,2.484,848.0,595.636666666666,0,500,1:1,595.64,,Insufficient Evidence,True
2,UNRELATED,15,EUROWRAP GIANT BIRTHDAY BADGE GIRL 3,"Motorola edge 60 fusion, Pantone Slipstream, Moto AI Smartphone, 50MP Sony LYTIA Camera, with Co2 offset",5033601010654,nan,B0F43JDYKX,0.744,299.99,208.912916666666,0,100,1:1,208.91,,Insufficient Evidence,True
3,UNRELATED,15,RSW BRIGHTS WASHING UP BOWL,"Hyundai Petrol Backpack Leaf Blower, 170mph, 52cc 2 Stroke Engine With Support Harnesses, Anti-vibration, 55 Mins Per Litre Of Fuel",5015302457396,5056275754877,B081JT9XRT,1.14,158.8,98.0233333333333,0,100,1:1,98.02,,Insufficient Evidence,True
4,UNRELATED,15,I LOVE YOU BALLOON 40CM,"Mould King V8 Engine Building Blocks Set, 2250 PCS Combustion Engine Model Kit That Runs, Mini Engine for Adults with Battery, Engineering Construction STEM Toy for Boys Girls",5050565845627,nan,B0DN6BWS36,0.804,99.99,67.19625,0,50,1:1,67.2,,Insufficient Evidence,True
5,UNRELATED,20,WORLD OF PETS TOY BALL LAUNCHER 62CM ASSORTED,PetSafe Automatic Ball Launcher Dog Toy â€“ Tennis Ball Throwing Machine for Dogs â€“ Indoor or Outside Play â€“ Easy-Open Packaging,5015302203115,nan,B017N6IF5U,1.344,130.0,88.0033333333333,0,50,1:1,88.0,,Insufficient Evidence,True
6,UNRELATED,15,DLUX PEGS WITH SOFT RUBBER GRIP PLASTIC LARGE 12 PIECES,"Mould King V8 Engine Building Blocks Set, 2250 PCS Combustion Engine Model Kit That Runs, Mini Engine for Adults with Battery, Engineering Construction STEM Toy for Boys Girls",5060082728921,705736912404,B0DN6BWS36,0.768,99.99,62.165,0,50,1:1,62.16,,Insufficient Evidence,True
7,UNRELATED,15,ARTIST PAINT BRUSHES 10PC,"LEGO Ç€ Marvel Spider-Man vs. Oscorp - Interactive Toy with a Motorbike, 8 Minifigures incl. Miles Morales & Green Goblin - Collectible Super Hero Gift for 10+ Year Old Boys & Fans - 76324",5056170346795,nan,B0DWDWJTY6,1.008,97.99,65.6095833333333,0,400,1:1,65.61,,Low Text Similarity,True
8,UNRELATED,15,MINKY CURVE SCOURER 2PC,"Powerful 2200W Premium Garment Steamer with 3L Water Tank, Dual Steam Settings for Rapid Wrinkle Release, Suitable for All Fabrics Including Delicates, Updated Design, Fridja f1200 Clothes Steamer Pro",5010353328800,5065018907005,B0D3M53JGG,1.524,132.99,82.135,0,100,1:1,82.14,,Low Text Similarity,True
9,UNRELATED,15,STARWASH CLOTHES LINE 30M,"Mould King V8 Engine Building Blocks Set, 2250 PCS Combustion Engine Model Kit That Runs, Mini Engine for Adults with Battery, Engineering Construction STEM Toy for Boys Girls",5060082727214,705736912404,B0DN6BWS36,1.008,99.99,61.965,0,50,1:1,61.97,,Insufficient Evidence,True
10,UNRELATED,15,STATUS LED G9 2W LED CAPSULE BULB EACH,"17.5"" Portable DVD Player with 15.6"" Large HD Swivel Screen, 6 Hours Rechargeable Battery, Support USB/SD Card/Sync TV and Multiple Disc Formats, No Region Restrict, High Volume Speaker, Black",5022822226623,889328733407,B086ZJ8N2T,1.14,94.02,64.85,0,500,1:1,64.85,,Insufficient Evidence,True
11,UNRELATED,15,CHEF AID LANC PEELER PLASTIC HAND,"NiwNiw Heavy Duty Trailer Hitch Lock with Forged Steel Safety Ball Ifor Williams Knott Avonride 50mm Head (575003/575004/575005/575008),High Security Anti-Theft Caravan Tow Bar Coupling Lock",5012904079582,nan,B0FLXV5TG6,0.852,81.98,54.3991666666666,0,50,1:1,54.4,,Insufficient Evidence,True
