EAN,EAN_OnPage,ASIN,SupplierTitle,AmazonTitle,SupplierURL,AmazonURL,bought_in_past_month,fba_seller_count,fbm_seller_count,total_offer_count,SupplierPrice_incVAT,SupplierPrice_exVAT,SellingPrice_incVAT,ReferralFee,FBAFee,PrepHouseFee,OutputVAT,InputVAT,NetProceeds,HMRC,NetProfit,ROI,Breakeven,ProfitMargin
5.0333E+12,5.05649E+12,B0F68KJD43,ESSENTIAL PLASTIC 6 ICE CREAM BOWL,"Motorola razr 60 ultra, Pantone Scarab, Moto AI Flip Smartphone, Dual Display, 50MP Triple Camera with Co2 Offset",https://www.efghousewares.co.uk/essential-plastic-6-ice-cream-bowl,https://www.amazon.co.uk/dp/B0F68KJD43,,,,3,1.572,1.31,713.52,76.93,2.87,0.55,118.92,16.332,513.49,-16.332,512.94,27577.41935,97.992,86.26639758
5.0333E+12,5.05649E+12,B0F68KJD43,ESSENTIAL PLASTIC SALAD BOWL CLEAR REUSABLE 176 OZ,"Motorola razr 60 ultra, Pantone Scarab, Moto AI Flip Smartphone, Dual Display, 50MP Triple Camera with Co2 Offset",https://www.efghousewares.co.uk/essential-plastic-salad-bowl-clear-reusable-176-oz-119160,https://www.amazon.co.uk/dp/B0F68KJD43,,,,3,1.644,1.37,713.52,76.93,2.87,0.55,118.92,16.344,513.43,-16.344,512.88,26712.5,98.064,86.25630676
5.0336E+12,,B0CZ97V8D9,NORTHPOLE SILVER METALLIC BOWS 16PK,Osee GoStream Duet Live Streaming Switcher Multiple Camera SDI and HDMI Live Stream Video Mixer Switcher with SD Record and NDI HX Supported,https://www.efghousewares.co.uk/northpole-silver-metallic-bows-16pk-122626,https://www.amazon.co.uk/dp/B0CZ97V8D9,,,,,0.804,0.67,315.7,39.4625,2.41,0.55,52.61666667,8.6185,220.5408333,-8.6185,219.9908333,18032.03552,51.711,83.62020906
5.05544E+12,,B07SXDPVZZ,DEKTON GLOVES LATEX COATED ORAGE LARGE(SOLD EACH),WOLVERINE 10-Sheet Super Micro Cut High Security Level P-5 Heavy Duty Paper/CD/Card Ultra Quiet Shredder for Home Office by 60 Mins Running Time and 22-Litre Pullout Waste Bin SD9112(Black),https://www.efghousewares.co.uk/dekton-gloves-latex-coated-orage-large,https://www.amazon.co.uk/dp/B07SXDPVZZ,,Available (see Keepa data),,1,0.912,0.76,199.92,37.49,8,0.55,33.32,9.36,120.35,-9.36,119.8,9145.038168,56.16,71.90876351
5.05544E+12,,B07SWB992S,DEKTON GLOVES WORKING PU X LARGE(SOLD EACH),WOLVERINE 10-Sheet Super Micro Cut High Security Level P-5 Heavy Duty Paper/CD/Card Ultra Quiet Shredder for Home Office by 60 Mins Running Time and 22-Litre Pullout Waste Bin SD9112(White),https://www.efghousewares.co.uk/dekton-gloves-working-pu-x-large,https://www.amazon.co.uk/dp/B07SWB992S,,Available (see Keepa data),,1,0.804,0.67,189.92,37.49,8.18,0.55,31.65333333,9.378,111.9266667,-9.378,111.3766667,9129.234973,56.268,70.37278854
5.05057E+12,,B0BWJQSD1F,PEARLESCENT BAUBLE MASON JAR,VLAND Tail Lights for Mini Cooper R56 R57 R58 R59 2007-2013 Rear Lights Lamp Assembly With Sequential Indicator and Welcome Lights (Red),https://www.efghousewares.co.uk/pearlescent-bauble-mason-jar-117338,https://www.amazon.co.uk/dp/B0BWJQSD1F,,,,2,1.272,1.06,208.99,21.38,5.3,0.55,34.83166667,5.658,146.4183333,-5.658,145.8683333,9060.144928,33.948,83.75616058
5.05933E+12,7.61988E+12,B096SQ3CX6,PLAIN CERAMIC MUG WHITE WITH BLACK RIM 275ML,Mammut Women Nova Iv Mid GTX Hiking Shoe,https://www.efghousewares.co.uk/plain-ceramic-mug-white-with-black-rim-275ml-110858,https://www.amazon.co.uk/dp/B096SQ3CX6,,,Available (see Keepa data),8,0.66,0.55,145.79,21.87,3.55,0.55,24.29833333,5.304,95.52166667,-5.304,94.97166667,8633.787879,31.824,78.17134234
5.05544E+12,,B07SXDPVZZ,DEKTON POWER BIT SET 5PC,WOLVERINE 10-Sheet Super Micro Cut High Security Level P-5 Heavy Duty Paper/CD/Card Ultra Quiet Shredder for Home Office by 60 Mins Running Time and 22-Litre Pullout Waste Bin SD9112(Black),https://www.efghousewares.co.uk/dekton-power-bit-set-5pc,https://www.amazon.co.uk/dp/B07SXDPVZZ,,Available (see Keepa data),,1,1.08,0.9,199.92,37.49,8,0.55,33.32,9.388,120.21,-9.388,119.66,8252.413793,56.328,71.82472989
5.0508E+12,,B0B5D4LCY8,BRIGHT & HOMELY STAINLESS STEEL SCOURER 6 PIECES,OLEVS Men Automatic Watch Skeleton 5 Hands Mechanical Classic Luxury Multi Calendar Stainless Steel Waterproof Wrist Watch for Men,https://www.efghousewares.co.uk/bright-homely-stainless-steel-scourer-6-pieces-121531,https://www.amazon.co.uk/dp/B0B5D4LCY8,,Available (see Keepa data),,1,0.66,0.55,138,20.7,3.09,0.55,23,4.978,90.66,-4.978,90.11,8191.818182,29.868,78.35652174
4.89416E+12,,B0DK3N1Q4V,FESTIVE MAGIC BIG BELLY MOUSE GREY 30CM,"VANTRUE E360 ACE 5.2K Dash Cam Panoramic, 3 Channel Dashcam Wide Angle 210Â°, Dash Camera 1944P+1944P+1080P Front Rear inside, STARVIS 2, Night Vision, 5G WiFi GPS, HDR, 24H Parking Mode, Support 512GB",https://www.efghousewares.co.uk/festive-magic-big-belly-mouse-grey-30cm-116280,https://www.amazon.co.uk/dp/B0DK3N1Q4V,,Available (see Keepa data),,1,2.016,1.68,245.64,17.19,3.68,0.55,40.94,4.62,182.15,-4.62,181.6,8143.497758,27.72,88.71519297
4.89416E+12,,B0DK3N1Q4V,FESTIVE MAGIC LIGHT UP LED CAND CANE 75CM,"VANTRUE E360 ACE 5.2K Dash Cam Panoramic, 3 Channel Dashcam Wide Angle 210Â°, Dash Camera 1944P+1944P+1080P Front Rear inside, STARVIS 2, Night Vision, 5G WiFi GPS, HDR, 24H Parking Mode, Support 512GB",https://www.efghousewares.co.uk/festive-magic-light-up-led-cand-cane-75cm-73628,https://www.amazon.co.uk/dp/B0DK3N1Q4V,,Available (see Keepa data),,1,2.016,1.68,245.64,17.19,3.68,0.55,40.94,4.62,182.15,-4.62,181.6,8143.497758,27.72,88.71519297
5.05571E+12,,B085HN95YZ,DLUX ALL PURPOSE CLEANING CLOTHS 40PCS,WOLVERINE 18-Sheet 60 Mins Running Time Cross Cut High Security Level P-4 Heavy Duty Paper/CD/Card Ultra Quiet Shredder for Home Office with 22-Litre Pullout Waste Bin SD9113(Black),https://www.efghousewares.co.uk/dlux-all-purpose-cleaning-cloths-40pcs-115767,https://www.amazon.co.uk/dp/B085HN95YZ,,Available (see Keepa data),,1,1.2,1,194.39,32.4,9.47,0.55,32.39833333,8.684,119.1216667,-8.684,118.5716667,7649.784946,52.104,73.19615207
5.0508E+12,,B09ZTKXBRJ,BRIGHT & HOMELY TOILET BRUSH WHITE,Remanufactured Toner Cartridge Replacement for Lexmark C2320K0 C2320C0 C2320M0 C2320Y0 C2325dw C2325 MC2325adw C2535dw MC2535adwe C2425dw MC2425adw MC2640adwe Printer (4 pack x 1000 pages),https://www.efghousewares.co.uk/bright-homely-toilet-brush-white-105424,https://www.amazon.co.uk/dp/B09ZTKXBRJ,,Available (see Keepa data),,1,0.6,0.5,119.99,16.59,3.12,0.55,19.99833333,4.152,79.78166667,-4.152,79.23166667,7545.873016,24.912,79.23826986
5.05544E+12,,B07SXDPVZZ,DEKTON HOOK 16MM 1PC,WOLVERINE 10-Sheet Super Micro Cut High Security Level P-5 Heavy Duty Paper/CD/Card Ultra Quiet Shredder for Home Office by 60 Mins Running Time and 22-Litre Pullout Waste Bin SD9112(Black),https://www.efghousewares.co.uk/dekton-hook-16mm-1pc,https://www.amazon.co.uk/dp/B07SXDPVZZ,,Available (see Keepa data),,1,1.272,1.06,199.92,37.49,8,0.55,33.32,9.42,120.05,-9.42,119.5,7422.360248,56.52,71.72869148
5.0336E+12,,B0FCXVT75G,NORTHPOLE GIFT TAG BOOKLET PK20 HOLOGRAPHIC GOLD,"DOOGEE Blade 10 Energy Rugged Smartphone - 10.7mm Ultra-Thin Rugged Phone, 6150mAh Battery Android 15 Phone with 24GB RAM+128GB ROM, 6.56 inch 90Hz Screen 16MP+8MP Cameras/NFC/Dual SIM/Face ID - Plain",https://www.efghousewares.co.uk/northpole-gift-tag-booklet-pk20-holographic-gold-122640,https://www.amazon.co.uk/dp/B0FCXVT75G,,,,,0.672,0.56,113.98,14.2475,2.41,0.55,18.99666667,3.5535,77.76583333,-3.5535,77.21583333,6956.381381,21.321,81.29408668
5.05544E+12,,B07SWB992S,DEKTON HOOKS SET 5PC,WOLVERINE 10-Sheet Super Micro Cut High Security Level P-5 Heavy Duty Paper/CD/Card Ultra Quiet Shredder for Home Office by 60 Mins Running Time and 22-Litre Pullout Waste Bin SD9112(White),https://www.efghousewares.co.uk/dekton-hooks-set-5pc-35872,https://www.amazon.co.uk/dp/B07SWB992S,,Available (see Keepa data),,1,1.272,1.06,189.92,37.49,8.18,0.55,31.65333333,9.456,111.5366667,-9.456,110.9866667,6893.581781,56.736,70.126369
5.0153E+12,7.1771E+11,B0FGHZB8FM,LUXURY CUPCAKE 100 CASES,"Oversize Turbo Dryer Blower,Car Accessories,Max Instantaneous Thrust 1.60KG,4 Speeds,64MM Super Big Electric Cordless Air Blower for Leaf,Patio Cleaning,Lawn Care & Car Drying (Shining Black)",https://www.efghousewares.co.uk/luxury-cupcake-100-cases,https://www.amazon.co.uk/dp/B0FGHZB8FM,50,Available (see Keepa data),,1,0.852,0.71,129,19.35,3.44,0.55,21.5,4.81,84,-4.81,83.45,6623.015873,28.86,77.62790698
5.0336E+12,,B0FCXVT75G,NORTHPOLE CHRISTMAS CUTE STICKERS PK50,"DOOGEE Blade 10 Energy Rugged Smartphone - 10.7mm Ultra-Thin Rugged Phone, 6150mAh Battery Android 15 Phone with 24GB RAM+128GB ROM, 6.56 inch 90Hz Screen 16MP+8MP Cameras/NFC/Dual SIM/Face ID - Plain",https://www.efghousewares.co.uk/northpole-christmas-cute-stickers-pk50-122622,https://www.amazon.co.uk/dp/B0FCXVT75G,,,,,0.744,0.62,113.98,14.2475,2.41,0.55,18.99666667,3.5655,77.70583333,-3.5655,77.15583333,6594.51567,21.393,81.2309177
5.0336E+12,,B0FCXVT75G,NORTHPOLE EMBOSSED RIBBON 10M,"DOOGEE Blade 10 Energy Rugged Smartphone - 10.7mm Ultra-Thin Rugged Phone, 6150mAh Battery Android 15 Phone with 24GB RAM+128GB ROM, 6.56 inch 90Hz Screen 16MP+8MP Cameras/NFC/Dual SIM/Face ID - Plain",https://www.efghousewares.co.uk/northpole-embossed-ribbon-10m-122618,https://www.amazon.co.uk/dp/B0FCXVT75G,,,,,0.876,0.73,113.98,14.2475,2.41,0.55,18.99666667,3.5875,77.59583333,-3.5875,77.04583333,6019.205729,21.525,81.11510791
5.02618E+12,9.31345E+12,B0F66LVY3M,APOLLO RAMEKIN 6.5CM,Leaf Blower Cordless Turbo Mode 500000RPM 21V Air Blower 5 Gears with 2 X 4.0Ah Battery and Charger Lightweight 180Â°Rotation for Lawn Yard Garage Patio Blowing Leaves and Dust,https://www.efghousewares.co.uk/apollo-ramekin-6-5cm-10-10,https://www.amazon.co.uk/dp/B0F66LVY3M,,Available (see Keepa data),,3,0.6,0.5,99.99,15,5.42,0.55,16.665,4.294,62.405,-4.294,61.855,5890.952381,25.764,74.23342334
5.0508E+12,7.97726E+11,B0DYJKPDK5,BRIGHT & HOMELY HEAVY DUTY CONCERTINA DRAIN PLUNGER MEDIUM,"Betopper 4x100W LED Satge Lights, Upgraded Amber+Cool White COB Blinder Light, High CRI/RA(>95) DMX512 Spotlight, 4 Eye Matrix Disco Lights for Wedding Party Photostudio Theater, 1S",https://www.efghousewares.co.uk/bright-homely-heavy-duty-plunger-midi-122839,https://www.amazon.co.uk/dp/B0DYJKPDK5,,Available (see Keepa data),,2,2.148,1.79,199.99,24,5.84,0.55,33.33166667,6.436,135.0283333,-6.436,134.4783333,5746.937322,38.616,80.69103455
5.05544E+12,,B07SWB992S,DEKTON CABLE TIES BLACK 100PCS 4.8MMX250MM,WOLVERINE 10-Sheet Super Micro Cut High Security Level P-5 Heavy Duty Paper/CD/Card Ultra Quiet Shredder for Home Office by 60 Mins Running Time and 22-Litre Pullout Waste Bin SD9112(White),https://www.efghousewares.co.uk/dekton-cable-ties-white-100pcs-4-8mmx250mm-115689,https://www.amazon.co.uk/dp/B07SWB992S,,Available (see Keepa data),,1,1.68,1.4,189.92,37.49,8.18,0.55,31.65333333,9.524,111.1966667,-9.524,110.6466667,5674.188034,57.144,69.9115417
5.05571E+12,,B085HN95YZ,PROKLEEN MICROFIBRE MOP & HANDLE,WOLVERINE 18-Sheet 60 Mins Running Time Cross Cut High Security Level P-4 Heavy Duty Paper/CD/Card Ultra Quiet Shredder for Home Office with 22-Litre Pullout Waste Bin SD9113(Black),https://www.efghousewares.co.uk/prokleen-microfibre-mop-handle,https://www.amazon.co.uk/dp/B085HN95YZ,,Available (see Keepa data),,1,1.884,1.57,194.39,32.4,9.47,0.55,32.39833333,8.798,118.5516667,-8.798,118.0016667,5566.116352,52.788,72.84428211
5.01871E+12,,B0B5D4LCY8,OVEN LOVE BAKING DISH OVAL WHITE 0.19L,OLEVS Men Automatic Watch Skeleton 5 Hands Mechanical Classic Luxury Multi Calendar Stainless Steel Waterproof Wrist Watch for Men,https://www.efghousewares.co.uk/oven-love-baking-dish-oval-white-0-19l-118224,https://www.amazon.co.uk/dp/B0B5D4LCY8,,Available (see Keepa data),,1,1.344,1.12,138,20.7,3.09,0.55,23,5.092,90.09,-5.092,89.54,5361.676647,30.552,77.86086957
