SupplierTitle,AmazonTitle,EAN,EAN_OnPage,ASIN,SupplierPrice_incVAT,SellingPrice_incVAT,NetProfit,ROI,bought_in_past_month,tier,confidence_score,flags,reasons,ean_exact_match,SupplierURL,AmazonURL,fba_seller_count,Category
BACOFOIL ZIPPER BAGS ALL PURPOSE 12 PACK MEDIUM 3L,"Bacofoil All Purpose Zipper Bags, Medium x 12, Resealable, Durable, Versatile",5023139861118,5023139861118,B07BK11CLJ,2.424,2.5,-3.839166667,-149.383917,900,TIER_2_LIKELY,70,UNPROFITABLE,"Exact EAN match (checksum verified),Moderate title match (sim=0.47, shared=6),Brand match: bacofoil",TRUE,https://www.efghousewares.co.uk/bacofoil-zipper-bags-all-purpose-12-pack-medium-3l-108888,https://www.amazon.co.uk/dp/B07BK11CLJ,,Bin Bag Carrier Bag Paper Bag
ESCENTI COOL FEET FOOT SOAK GREEN TEA & CAMOMILE 450G,Escenti Cool Feet Soothing Green Tea & Chamomile Essential Foot Soak,5020535008789,5020535008789,B06XCRRT9H,1.14,3.35,-1.398333333,-93.22222222,700,TIER_2_LIKELY,85,UNPROFITABLE,"Exact EAN match (checksum verified),Strong title match (sim=0.71, shared=7),Brand match: escenti",TRUE,https://www.efghousewares.co.uk/escenti-foot-soak-green-tea-450g-each-6-1,https://www.amazon.co.uk/dp/B06XCRRT9H,,Bathroom   Cosmetics   Beauty
151 SILICONE LUBRICANT SPRAY 200ML,Silicone Lubricant Spray - 200ml,5053249215341,5053249215341,B075V6XJ57,1.14,3.77,-1.448333333,-96.55555556,700,TIER_2_LIKELY,75,"BRAND_MISMATCH,UNPROFITABLE","Exact EAN match (checksum verified),Strong title match (sim=0.92, shared=4)",TRUE,https://www.efghousewares.co.uk/151-silicone-lubricant-spray-200ml-26-8,https://www.amazon.co.uk/dp/B075V6XJ57,,Diy   Tools
AIRWICK PLUG REFILL LAVENDER TWIN 19ML PK5,"Air Wick Plug in Diffuser Twin Refill, Purple Lavender Meadow, Pack 2 x 19ml, Long Lasting Fragrance, Lasts up to 200 days, Plug in Air freshener",5011417558843,5011417558843,B0BT1SKMJ3,18.804,5.5,-14.49666667,-89.37525688,700,TIER_2_LIKELY,60,"BRAND_MISMATCH,UNPROFITABLE","Exact EAN match (checksum verified),Moderate title match (sim=0.41, shared=5)",TRUE,https://www.efghousewares.co.uk/airwick-plug-refill-lavender-twin-19ml-pk5-109107,https://www.amazon.co.uk/dp/B0BT1SKMJ3,Available (see Keepa data),Air Fresheners
MARKSMAN KNEEL MAT,Marksman Waterproof Durable Foam Garden Kneeler Kneeling Pad Knee Cushion Green 410 x 160 x 17mm,5038673702346,5038673702346,B00DZQ1R6M,1.008,3.7,-1.616666667,-116.3069544,700,TIER_2_LIKELY,55,UNPROFITABLE,"Exact EAN match (checksum verified),Weak title match (sim=0.28, shared=1),Brand match: marksman",TRUE,https://www.efghousewares.co.uk/marksman-kneel-mat,https://www.amazon.co.uk/dp/B00DZQ1R6M,Available (see Keepa data),Diy   Tools
ELYSIUM SPA BATH SALTS 450GM VANILLA,Elysium Spa Vanilla Sugar Epsom Bath Salts | Natural Magnesium Sulphate Crystals with Essential Oils For Relaxing & Soothing Soak - Eases Muscle Aches & Sores (450g),5020535011994,5020535011994,B07Z3M7YWK,1.14,1.45,-3.191666667,-212.7777778,700,TIER_2_LIKELY,55,UNPROFITABLE,"Exact EAN match (checksum verified),Weak title match (sim=0.28, shared=5),Brand match: elysium",TRUE,https://www.efghousewares.co.uk/elysium-spa-bath-salts-450gm-vanilla,https://www.amazon.co.uk/dp/B07Z3M7YWK,,Bathroom   Cosmetics   Beauty
LITTLE TREES CAR FRESHENER SHERBET LEMON,Little Trees Air Freshener Tree MTR0073 Sherbet Lemon Fragrance For Car Home Boat Caravan - Single Pack,7612720208159,7612720208159,B01H26HTVW,0.936,1.18,-2.056666667,-154.6365915,600,TIER_2_LIKELY,70,UNPROFITABLE,"Exact EAN match (checksum verified),Moderate title match (sim=0.55, shared=6),Brand match: little",TRUE,https://www.efghousewares.co.uk/little-trees-car-fresh-sherbet-lemon,https://www.amazon.co.uk/dp/B01H26HTVW,,Air Fresheners
151 SPRAY PAINT 400ML CHAMPAGNE GOLD,151 Products TAR060 400ml Multi Purpose Spray Paint Aerosol Wood Metal Brick - Champagne Gold Metallic Finish,5053249240640,5053249240640,B08X1T13C7,2.352,5.39,-1.468333333,-58.49933599,500,TIER_2_LIKELY,70,UNPROFITABLE,"Exact EAN match (checksum verified),Moderate title match (sim=0.46, shared=6),Brand match: 151",TRUE,https://www.efghousewares.co.uk/151-spray-paint-400ml-champagne-gold-104087,https://www.amazon.co.uk/dp/B08X1T13C7,,Diy   Tools
151 ALL PURPOSE FILLER TUB 600G,"151 Smooth All Purpose Filler - Interior & Exterior Use | No Sagging, Shrinking or Cracking - Easy To Use Ready Mixed Paste | Repairs for Plaster, Plasterboard, Brick, Wood and Stone (White, 600g)",5013748035307,5013748035307,B0011VFIGS,1.476,4.08,-1.95,-109.5505618,500,TIER_2_LIKELY,55,UNPROFITABLE,"Exact EAN match (checksum verified),Weak title match (sim=0.29, shared=5),Brand match: 151",TRUE,https://www.efghousewares.co.uk/151-filler-tub-all-purpose-600gm,https://www.amazon.co.uk/dp/B0011VFIGS,Available (see Keepa data),Diy   Tools
RAPIDE SPRAY MATT BLK 400ML,All Purpose Black MATT 400ML - Professional Satin Finish Spray Wood Color Paint,5055319517331,5055319517331,B078H9LRGX,2.148,4.79,-1.718333333,-73.43304843,500,TIER_2_LIKELY,45,"BRAND_MISMATCH,UNPROFITABLE","Exact EAN match (checksum verified),Weak title match (sim=0.25, shared=3)",TRUE,https://www.efghousewares.co.uk/rapide-spray-matt-blk-400ml,https://www.amazon.co.uk/dp/B078H9LRGX,,Diy   Tools
