SupplierTitle,AmazonTitle,EAN,EAN_OnPage,ASIN,SupplierPrice_incVAT,SellingPrice_incVAT,NetProfit,ROI,bought_in_past_month,amazon_sales_badge,sales_value,tier,confidence_score,flags,reasons,ean_exact_match,SupplierURL,AmazonURL,fba_seller_count,Category
Munch & Crunch Roast Pork Dog Bone,Munch & Crunch Roast Pork Bones x 6,5053249206653,5053249206653,B0C1P6YWT6,1.272,13.49,5.781666666666667,359.10973084886126,,,0,TIER_1_VERIFIED,95,,"Exact EAN match (checksum verified),Strong title match (sim=0.87, shared=4),Brand match: munch",true,https://www.poundwholesale.co.uk/munch-crunch-roast-pork-bone,https://www.amazon.co.uk/dp/B0C1P6YWT6,,Wholesale Pet Toys Treats
Pan Aroma Fluffy Towels Dome Reed Diffuser 50ml,Pan Aroma Reed Diffuser- Fluffy Towels 50ml,5053249217338,5053249217338,B07JLGBRHK,1.104,8.73,3.6450000000000005,247.9591836734694,,,0,TIER_1_VERIFIED,95,,"Exact EAN match (checksum verified),Strong title match (sim=0.63, shared=7),Brand match: pan",true,https://www.poundwholesale.co.uk/pan-aroma-fluffy-towels-dome-reed-diffuser-50ml,https://www.amazon.co.uk/dp/B07JLGBRHK,,Wholesale Home Fragrance Candles Accessories
Marksman Shed & Fence Paint Brush 10 X 4cm,"Marksman Shed & Fence Paint Brush, Synthetic Hair, Brown Handle, L",5038673640327,5038673640327,B0897TP2HL,1.02,9.95,2.951666666666666,210.8333333333333,,,0,TIER_1_VERIFIED,95,,"Exact EAN match (checksum verified),Strong title match (sim=0.68, shared=5),Brand match: marksman",true,https://www.poundwholesale.co.uk/marksman-shed-fence-paint-brush-10-x-4cm,https://www.amazon.co.uk/dp/B0897TP2HL,,Wholesale Painting Decorating
DID Gripped Stubby Phillips & Slotted Screwdriver Set 2pc,DID Gripped Stubby Phillips & Slotted Screwdriver Set 2PC,5056338357892,5056338357892,B0979NB218,0.72,7.98,2.04,177.3913043478261,,,0,TIER_1_VERIFIED,95,,"Exact EAN match (checksum verified),Strong title match (sim=1.00, shared=7),Brand match: did",true,https://www.poundwholesale.co.uk/did-gripped-stubby-phillips-slotted-screwdriver-set-2pc,https://www.amazon.co.uk/dp/B0979NB218,,Wholesale Hand Tools
Roadster Bicycle Cable Lock With 2 Keys 10mm X 650mm,Roadster 2 Key Bicycle Cable Lock Security Bike Cycle Gate 10mm x 650mm,5038673815213,5038673815213,B088N7M48Z,0.924,6.92,1.7066666666666663,129.29292929292927,,,0,TIER_1_VERIFIED,95,,"Exact EAN match (checksum verified),Strong title match (sim=0.76, shared=6),Brand match: roadster",true,https://www.poundwholesale.co.uk/roadster-bicycle-cable-lock-with-2-keys-10mm-x-650mm,https://www.amazon.co.uk/dp/B088N7M48Z,,Wholesale Cycling
Pan Aroma Vanilla & Coconut Dome Reed Diffuser 50ml CDU,Pan Aroma Dome Reed Diffuser Vanilla Coconut,5053249217390,5053249217390,B07BVDY3LT,1.104,6.78,1.9000000000000006,129.25170068027214,,,0,TIER_1_VERIFIED,95,,"Exact EAN match (checksum verified),Strong title match (sim=0.67, shared=7),Brand match: pan",true,https://www.poundwholesale.co.uk/pan-aroma-vanilla-coconut-dome-reed-diffuser-50ml-cdu,https://www.amazon.co.uk/dp/B07BVDY3LT,,Wholesale Home Fragrance Candles Accessories
DID Paint Brush Set 3pc,"DID PAINT BRUSH SET 3PC, White",5056338358059,5056338358059,B09CL2C1YM,0.744,5.98,1.363333333333334,116.52421652421658,,,0,TIER_1_VERIFIED,95,,"Exact EAN match (checksum verified),Strong title match (sim=0.88, shared=4),Brand match: did",true,https://www.poundwholesale.co.uk/did-paint-brush-set-3pc,https://www.amazon.co.uk/dp/B09CL2C1YM,,Wholesale Painting Decorating
Elbow Grease Antibacterial Surface Scrub Wipes 24 Pack,Elbow Grease Surface Kitchen Bathroom Scrub Wipes 72 (3 PACK),5053249240688,5053249240688,B0894ZSQ85,1.308,9.19,1.8383333333333327,112.0934959349593,,,0,TIER_1_VERIFIED,95,,"Exact EAN match (checksum verified),Strong title match (sim=0.69, shared=5),Brand match: elbow",true,https://www.poundwholesale.co.uk/elbow-grease-antibacterial-surface-scrub-wipes-24pk,https://www.amazon.co.uk/dp/B0894ZSQ85,Available (see Keepa data),Multi Purpose Cleaners
Just Stationery Double-Sided Tape & Sticky Pads 2 Pack,Just stationery Double Sided Tape and Squares Set,5013922061559,5013922061559,B00DOUN8IE,0.78,5.99,1.281666666666667,106.80555555555556,,,0,TIER_1_VERIFIED,95,,"Exact EAN match (checksum verified),Strong title match (sim=0.75, shared=5),Brand match: just",true,https://www.poundwholesale.co.uk/just-stationery-double-sided-tape-sticky-pads-2-pack,https://www.amazon.co.uk/dp/B00DOUN8IE,,Stationery Pound Lines
Smart Choice Chicken & Beef Scented Pet Bubble Wand 118ml 2 Pack,Smart Choice Scented Pet Bubbles Chicken and Beef,5052516313780,5052516313780,B0D8R7NKF9,1.272,8.99,1.5216666666666676,94.51345755693588,50.0,50.0,50,TIER_1_VERIFIED,95,,"Exact EAN match (checksum verified),Strong title match (sim=0.64, shared=6),Brand match: smart",true,https://www.poundwholesale.co.uk/smart-choice-chicken-beef-scented-pet-bubble-wand-118ml-2-pack,https://www.amazon.co.uk/dp/B0D8R7NKF9,Available (see Keepa data),Wholesale Pet Toys Treats
Rapide Pre-Mixed Quick Set Mortar 2kg,Rapide Quick Set Mortar 2kg,5055319519700,5055319519700,B01L4PW0FW,0.936,10.78,1.2433333333333323,93.48370927318287,,,0,TIER_1_VERIFIED,95,,"Exact EAN match (checksum verified),Strong title match (sim=0.86, shared=4),Brand match: rapide",true,https://www.poundwholesale.co.uk/premixed-mortar-2kg,https://www.amazon.co.uk/dp/B01L4PW0FW,,Wholesale Sealants Paints
Elysium Spa Mint Madness Spearmint & Peppermint Bath Bombs 3 Pack,Elysium Spa Spearmint & Peppermint Bath Bombs,5020535021993,5020535021993,B0BYTBCWXT,0.672,6.17,0.9116666666666668,82.13213213213214,,,0,TIER_1_VERIFIED,95,,"Exact EAN match (checksum verified),Strong title match (sim=0.81, shared=6),Brand match: elysium",true,https://www.poundwholesale.co.uk/elysium-spa-mint-madness-spearmint-peppermint-bath-bombs-3-pack,https://www.amazon.co.uk/dp/B0BYTBCWXT,,Wholesale Skin Care
Elysium Spa Lavender Essential Oil 10ml,Elysium Spa Essential Aroma Relaxing Oil,5020535015169,5020535015169,B09BW3XDGF,0.984,5.16,1.0200000000000007,74.45255474452559,,,0,TIER_1_VERIFIED,95,,"Exact EAN match (checksum verified),Strong title match (sim=0.63, shared=4),Brand match: elysium",true,https://www.poundwholesale.co.uk/elysium-spa-lavender-essential-oil-10ml,https://www.amazon.co.uk/dp/B09BW3XDGF,,Wholesale Home Fragrance Candles Accessories
DID Cable Ties Assorted Colours 120pc,"DID Cable Ties Assorted Colours, 120 Pack, 2mm x 150mm",5056338373526,5056338373526,B096KGS7S9,0.756,5.31,0.8549999999999998,72.45762711864404,,,0,TIER_1_VERIFIED,95,,"Exact EAN match (checksum verified),Strong title match (sim=0.83, shared=5),Brand match: did",true,https://www.poundwholesale.co.uk/did-cable-ties-assorted-colours-120pc,https://www.amazon.co.uk/dp/B096KGS7S9,,Fasteners Assortments
Elbow Grease Extra Large Glass & Window Microfibre Cloth,Elbow Grease Extra Large Glass & Window Microfibre Cloth,5053249255644,5053249255644,B096X9T6XB,1.188,5.78,1.0666666666666673,69.2640692640693,,,0,TIER_1_VERIFIED,95,,"Exact EAN match (checksum verified),Strong title match (sim=1.00, shared=8),Brand match: elbow",true,https://www.poundwholesale.co.uk/elbow-grease-extra-large-glass-window-microfibre-cloth,https://www.amazon.co.uk/dp/B0F1KFQX9K,,Sponges Scourers Cloths
Fun Time Bubblegum Flavoured Lube 75ml,Fun Time Lubricant - Bubblegum 75ml,5053249279633,5053249279633,B0F8NLMDD2,0.9600000000000001,5.27,0.9216666666666664,68.27160493827158,,,0,TIER_1_VERIFIED,95,,"Exact EAN match (checksum verified),Strong title match (sim=0.64, shared=4),Brand match: fun",true,https://www.poundwholesale.co.uk/fun-time-bubblegum-flavoured-lube-75ml,https://www.amazon.co.uk/dp/B0F8NLMDD2,Available (see Keepa data),Wholesale First Aid Medical
Tobar Growing Hatching Llamacorn 10cm,Tobar GROWING HATCHING LLAMACORN,5038728138472,5038728138472,B07PLGD7T1,0.72,6.79,0.7283333333333328,63.3333333333333,,,0,TIER_1_VERIFIED,95,,"Exact EAN match (checksum verified),Strong title match (sim=0.93, shared=4),Brand match: tobar",true,https://www.poundwholesale.co.uk/tobar-growing-hatching-llamacorn-10cm,https://www.amazon.co.uk/dp/B07PLGD7T1,,Wholesale Dolls Soft Toys
Fun Time Peppermint Candy Flavoured Lube 75ml,"Fun Time Peppermint Candy Flavoured Lubricant, 75ml",5053249279619,5053249279619,B0F8NKWHT5,0.9600000000000001,5.17,0.8483333333333332,62.839506172839485,,,0,TIER_1_VERIFIED,95,,"Exact EAN match (checksum verified),Strong title match (sim=0.93, shared=6),Brand match: fun",true,https://www.poundwholesale.co.uk/fun-time-peppermint-candy-flavoured-lube-75ml,https://www.amazon.co.uk/dp/B0F8NKWHT5,,Wholesale First Aid Medical
