SupplierTitle,AmazonTitle,EAN,EAN_OnPage,ASIN,SupplierPrice_incVAT,SellingPrice_incVAT,NetProfit,ROI,bought_in_past_month,amazon_sales_badge,sales_value,tier,confidence_score,flags,reasons,ean_exact_match,SupplierURL,AmazonURL,fba_seller_count,Category
WHAM CASA BLACK HIPSTER BASKET,Wham Casa Hipster Laundry Basket (Black),5038135223068,5038135223068,B0FC6Q9X3H,3.492,11.98,2.615833333,75.60211946,50,,50,TIER_1_VERIFIED,95,,"Exact EAN match (checksum verified),Strong title match (sim=0.71, shared=5),Brand match: wham",TRUE,https://www.efghousewares.co.uk/wham-casa-black-hipster-basket-120804,https://www.amazon.co.uk/dp/B0FC6Q9X3H,,Wham Casa Black Hipster Basket 120804
ADDIS CUTLERY DRAINER LINEN,Addis Linen Cutlery Drainer With Removable Compartment,5010303068145,5010303068145,B0009K4HGE,4.4352,11.17,1.112333333,26.19720521,50,50,50,TIER_1_VERIFIED,95,,"Exact EAN match (checksum verified),Strong title match (sim=0.62, shared=4),Brand match: addis",TRUE,https://www.efghousewares.co.uk/104593,https://www.amazon.co.uk/dp/B0009K4HGE,,Other
EXTRA SELECT SWAN AND DUCK FEED 5L,"Extra Select Premium Floating Swan and Duck Feed, 5 Litre",5022245000039,5022245000039,B07DFWX1LB,6.12,14.89,0.768333333,13.59882006,1000,,1000,TIER_1_VERIFIED,95,,"Exact EAN match (checksum verified),Strong title match (sim=0.76, shared=5),Brand match: extra",TRUE,https://www.efghousewares.co.uk/extra-select-swan-and-duck-feed-5l-115012,https://www.amazon.co.uk/dp/B07DFWX1LB,,Extra Select Swan And Duck Feed 5L 115012
ESCENTI TEA TREE CREAM,Escenti Tea Tree Cream 28g,5020535013998,5020535013998,B0995W6PHP,1.14,4.12,0.103333333,6.888888889,100,100,100,TIER_1_VERIFIED,95,,"Exact EAN match (checksum verified),Strong title match (sim=0.92, shared=4),Brand match: escenti",TRUE,https://www.efghousewares.co.uk/escenti-tea-tree-cream,https://www.amazon.co.uk/dp/B0995W6PHP,Available (see Keepa data),Escenti Tea Tree Cream
ROYLE HOME SPRINGFORM CAKE TIN,"Royle Kids 2 Mini Springform Cake Tin Kids Round 5Inch Non Stick Springform Baking Tin 12cm,Black",5015302472535,5015302472535,B01APK7CDC,1.944,7.99,0.608333333,28.03379416,50,50,50,TIER_1_VERIFIED,80,,"Exact EAN match (checksum verified),Moderate title match (sim=0.43, shared=4),Brand match: royle",TRUE,https://www.efghousewares.co.uk/royle-home-springform-cake-tin-26-9,https://www.amazon.co.uk/dp/B01APK7CDC,,Royle Home Springform Cake Tin 26 9
PYREX ESSENTIALS CASSEROLE OVAL 4.1LTR,"Pyrex Oval Casserole with Lid Classic Glass, Transparent, 6.3 cm, 4.0 L",3426470268684,3426470268684,B01LCYXS24,10.548,19.69,0.628333333,6.727337616,100,100,100,TIER_1_VERIFIED,80,,"Exact EAN match (checksum verified),Moderate title match (sim=0.47, shared=3),Brand match: pyrex",TRUE,https://www.efghousewares.co.uk/pyrex-essentials-casserole-oval-3ltr-pm-,https://www.amazon.co.uk/dp/B01LCYXS24,,Pyrex Essentials Casserole Oval 3Ltr Pm 
ROYALFORD SILICONE EGG WHISK GREY,"Royalford Silicone Balloon Egg Whisk with Beechwood Handle & Hanging Hook – Non-Scratch, Heat-Resistant Whisk for Cooking & Baking, 26cm",6294016430270,6294016430270,B0FVB4Y46L,1.416,6.5,0.056666667,3.275529865,100,100,100,TIER_1_VERIFIED,80,,"Exact EAN match (checksum verified),Moderate title match (sim=0.40, shared=4),Brand match: royalford",TRUE,https://www.efghousewares.co.uk/royalford-silicone-egg-whisk-grey-112831,https://www.amazon.co.uk/dp/B0FVB4Y46L,Available (see Keepa data),Royalford Silicone Egg Whisk Grey 112831
KATS ROMEO CAT LITTER TRAY TOILET HOUSE GREY,"Dogi Click and Secure Pet Cat Litter Tray Toilet Box, Grey",5414886297341,5414886297341,B00P2R81MU,10.608,23,0.196666667,2.094426695,100,100,100,TIER_1_VERIFIED,75,BRAND_MISMATCH,"Exact EAN match (checksum verified),Strong title match (sim=0.65, shared=5)",TRUE,https://www.efghousewares.co.uk/kats-romeo-cat-litter-tray-toilet-house-grey-113411,https://www.amazon.co.uk/dp/B00P2R81MU,,Kats Romeo Cat Litter Tray Toilet House Grey 113411
RYSONS PLASTIC BOWLS W/STRAW 4PCE,"Plastic 4 Sippy Bowls Bowls with Built in Straw - Green, Blue, Orange & Purple",5056239416018,5056239416018,B0863MYSTY,1.14,7.05,1.125,75,50,,50,TIER_1_VERIFIED,60,BRAND_MISMATCH,"Exact EAN match (checksum verified),Moderate title match (sim=0.43, shared=3)",TRUE,https://www.efghousewares.co.uk/rysons-plastic-bowls-w-straw-4pce,https://www.amazon.co.uk/dp/B0863MYSTY,Available (see Keepa data),Rysons Plastic Bowls W Straw 4Pce
COOPER & PALS SQUEAKY CHIKEN,Cooper & Pals Squawking Chicken Toy For Dogs,5055566927495,5055566927495,B08ZL14VNR,0.852,6.11,0.491666667,39.02116402,50,50,50,TIER_1_VERIFIED,60,,"Exact EAN match (checksum verified),Weak title match (sim=0.71, shared=2),Brand match: cooper",TRUE,https://www.efghousewares.co.uk/cooper-pals-squeaky-chiken-110775,https://www.amazon.co.uk/dp/B08ZL14VNR,,Cooper Pals Squeaky Chiken 110775
SIMMER RING,Simmer Ring Pan Mat Heat Diffuser For Gas Electric Cookers Stove Hob 21cm,5056239413680,5056239413680,B0BQRTLJS2,1.14,4.95,0.155,10.33333333,50,50,50,TIER_1_VERIFIED,60,,"Exact EAN match (checksum verified),Weak title match (sim=0.26, shared=2),Brand match: simmer",TRUE,https://www.efghousewares.co.uk/simmer-ring-105738,https://www.amazon.co.uk/dp/B0BQRTLJS2,Available (see Keepa data),Simmer Ring 105738
ELLIOTTS GLASS SPRAY BOTTLE BROWN480ML,"Elliott 480ml Brown Glass Spray Bottle, Manufactured from Recycled Glass and featuring a locking trigger action spray Mechanism, Ideal for use for Cleaning, Watering Plants and many other uses",5013159004428,5013159004428,B099X92QGG,1.812,7.18,0.653333333,31.71521036,50,50,50,TIER_1_VERIFIED,40,BRAND_MISMATCH,"Exact EAN match (checksum verified),Weak title match (sim=0.28, shared=3)",TRUE,https://www.efghousewares.co.uk/elliotts-glass-spray-bottle-brown480ml,https://www.amazon.co.uk/dp/B099X92QGG,Available (see Keepa data),Elliotts Glass Spray Bottle Brown480Ml
